"도가니	"/SS+도가니/NNG
피해자	피해자/NNG
재출석	재/XPN+출석/NNG
요구는	요구/NNG+는/JX
‘인권유린’"	‘/SN+인권유린/NNG+’/SN+"/SS

농아인협회(회장	농아인협회/NNP+(/SS+회장/NNG
변승일)가	변승일/NNG+)/SS+가/JKS
‘도가니’	‘/SN+도가니/NNG+’/SL
사건으로	사건/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
광주인화학교	광주인화학교/NNP
성폭력	성폭력/NNG
사건의	사건/NNG+의/JKG
항소심을	항소심/NNG+을/JKO
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
광주고등법원	광주고등법원/NNP
재판부의	재판부/NNG+의/JKG
피해자	피해자/NNG
재출석	재/XPN+출석/NNG
요구에	요구/NNG+에/JKB
대해	대하/VV+여/EC
‘인권유린’	‘/SN+인권유린/NNG+’/SL
처사라고	처사/NNG+이/VCP+라고/EC
비판했다	비판하/VV+였/EP+다/EC

재판부는	재판부/NNG+는/JX
피해자가	피해자/NNG+가/JKS
1심	1/SN+심/NNG
재판부에	재판부/NNG+에/JKB
출석해	출석하/VV+여/EC
구체적으로	구체적/NNG+으로/JKB
피해	피하/VV+여/EC
당시의	당시/NNG+의/JKG
상황과	상황/NNG+과/JC
피해사실에	피해사실/NNG+에/JKB
대해	대하/VV+여/EC
증언했는데도,	증언하/VV+였/EP+는데/EC+도/JX+,/SP
피해자의	피해자/NNG+의/JKG
강간으로	강간/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
손목의	손목/NNG+의/JKG
상처를	상처/NNG+를/JKO
확인해야	확인하/VV+여야/EC
된다며	되/VV+ㄴ다며/EC
오는	오/VV+는/ETM
12월	12/SN+월/NNB
6일	6/SN+일/NNB
출석을	출석/NNG+을/JKO
요구하고	요구하/VV+고/EC
있는	있/VX+는/ETM
상황인	상황/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

한국농아인협회는	한국농아인협회/NNP+는/JX
29일	29/SN+일/NNB
성명서를	성명서/NNG+를/JKO
통해	통하/VV+여/EC
"청각장애인인	"/SS+청각장애인/NNG+이/VCP+ㄴ/ETM
피해자와	피해자/NNG+와/JC
목격자의	목격자/NNG+의/JKG
특성을	특성/NNG+을/JKO
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
가해자에게	가해자/NNG+에게/JKB
유리한	유리하/VA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
재판을	재판/NNG+을/JKO
진행하고	진행하/VV+고/EC
있다는	있/VX+다는/ETM
주장이	주장/NNG+이/JKS
제기되고	제기되/VV+고/EC
있는	있/VX+는/ETM
현재	현재/MAG
상황에	상황/NNG+에/JKB
대해	대하/VV+여/EC
심각한	심각하/VA+ㄴ/ETM
우려를	우려/NNG+를/JKO
금할	금하/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
말문을	말문/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

이어	이어/MAG
"항소심	"/SS+항소심/NNG
재판부가	재판부/NNG+가/JKS
당시	당시/NNG
학생이던	학생/NNG+이/VCP+던/ETM
피해자의	피해자/NNG+의/JKG
손목에	손목/NNG+에/JKB
난	나/VV+ㄴ/ETM
상처가	상처/NNG+가/JKS
단순	단순/NNG
상해인지	상해/NNG+이/VCP+ㄴ지/EC
자해인지	자해/NNG+이/VCP+ㄴ지/EC
여부를	여부/NNG+를/JKO
다시	다시/MAG
가리기	가리/VV+기/ETN
위해	위하/VV+여/EC
현재	현재/MAG
임신	임신/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
피해자의	피해자/NNG+의/JKG
출석을	출석/NNG+을/JKO
요구하고	요구하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

농아인협회는	농아인협회/NNG+는/JX
"이미	"/SS+이미/MAG
피해자는	피해자/NNG+는/JX
검찰,	검찰/NNG+,/SP
경찰의	경찰/NNG+의/JKG
수사	수사/NNG
및	및/MAG
재수사와	재수사/NNG+와/JC
1심	1/SN+심/NNB
재판과정을	재판과정/NNG+을/JKO
통해	통하/VV+여/EC
피해	피해/NNG
사실을	사실/NNG+을/JKO
상세히	상세히/MAG
진술한	진술하/VV+ㄴ/ETM
바	바/NNB
있고	있/VA+고/EC
법률,	법률/NNG+,/SP
심리,	심리/NNG+,/SP
의료전문가들의	의료전문가/NNG+들/XSN+의/JKG
의견도	의견/NNG+도/JX
충분히	충분히/MAG
제출했음에도	제출하/VV+였/EP+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
재차	재차/MAG
출석을	출석/NNG+을/JKO
요구하는	요구하/VV+는/ETM
것은	것/NNB+은/JX
성폭행	성폭행/NNG
피해자의	피해자/NNG+의/JKG
인권을	인권/NNG+을/JKO
또	또/MAG
다시	다시/MAG
유린하는	유린하/VV+는/ETM
처사"라면서	처사/NNG+"/SS+이/VCP+라면서/EC
"항소심	"/SS+항소심/NNG
재판	재판/NNG
과정에서	과정/NNG+에서/JKB
재판부가	재판부/NNG+가/JKS
사건	사건/NNG
피해자의	피해자/NNG+의/JKG
손목	손목/NNG
상처를	상처/NNG+를/JKO
노끈에	노끈/NNG+에/JKB
묶인	묶이/VV+ㄴ/ETM
상처가	상처/NNG+가/JKC
아니라	아니/VCN+라/EC
자해한	자해하/VV+ㄴ/ETM
상처같다는	상처/NNG+같/VA+다는/ETM
의견을	의견/NNG+을/JKO
개진하며	개진하/VV+며/EC
피해자와	피해자/NNG+와/JC
목격자의	목격자/NNG+의/JKG
1심	1/SN+심/NNG
증언을	증언/NNG+을/JKO
믿지	믿/VV+지/EC
못하는	못하/VX+는/ETM
듯한	듯하/VX+ㄴ/ETM
태도를	태도/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
것은	것/NNB+은/JX
공정성과	공정성/NNG+과/JC
중립성이	중립성/NNG+이/JKS
훼손될	훼손되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
중대한	중대하/VA+ㄴ/ETM
사안이라	사안/NNG+이/VCP+라/EC
하지	하/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
꼬집었다	꼬집/VV+었/EP+다/EF

특히	특히/MAG
농아인협회는	농아/NNP+인/XSN+협회/NNG+는/JX
공소시효와	공소시효/NNG+와/JKB
관련	관련/NNG
"광주인화학교	"/SS+광주인화학교/NNP
대책위에	대책위/NNG+에/JKB
따르면	따르/VV+면/EC
재판부가	재판부/NNG+가/JKS
범행	범행/NNG
발생시점을	발생시점/NNG+을/JKO
2005년에서	2005/SN+년/NNB+에서/JKB
2004년으로	2004/SN+년/NNB+으로/JKB
변경할	변경하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
검찰에	검찰/NNG+에/JKB
검토하도록	검토하/VV+도록/EC
한	하/VX+ㄴ/EF
점에	점/NNG+에/JKB
대해서	대하/VV+여서/EC
만약	만약/NNG
범행시점이	범행시점/NNG+이/JKS
2004년으로	2004/SN+년/NNB+으로/JKB
적용되어	적용되/VV+어/EC
공소시효가	공소시효/NNG+가/JKS
10년인	10/SN+년/NNB+이/VCP+ㄴ/ETM
강간상해가	강간상해/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
단순강간죄만	단순강간죄/NNG+만/JX
인정될	인정되/VV+ㄹ/ETM
경우	경우/NNG
현행법상	현행법/NNG+상/XSN
공소시효가	공소시효/NNG+가/JKS
7년으로	7/SN+년/NNB+으로/JKB
이미	이미/MAG
공소시효가	공소시효/NNG+가/JKS
지나	지나/VV+아/EC
더	더/MAG
이상	이상/NNG
가해자를	가해자/NNG+를/JKO
처벌할	처벌하/VV+ㄹ/ETM
근거가	근거/NNG+가/JKS
사라지게	사라지/VV+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
우려를	우려/NNG+를/JKO
나타냈다	나타내/VV+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
농아인협회는	농아/NNP+인/XSN+협회/NNG+는/JX
"이미	"/SS+이미/MAG
씻을	씻/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
상처를	상처/NNG+를/JKO
받았고	받/VV+았/EP+고/EC
그동안	그동안/NNG
수사와	수사/NNG+와/JC
재판으로	재판/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
심적	심적/NNG
부담감과	부담감/NNG+과/JC
불안감	불안감/NNG
등으로	등/NNB+으로/JKB
하루하루	하루하루/MAG
고통	고통/NNG
속에서	속/NNG+에서/JKB
지내고	지내/VV+고/EC
있는	있/VX+는/ETM
피해자의	피해자/NNG+의/JKG
상황을	상황/NNG+을/JKO
항소심	항소심/NNG
재판부가	재판부/NNG+가/JKS
향후	향후/NNG
재판과정에서	재판과정/NNG+에서/JKB
피해자의	피해자/NNG+의/JKG
억울함과	억울하/VA+ㅁ/ETN+과/JC
정신적	정신적/NNG
상처를	상처/NNG+를/JKO
존중하고	존중하/VV+고/EC
종합적으로	종합적/NNG+으로/JKB
고려하여	고려하/VV+여/EC
재판이	재판/NNG+이/JKS
진행되어야	진행되/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

또한	또한/MAG
"가해자가	"/SS+가해자/NNG+가/JKS
엄정한	엄정하/VA+ㄴ/ETM
법의	법/NNG+의/JKG
심판을	심판/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
판결해줄	판결하/VV+여/EC+주/VX+ㄹ/EC
것을	것/NNB+을/JKO
강력히	강력히/MAG
촉구한다"며	촉구하/VV+ㄴ다/EF+"/SS+며/EC
"지난해	"/SS+지난해/NNG
도가니로	도가니/NNG+로/JKB
인해	인하/VV+여/EC
분노했던	분노하/VV+었/EP+던/ETM
많은	많/VA+은/ETM
국민들이	국민/NNG+들/XSN+이/JKS
이번	이번/NNG
법원의	법원/NNG+의/JKG
판결을	판결/NNG+을/JKO
주목하고	주목하/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
항소심	항소심/NNG
재판부는	재판부/NNG+는/JX
잊지	잊/VV+지/EC
말아야	말/VX+아야/EC
할	하/VX+ㄹ/ETM
