여가부,	여가부/NNG+,/SP
장애인	장애인/NNG
가정·성폭력	가정/NNG+·/SP+성폭력/NNG
통합보호시설	통합보호시설/NNG
확대	확대/NNG

여성가족부는	여성가족부/NNG+는/JX
오는	오/VV+는/ETM
5일	5/SN+일/NNB
수도권	수도권/NNG
지역에	지역/NNG+에/JKB
장애인	장애인/NNG
폭력	폭력/NNG
피해자를	피해자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
가정폭력·성폭력	가정폭력/NNG+·/SP+성폭력/NNG
통합	통합/NNG
보호시설이	보호시설/NNG+이/JKS
개소한다고	개소하/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이	이/MM
시설은	시설/NNG+은/JX
지상	지상/NNG
2층	2/SN+층/NNG
건물로	건물/NNG+로/JKB
가정폭력·성폭력	가정폭력/NNG+·/SP+성폭력/NNG
피해	피해/NNG
장애인	장애인/NNG
30여명이	30/SN+여/XSN+명/NNB+이/JKS
생활하게	생활하/VV+게/EC
된다	되/VV+ㄴ다/EF

장애인입소자에게는	장애인입소/NNG+자/XSN+에게/JKB+는/JX
상담,	상담/NNG+,/SP
치유·회복	치유/NNG+·/SP+회복/NNG
프로그램,	프로그램/NNG+,/SP
자립을	자립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
생활적응·직업재활	생활적응/NNG+·/SP+직업재활/NNG
훈련	훈련/NNG
등이	등/NNB+이/JKS
지원된다	지원되/VV+ㄴ다/EF

이번	이번/NNG
개소로	개소/NNB+로/JKB
폭력	폭력/NNG
피해	피해/NNG
장애인	장애인/NNG
보호시설은	보호시설/NNG+은/JX
전국적으로	전국적/NNG+으로/JKB
기존	기존/NNG
5개소에서	5/SN+개소/NNB+에서/JKB
6개소로	6/SN+개소/NNB+로/JKB
늘어나고,	늘어나/VV+고/EC+,/SP
현재	현재/MAG
성폭력	성폭력/NNG
장애인	장애인/NNG
보호시설	보호시설/NNG
2개소를	2/SN+개소/NNB+를/JKO
추가로	추가/NNG+로/JKB
추진	추진/NNG
중에	중/NNB+에/JKB
있어	있/VA+어/EC
연말까지	연말/NNG+까지/JX
8개소로	8/SN+개소/NNB+로/JKB
확대될	확대되/VV+ㄹ/ETM
전망이다	전망/NNG+이/VCP+다/EC

한편	한편/MAG
전국의	전국/NNG+의/JKG
여성장애인은	여성장애인/NNG+은/JX
2007년	2007/SN+년/NNB
82만명에서	82/SN+만/NR+명/NNB+에서/JKB
지난해	지난해/NNG
105만명으로	105/SN+만/NR+명/NNB+으로/JKB
증가하고	증가하/VV+고/EC
있는	있/VX+는/ETM
추세다	추세/NNG+이/VCP+다/EF
