13세미만	13/SN+세/NNB+미만/NNG
여성,	여성/NNG+,/SP
여성장애인	여성장애인/NNG
강간	강간/NNG
공소시효	공소시효/NNG
‘폐지’	‘/SN+폐지/NNG+’/SN

다음달부터	다음달/NNG+부터/JX
13세	13/SN+세/NNB
미만	미만/NNG
여성	여성/NNG
및	및/MAG
여성	여성/NNG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강간죄의	강간죄/NNG+의/JKG
공소시효가	공소시효/NNG+가/JKS
폐지된다	폐지되/VV+ㄴ다/EC

여성가족부(이하	여성가족부/NNG+(/SS+이하/NNG
여가부)는	여가부/NNG+)/SS+는/JX
아동·청소년	아동/NNG+·/SP+청소년/NNG
대상	대상/NNG
성범죄로부터	성범죄/NNG+로부터/JKB
아동·청소년의	아동/NNG+·/SP+청소년/NNG+의/JKG
보호를	보호/NNG+를/JKO
강화하기	강화하/VV+기/ETN
위해	위하/VV+여/EC
개정한	개정하/VV+ㄴ/ETM
‘아동·청소년의	‘/SL+아동/NNG+·/SP+청소년/NNG+의/JKG
성보호에	성보호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’을	법률/NNG+’/SL+을/JKO
오는	오/VV+는/ETM
8월2일부터	8/SN+월/NNB+2/SN+일/NNB+부터/JX
시행한다고	시행하/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

우선	우선/MAG
사회적	사회적/NNG
약자를	약자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
성범죄자는	성범죄자/NNG+는/JX
반드시	반드시/MAG
처벌해	처벌하/VV+여/EC
피해자를	피해자/NNG+를/JKO
보호하고	보호하/VV+고/EC
성범죄	성범죄/NNG
예방	예방/NNG
수준을	수준/NNG+을/JKO
높이고자	높이/VV+고자/EC
‘13세	‘/SL+13/SN+세/NNB
미만의	미만/NNG+의/JKG
여성	여성/NNG
및	및/MAG
여성장애인에	여성장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강간(준강간)죄’의	강간/NNG+(/SS+준강/NNG+간/NNB+)/SS+죄/NNG+’/SL+의/JKG
공소시효가	공소시효/NNG+가/JKS
전면	전면/NNG
폐지된다	폐지되/VV+ㄴ다/EC

‘업무상	‘/SL+업무상/NNG
위력	위력/NNG
등에	등/NNB+에/JKB
의한	의하/VV+ㄴ/ETM
추행죄’의	추행죄/NNG+’/SL+의/JKG
경우	경우/NNG
피해자의	피해자/NNG+의/JKG
처벌의사가	처벌의사/NNG+가/JKS
없어도	없/VA+어도/EC
처벌할	처벌하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

학교	학교/NNG
등	등/NNB
특수한	특수하/VA+ㄴ/ETM
관계에서	관계/NNG+에서/JKB
발생하는	발생하/VV+는/ETM
추행의	추행/NNG+의/JKG
경우	경우/NNG
가해자가	가해자/NNG+가/JKS
피해자와의	피해자/NNG+와/JKB+의/JKG
합의	합의/NNG
종용으로	종용/NNG+으로/JKB
처벌을	처벌/NNG+을/JKO
면하게	면하/VV+게/EC
되는	되/VV+는/ETM
폐단을	폐단/NNG+을/JKO
방지하기	방지하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

또한	또한/MAG
성폭력	성폭력/NNG
가해자가	가해자/NNG+가/JKS
친권자인	친권자/NNG+이/VCP+ㄴ/ETM
경우	경우/NNG
비가해	비가하/VV+여/EC
친권자(모)가	친권자/NNG+(/SS+모/NP+)/SS+가/JKS
가해자를	가해자/NNG+를/JKO
보호하고자	보호하/VV+고자/EC
아동·청소년의	아동/NNG+·/SP+청소년/NNG+의/JKG
진술	진술/NNG
녹화를	녹화/NNG+를/JKO
거부하는	거부하/VV+는/ETM
폐해를	폐해/NNG+를/JKO
방지하기	방지하/VV+기/ETN
위해	위하/VV+여/EC
피해자	피해자/NNG
의사가	의사/NNG+가/JKS
없어도	없/VA+어도/EC
영상물	영상물/NNG
녹화를	녹화/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

정보통신망을	정보통신망/NNG+을/JKO
이용한	이용하/VV+ㄴ/ETM
성범죄	성범죄/NNG
확대	확대/NNG
경향에	경향/NNG+에/JKB
따라	따르/VV+아/EC
아동·청소년	아동/NNG+·/SP+청소년/NNG
대상	대상/NNG
성범죄	성범죄/NNG
범위도	범위/NNG+도/JX
확대된다	확대되/VV+ㄴ다/EF

‘카메라	‘/SL+카메라/NNG
등을	등/NNB+을/JKO
이용한	이용하/VV+ㄴ/ETM
촬영,	촬영/NNG+,/SP
공중밀집	공중밀집/NNG
장소에서의	장소/NNG+에서/JKB+의/JKG
추행,	추행/NNG+,/SP
통신매체를	통신매체/NNG+를/JKO
이용한	이용하/VV+ㄴ/ETM
음란행위’의	음란행위/NNG+’/SL+의/JKG
죄를	죄/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
사람도	사람/NNG+도/JX
신상정보에	신상정보/NNG+에/JKB
등록되고	등록되/VV+고/EC
취업제한	취업제한/NNG
시설	시설/NNG
등에	등/NNB+에/JKB
취업할	취업하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된다	되/VV+ㄴ다/EF

아울러	아울러/MAG
‘정보통신망을	‘/SL+정보통신망/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
성매수	성매수/NNP
알선정보	알선정보/NNP
제공행위’를	제공행위’/NNG+를/JKO
‘성매수	‘/SL+성매수/NNG
알선행위’에	알선행위’/NNG+에/JKB
포함해	포함하/VV+여/EC
처벌하고,	처벌하/VV+고/EC+,/SP
성범죄	성범죄/NNG
경력자	경력자/NNG
취업제한	취업제하/VV+ㄴ/ETM
직종에	직종/NNG+에/JKB
학습지	학습지/NNG
교사와	교사/NNG+와/JC
의료인이	의료인/NNG+이/JKS
추가된다	추가되/VV+ㄴ다/EF

취업	취업/NNG
점검결과에	점검결과/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
여성가족부의	여성가족부/NNG+의/JKG
‘전용	‘/SL+전용/NNG
웹사이트(성범죄	웹사이트/NNG+(/SS+성범죄/NNG
알림e)’를	알리/VV+ㅁ/ETN+e/SL+)/SS+’/SN+를/JKO
통해	통하/VV+여/EC
취업	취업/NNG
제한	제한/NNG
위반시설의	위반시설/NNG+의/JKG
명칭	명칭/NNG
및	및/MAG
주소(시·군·구까지)까지	주소/NNG+(/SS+시/NNG+·/SP+군/NNG+·/SP+구/NNG+까지/JX+)/SS+까지/JX
공개하게	공개하/VV+게/EC
된다	되/VV+ㄴ다/EF

여가부	여가부/NNG
관계자는	관계자/NNG+는/JX
“새로	“/SN+새/NNG+로/JKB
시행되는	시행되/VV+는/ETM
아동·청소년	아동/NNG+·/SP+청소년/NNG
대상	대상/NNG
성보호	성보호/NNG
강화	강화/NNG
조치로	조치/NNG+로/JKB
성범죄로부터	성범죄/NNG+로부터/JKB
아동·청소년을	아동/NNG+·/SP+청소년/NNG+을/JKO
더욱	더욱/MAG
보호할	보호하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대된다”고	기대되/VV+ㄴ다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC
