학대받은	학대/NNG+받/VV+은/ETM
장애아동의	장애아동/NNG+의/JKG
가해자는	가해자/NNG+는/JX
'부모'	'/SS+부모/NNG+'/SS

학대를	학대/NNG+를/JKO
받은	받/VV+은/ETM
장애아동	장애아동/NNG
10명	10/SN+명/NNB
중	중/NNB
8명이	8/SN+명/NNB+이/JKS
부모로부터	부모/NNG+로부터/JKB
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

보건복지부가	보건복지부/NNG+가/JKS
최근	최근/NNG
홈페이지(http://www	홈페이지/NNG+(/SS+http/SL+:///SP+www/SL

mw	mw/SL

go	go/SL

kr)에	kr/SL+)/SS+에/JKB
게시한	게시하/VV+ㄴ/ETM
‘2011년	‘/SL+2011/SN+년/NNB
전국아동학대	전국아동학대/NNP
현황보고서’에	현황보고서’/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
학대피해를	학대피해/NNG+를/JKO
받은	받/VV+은/ETM
아동	아동/NNG
6,058명	6,058/SN+명/NNB
중	중/NNB
장애아동은	장애아동/NNG+은/JX
4	4/SN

1%에	1/SN+%/SW+에/JKB
해당하는	해당하/VV+는/ETM
248명이었다	248/SN+명/NNB+이/VCP+었/EP+다/EF

지난해	지난해/NNG
학대를	학대/NNG+를/JKO
받은	받/VV+은/ETM
장애아동	장애아동/NNG
248명	248/SN+명/NNB
중	중/NNB
지적장애	지적장애/NNG
아동은	아동/NNG+은/JX
172명으로	172/SN+명/NNB+으로/JKB
69	69/SN

4%나	4/SN+%/SW+나/JX
차지했고,	차지하/VV+였/EP+고/EC+,/SP
지체장애	지체장애/NNG
아동과	아동/NNG+과/JC
뇌병변장애	뇌병변장애/NNG
아동이	아동/NNG+이/JKS
각각	각각/MAG
19명(7	19/SN+명/NNB+(/SS+7/SN

7%)이었다	7/SN+%/SW+)/SS+이/VCP+었/EP+다/EF

학대를	학대/NNG+를/JKO
받은	받/VV+은/ETM
장애아동	장애아동/NNG
중	중/NNB
여아는	여아/NNG+는/JX
130명으로	130/SN+명/NNB+으로/JKB
52	52/SN

4%에	4/SN+%/SW+에/JKB
해당됐으며,	해당되/VV+었/EP+으며/EC+,/SP
남아는	남아/NNG+는/JX
118명으로	118/SN+명/NNB+으로/JKB
47	47/SN

