장애여성	장애여성/NNG
성폭력↑…보호시설	성폭력↑/NNG+…/SE+보호시설/NNG
‘달랑’	‘/SN+달랑/NNB+’/SL
4곳	4/SN+곳/NNG

최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
여성장애인을	여성장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
성범죄는	성범죄/NNG+는/JX
증가하고	증가하/VV+고/EC
있지만	있/VX+지만/EC
전국적으로	전국적/NNG+으로/JKB
성폭력	성폭력/NNG
피해	피해/NNG
여성장애인을	여성장애인/NNG+을/JKO
보호하는	보호하/VV+는/ETM
시설이	시설/NNG+이/JKS
부족해	부족하/VA+여/EC
확대가	확대/NNG+가/JKS
필요하다고	필요하/VA+다고/EC
지적됐다	지적되/VV+었/EP+다/EF

국회	국회/NNG
여성가족위원회	여성가족위원회/NNG
백재현	백재현/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
27일	27/SN+일/NNB
국정감사	국정감사/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+여/EC
"여성장애인	"/SS+여성장애인/NNG
성폭력	성폭력/NNG
피해자는	피해자/NNG+는/JX
‘여성’과	‘/SN+여성/NNG+’/SL+과/JC
‘장애’라는	‘/SL+장애/NNG+’/SL+이/VCP+라는/ETM
이중고를	이중고/NNG+를/JKO
겪는	겪/VV+는/ETM
약자인	약자/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
장애	장애/NNG
유형별·종류별	유형/NNG+별/XSN+·/SP+종류별/NNG
상담·치료	상담/NNG+·/SP+치료/NNG
인력을	인력/NNG+을/JKO
확보하고	확보하/VV+고/EC
보호시설과	보호시설/NNG+과/JC
상담소를	상담소/NNG+를/JKO
확대할	확대하/VV+ㄹ/ETM
것"을	것/NNB+"/SS+을/JKO
주문했다	주문하/VV+였/EP+다/EF

백	백/NNP
의원이	의원/NNG+이/JKS
여가부로부터	여가부/NNG+로부터/JKB
제출	제출/NNG
받은	받/VV+은/ETM
‘2010	‘/SL+2010/SN
전국	전국/NNG
성폭력	성폭력/NNG
실태조사’	실태조사/NNG+’/SN
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
1년간	1/SN+년/NNB+간/XSN
여성	여성/NNG
정신적	정신적/NNG
장애인(지적·자폐·정신장애)	장애인/NNG+(/SS+지적/NNG+·/SP+자폐/NNG+·/SP+정신장애/NNG+)/SS
중	중/NNG
1	1/SN

0%가	0/SN+%/SW+가/JKS
강간	강간/NNG
피해,	피해/NNG+,/SP
2	2/SN

1%는	1/SN+%/SW+는/JX
강간미수	강간미수/NNG
피해를	피해/NNG+를/JKO
경험한	경험하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

‘최근	‘/SL+최근/NNG
5년간	5/SN+년/NNB+간/XSN
장애인	장애인/NNG
성폭력	성폭력/NNG
현황’을	현황/NNG+’/SL+을/JKO
살펴보면	살펴보/VV+면/EC
2007년	2007/SN+년/NNB
199명에서	199/SN+명/NNB+에서/JKB
지난해	지난해/NNG
494명으로	494/SN+명/NNB+으로/JKB
여성장애인을	여성장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
성범죄는	성범죄/NNG+는/JX
점차	점차/MAG
증가하고	증가하/VV+고/EC
있는	있/VX+는/ETM
추세다	추세/NNG+이/VCP+다/EF

하지만	하지만/MAJ
전국적으로	전국적/NNG+으로/JKB
성폭력	성폭력/NNG
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
여성장애인을	여성장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
보호시설은	보호시설/NNG+은/JX
영남권과	영남/NNP+권/XSN+과/JC
충청권에	충청/NNP+권/XSN+에/JKB
각	각/MM
1개소씩	1/SN+개소/NNB+씩/XSN
추가	추가/NNG
설치	설치/NNG
중이지만,	중/NNB+이/VCP+지만/EC+,/SP
현재	현재/MAG
부산,	부산/NNP+,/SP
광주,	광주/NNP+,/SP
청주,	청주/NNP+,/SP
여주	여주/NNP
등	등/NNB
총	총/MM
4곳에	4/SN+곳/NNG+에/JKB
불과하다	불과하/VA+다/EC

백	백/NNP
의원은	의원/NNG+은/JX
“현재	“/SL+현재/NNG
전국의	전국/NNG+의/JKG
19개의	19/SN+개/NNB+의/JKG
장애인성폭력전문상담소가	장애인성폭력전문상담소/NNG+가/JKS
있지만	있/VA+지만/EC
‘장애’	‘/SL+장애/NNG+’/SL
특성	특성/NNG
상	상/NNG
이동거리	이동거리/NNG
등을	등/NNB+을/JKO
감안한다면	감안하/VV+ㄴ다면/EC
아직도	아직/MAG+도/JX
많이	많이/MAG
부족하다”면서	부족하/VA+다/EC+”/VX+면서/EC
“강원도	“/SN+강원도/NNP
지역에는	지역/NNG+에/JKB+는/JX
전문	전문/NNG
상담소가	상담소/NNG+가/JKS
1개소도	1/SN+개소/NNB+도/JX
없어	없/VA+어/EC
전국적으로	전국적/NNG+으로/JKB
상담소	상담소/NNG
확대가	확대/NNG+가/JKS
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“장애인	“/SN+장애/NNG+이/VCP+ㄴ/ETM
피해자의	피해자/NNG+의/JKG
경우	경우/NNG
지적,	지적/NNG+,/SP
청각,	청각/NNG+,/SP
시각	시각/NNG
등	등/NNB
