여성장애인들,	여성장애인/NNG+들/XSN+,/SP
“일본	“/SN+일본/NNB
위안부	위안부/NNG
문제	문제/NNG
해결”	해결”/NNG
촉구	촉구/NNG

때	때/NNG
이른	이르/VA+ㄴ/ETM
무더위와	무더위/NNG+와/JC
뜨거운	뜨겁/VA+ㄴ/ETM
아스팔트	아스팔트/NNG
열기	열/VV+기/ETN
때문에	때문/NNB+에/JKB
숨	숨/NNG
조차	조차/JX
쉬기	쉬/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
더운	덥/VA+ㄴ/ETM
날씨가	날씨/NNG+가/JKS
계속되고	계속되/VV+고/EC
있다	있/VX+다/EC

이러한	이러하/VA+ㄴ/ETM
날씨	날씨/NNG
속에도	속/NNG+에/JKB+도/JX
위안부	위안부/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
외침은	외침/NNG+은/JX
계속되고	계속되/VV+고/EC
있다	있/VX+다/EC

13일	13/SN+일/NNB
정오	정오/NNG
일본대사관	일본/NNP+대사관/NNG
앞	앞/NNG
‘일본군	‘/SN+일본/NNP+군/NNG
위안부	위안부/NNG
문제해결을	문제해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제1026차	제/XPN+1026/SN+차/NNB
정기	정기/NNG
수요시위’	수요시위’/NNG
현장	현장/NNG

이곳	이곳/NP
수요시위에	수요시위/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
100여명의	100/SN+여/XSN+명/NNB+의/JKG
사람들	사람/NNG+들/XSN
속에서	속/NNG+에서/JKB
굳은	굳/VV+은/ETM
표정을	표정/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
여성장애인들이	여성장애인/NNG+들/XSN+이/JKS
보였다	보이/VV+었/EP+다/EF

그녀들은	그녀/NP+들/XSN+은/JX
손을	손/NNG+을/JKO
어깨	어깨/NNG
위로	위/NNG+로/JKB
올리며	올리/VV+며/EC
"일본은	"/SS+일본/NNP+은/JX
위안부	위안부/NNG
문제를	문제/NNG+를/JKO
해결하라",	해결하/VV+라/EF+"/SS+,/SP
"위안부	"/SS+위안부/NNG
할머니들에게	할머니/NNG+들/XSN+에게/JKB
사과하고	사과하/VV+고/EC
법적	법적/NNG
배상하라"	배상하/VV+라/EF+"/SS
등의	등/NNB+의/JKG
구호를	구호/NNG+를/JKO
외쳤다	외치/VV+었/EP+다/EC

알고보니	알/VV+고/EC+보/VX+니/EC
이들은	이/NP+들/XSN+은/JX
바로	바로/MAG
장애여성네트워크의	장애여성네트워크/NNP+의/JKG
어울림센터	어울리/VV+ㅁ/ETN+센터/NNG
‘차이와	‘/SN+차이/NNG+와/JC
다양성	다양성/NNG
교육’에	교육/NNG+’/SL+에/JKB
참여하고	참여하/VV+고/EC
있는	있/VX+는/ETM
여성장애인들	여성장애인/NNG+들/XSN

이들은	이/NP+들/XSN+은/JX
‘차이와	‘/SN+차이/NNG+와/JC
다양성	다양성/NNG
교육’을	교육/NNG+’/SL+을/JKO
통해	통하/VV+여/EC
이주여성과	이주여성/NNG+과/JC
동성애,	동성애/NNG+,/SP
기아·난민	기아/NNP+·/SP+난민/NNG
등의	등/NNB+의/JKG
각기	각기/MAG
다른	다르/VA+ㄴ/ETM
주제에	주제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시각의	시각/NNG+의/JKG
차이와	차이/NNG+와/JC
다양성을	다양성/NNG+을/JKO
배우고	배우/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
‘차이와	‘/SN+차이/NNG+와/JC
다양성	다양성/NNG
교육’의	교육/NNG+’/SL+의/JKG
일환으로	일환/NNG+으로/JKB
참석하게	참석하/VV+게/EC
됐다	되/VV+었/EP+다/EC

이번	이번/NNG
2차	2/SN+차/NNB
교육의	교육/NNG+의/JKG
내용은	내용/NNG+은/JX
