서초IL센터,	서초/NNP+IL/SL+센터/NNG+,/SP
기숙사	기숙사/NNG
입소	입소/NNG
여성장애인	여성장애인/NNG
모집	모집/NNG

서초장애인자립생활센터(대표	서초장애인자립생활센터/NNG+(/SS+대표/NNG
최광훈)가	최광훈/NNP+)/SS+가/JKS
장애여성	장애여성/NNG
활동가를	활동가/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
기숙사	기숙사/NNG
입소자	입소자/NNG
2명을	2/SN+명/NNB+을/JKO
모집한다	모집하/VV+ㄴ다/EF

입주	입주/NNG
신청	신청/NNG
자격은	자격/NNG+은/JX
현재	현재/MAG
장애인활동지원급여	장애인활동지원급여/NNG
100시간	100/SN+시간/NNB
이상을	이상/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
중증	중증/NNG
여성장애인이면	여성장애인/NNG+이/VCP+면/EC
가능하고,	가능하/VA+고/EC+,/SP
관리비	관리비/NNG
등	등/NNB
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
식비를	식비/NNG+를/JKO
제외한	제외하/VV+ㄴ/ETM
생활비는	생활비/NNG+는/JX
본인이	본인/NNG+이/JKS
부담할	부담하/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
된다	되/VV+ㄴ다/EF

기숙사의	기숙사/NNG+의/JKG
위치는	위치/NNG+는/JX
서울시	서울시/NNP
서초구	서초구/NNP
양재2동	양재/NNG+2/SN+동/NNG
291번지	291/SN+번지/NNG
다세대	다세대/NNG
1층에	1/SN+층/NNG+에/JKB
위치하고	위치하/VV+고/EC
있으며	있/VX+으며/EC
중증여성	중증여성/NNG
장애인이	장애인/NNG+이/JKS
생활할	생활하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
휠체어	휠체어/NNG
경사로	경사/NNG+로/JKB
등	등/NNB
편의시설이	편의시설/NNG+이/JKS
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

이	이/MM
외에도	외/NNB+에/JKB+도/JX
1인	1/SN+인/NNG
1실로	1/SN+실/NNB+로/JKB
활동보조인과	활동보조인/NNG+과/JKB
함께	함께/MAG
생활이	생활/NNG+이/JKS
가능하다	가능하/VA+다/EC

오는	오/VV+는/ETM
15일까지	15/SN+일/NNB+까지/JX
신청서를	신청서/NNG+를/JKO
접수받고	접수/NNG+받/VV+고/EC
있으며	있/VX+으며/EC
서류?면접심사를	서류/NNG+?/SF+면접심사/NNG+를/JKO
통해	통하/VV+여/EC
합격자가	합격자/NNG+가/JKS
결정된다	결정되/VV+ㄴ다/EF

*문의:02-575-7616	*/SW+문의/NNG+:/SP+02/SN+-/SO+575/SN+-/SO+7616/SN
