성폭행범	성폭행/NNG+범/XSN
‘깊이	‘/SN+깊이/MAG
반성했다’	반성하/VV+였/EP+다/EC+’/SL
이유로	이유/NNG+로/JKB
집행유예	집행유예/NNG

10대	10/SN+대/NNG
지적장애	지적장애/NNG
여성을	여성/NNG+을/JKO
성폭행한	성폭행하/VV+ㄴ/ETM
50대	50/SN+대/NNB
남성이	남성/NNG+이/JKS
‘깊이	‘/SL+깊이/MAG
반성했다’는	반성하/VV+였/EP+다/EC+’/SL+는/JX
이유로	이유/NNG+로/JKB
집행유예로	집행유예/NNG+로/JKB
풀려났다	풀려나/VV+았/EP+다/EF

서울고법	서울/NNP+고법/NNG
형사10부(부장판사	형사/NNG+10/SN+부/NNB+(/SS+부장판사/NNG
권기훈)는	권기훈/NNP+)/SS+는/JX
성폭력범죄의	성폭력범죄/NNG+의/JKG
처벌	처벌/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특례법	특례법/NNG
위반(장애인위계등	위반/NNG+(/SS+장애인위계/NNG+등/NNB
간음)	간음/NNG+)/SS
혐의로	혐의/NNG+로/JKB
기소된	기소되/VV+ㄴ/ETM
이모(54)씨에게	이/NNP+모/NP+(/SS+54/SN+)/SS+씨/NNB+에게/JKB
징역	징역/NNG
3년을	3/SN+년/NNB+을/JKO
선고한	선고하/VV+ㄴ/ETM
원심을	원심/NNG+을/JKO
파기하고	파기하/VV+고/EC
징역	징역/NNG
3년에	3/SN+년/NNB+에/JKB
집행유예	집행유예/NNG
4년을	4/SN+년/NNB+을/JKO
선고했다고	선고하/VV+었/EP+다고/EC
10일	10/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

또한	또한/MAG
보호관찰과	보호관찰/NNG+과/JC
4년간	4/SN+년/NNB+간/XSN
정보공개,	정보공개/NNG+,/SP
240시간의	240/SN+시간/NNB+의/JKG
사회봉사	사회봉사/NNG
및	및/MAG
40시간	40/SN+시간/NNB
성폭력	성폭력/NNG
치료프로그램	치료프로그램/NNG
수강을	수강/NNG+을/JKO
명령했다	명령하/VV+였/EP+다/EF

재판부에	재판부/NNG+에/JKB
따르면	따르/VV+면/EC
2006년	2006/SN+년/NNB
교통사고로	교통사고/NNG+로/JKB
인해	인하/VV+여/EC
지체장애	지체장애/NNG
3급이	3/SN+급/NNG+이/JKC
된	되/VV+ㄴ/ETM
이씨는	이/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
경기	경기/NNP
가평군	가평군/NNP
한	한/MM
길가를	길가/NNG+를/JKO
지나던	지나/VV+던/ETM
지적장애	지적장애/NNG
2급	2/SN+급/NNG
A씨를	A/SL+씨/NNB+를/JKO
차에	차/NNG+에/JKB
태워	태우/VV+어/EC
집으로	집/NNG+으로/JKB
데려간	데려가/VV+ㄴ/ETM
뒤	뒤/NNG
성폭행한	성폭행하/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소됐다	기소되/VV+었/EP+다/EC

1심	1/SN+심/NNG
