한국장애마라토너,	한국/NNP+장애마라토너/NNG+,/SP
싱가포르를	싱가포르/NNP+를/JKO
달리다	달리/VV+다/EC

한국장애인재활협회(회장	한국/NNP+장애인재활협회/NNG+(/SS+회장/NNG
이상철)와	이상철/NNP+)/SS+와/JC
에쓰-오일(대표이사	에쓰/NNP+-/SO+오일/NNP+(/SS+대표이사/NNG
나세르	나세르/NNP
알-마하셔)은	알/NNG+-/SO+마하셔/NNG+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
싱가포르에서	싱가포르/NNP+에서/JKB
‘감동의	‘/SN+감동/NNG+의/JKG
마라톤!	마라톤/NNG+!/SF
싱가포르국제마라톤’을	싱가포르국제마라톤/NNP+’/SL+을/JKO
진행했다	진행하/VV+였/EP+다/EF

‘감동의	‘/SL+감동/NNG+의/JKG
마라톤’은	마라톤/NNG+’/SL+은/JX
2006년부터	2006/SN+년/NNB+부터/JX
매년	매년/MAG
에쓰-오일이	에쓰/NNP+-/SO+오일/NNG+이/JKS
주최하고	주최하/VV+고/EC
있는	있/VX+는/ETM
사회공헌사업으로,	사회공헌사업/NNG+으로/JKB+,/SP
해외경험이	해외경험/NNG+이/JKS
없는	없/VA+는/ETM
장애인들을	장애인/NNG+들/XSN+을/JKO
선발해	선발하/VV+여/EC
해외경험을	해외경험/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
자존감	자존감/NNG
향상,	향상/NNG+,/SP
마라톤	마라톤/NNG
훈련지원을	훈련지원/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
건강증진	건강증진/NNG
및	및/MAG
장애인	장애인/NNG
스포츠문화	스포츠문화/NNG
활성화를	활성화/NNG+를/JKO
위해	위하/VV+여/EC
마련되고	마련되/VV+고/EC
있다	있/VX+다/EC

올해	올해/NNG
열린	열리/VV+ㄴ/ETM
싱가포르국제마라톤에는	싱가포르국제마라톤/NNP+에/JKB+는/JX
시각	시각/NNG
6명,	6/SN+명/NNB+,/SP
청각	청각/NNG
3명,	3/SN+명/NNB+,/SP
지체	지체/NNG
4명,	4/SN+명/NNB+,/SP
지적	지적/NNG
3명,	3/SN+명/NNB+,/SP
자폐	자폐/NNG
2명,	2/SN+명/NNB+,/SP
뇌병변	뇌병변/NNG
1명	1/SN+명/NNB
등	등/NNB
총	총/MM
19명이	19/SN+명/NNB+이/JKS
출전해	출전하/VV+여/EC
완주하는	완주하/VV+는/ETM
기쁨을	기쁨/NNG+을/JKO
맞봤다	맞보/VV+았/EP+다/EF

싱가포르국제마라톤은	싱가포르국제마라톤/NNP+은/JX
국제육상경기연맹(IAAF)이	국제육상경기연맹/NNG+(/SS+IAAF/SL+)/SS+이/JKS
인정한	인정하/VV+ㄴ/ETM
골드라벨	골드라벨/NNP
대회이다	대회/NNG+이/VCP+다/EC

골드라벨	골드라벨/NNP
대회란	대회/NNG+란/JX
국제육상경기연맹이	국제육상경기연맹/NNG+이/JKS
참가인원,	참가인원/NNG+,/SP
규모,	규모/NNG+,/SP
기록,	기록/NNG+,/SP
안전	안전/NNG
등	등/NNB
13개	13/SN+개/NNB
분야에서	분야/NNG+에서/JKB
매년	매년/MAG
심사해	심사하/VV+여/EC
인증한	인증하/VV+ㄴ/ETM
대회를	대회/NNG+를/JKO
말한다	말하/VV+ㄴ다/EF

에쓰-오일	에쓰/NNG+-/SO+오일/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SN+이번/NNG
대회를	대회/NNG+를/JKO
통해	통하/VV+여/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
자신감을	자신감/NNG+을/JKO
얻고	얻/VV+고/EC
당당하게	당당하/VA+게/EC
사회의	사회/NNG+의/JKG
한	한/MM
구성원으로	구성원/NNG+으로/JKB
나아	나/VV+아/EC
갈	가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기가	계기/NNG+가/JKC
됐으면	되/VV+었/EP+으면/EC
한다”고	하/VX+ㄴ다”고/EC
밝혔다	밝히/VV+었/EP+다/EC
