평창동계패럴림픽	평창동계패럴림픽/NNP
들러리	들러리/NNG
신세	신세/NNG
‘우려’	‘/SN+우리/VV+어/EC+’/SN

2018평창장애인동계올림픽에	2018/SN+평/NNB+창장애인동계올림픽/NNG+에/JKB
출전할	출전하/VV+ㄹ/ETM
우리나라	우리나라/NNG
장애인	장애인/NNG
선수가	선수/NNG+가/JKS
부족해	부족하/VA+여/EC
자칫	자칫/MAG
남의	남/NNG+의/JKG
잔치	잔치/NNG
들러리	들러리/NNG
신세로	신세/NNG+로/JKB
전락할	전락하/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
주장이	주장/NNG+이/JKS
제기됐다	제기되/VV+었/EP+다/EF

국회	국회/NNG
문화체육관광방송통신위원회	문화체육관광방송통신/NNP+위원회/NNG
장병완(민주통합당)	장병완/NNP+(/SS+민주통합당/NNP+)/SS
의원은	의원/NNG+은/JX
8일	8/SN+일/NNB
국정감사	국정감사/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+여/EC
“동계장애인올림픽에	“/SL+동계장애인올림픽/NNG+에/JKB
출전할	출전하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
선수는	선수/NNG+는/JX
단체전	단체전/NNG
2개	2/SN+개/NNB
종목을	종목/NNG+을/JKO
제외할	제외하/VV+ㄹ/ETM
경우	경우/NNG
8명밖에	8/SN+명/NNB+밖에/JX
없어	없/VA+어/EC
우리나라에서	우리나라/NNG+에서/JKB
개최하는	개최하/VV+는/ETM
올림픽에	올림픽/NNG+에/JKB
외국선수	외국선수/NNG
경기만	경기만/NNP
지켜볼	지켜보/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
상황”이라고	상황/NNG+”/SN+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

실제	실제/NNG
최근	최근/NNG
우리나라가	우리나라/NNG+가/JKS
참가한	참가하/VV+ㄴ/ETM
장애인	장애인/NNG
동계올림픽의	동계올림픽/NNG+의/JKG
출전	출전/NNG
선수는	선수/NNG+는/JX
2002솔트레이크시티장애인동계올림픽	2002/SN+솔트레이크시티장애인동계올림픽/NNG
6명(알파인스키),	6/SN+명/NNB+(/SS+알파인스키/NNP+)/SS+,/SP
2006토리노장애인동계올림픽	2006/SN+토리노장애인동계올림픽/NNG
3명(알파인스키),	3/SN+명/NNB+(/SS+알파인스키/NNP+)/SS+,/SP
2010벤쿠버장애인동계올림픽	2010/SN+벤쿠버장애인동계올림픽/NNG
역시	역시/MAG
처음	처음/NNG
출전한	출전하/VV+ㄴ/ETM
단체전	단체전/NNG
