‘금	‘/SN+금/NNG
보다	보다/MAG
값진	값지/VA+ㄴ/ETM
은’…최선의	은’/NNG+…/SE+최선/NNG+의/JKG
순간들	순간/NNG+들/XSN

2012런던장애인올림픽에	2012/SN+런던/NNP+장애인올림픽/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
우리나라가	우리나라/NNG+가/JKS
대회	대회/NNG
여섯째	여섯째/NR
날인	날/NNG+이/VCP+ㄴ/ETM
4일	4/SN+일/NNB
현재	현재/MAG
은메달	은메달/NNG
1개,	1/SN+개/NNB+,/SP
동메달	동메달/NNG
1개로를	1/SN+개/NNB+로/JKB+를/JKO
기록하며	기록하/VV+며/EC
종합	종합/NNG
순위	순위/NNG
18위를	18/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다	있/VX+다/EC

양궁의	양궁/NNG+의/JKG
기대주로	기대주/NNG+로/JKB
모아졌던	모으/VV+아/EC+지/VX+었/EP+던/ETM
이화숙	이화숙/NNP
선수가	선수/NNG+가/JKS
은메달을	은메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었고,	걷/VV+었/EP+고/EC+,/SP
얼짱	얼짱/NNG
선수로	선수/NNG+로/JKB
유명세를	유명세/NNG+를/JKO
탔던	타/VV+았/EP+던/ETM
수영의	수영/NNG+의/JKG
김지은	김지은/NNP
선수는	선수/NNG+는/JX
여자	여자/NNG
자유형	자유/NNG+형/XSN
50m예선에서	50/SN+m/SL+예선/NNG+에서/JKB
아쉽게	아쉽/VA+게/EC
탈락하기도	탈락하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

비록	비록/MAG
금메달은	금메달/NNG+은/JX
아니지만	아니/VCN+지만/EC
값진	값지/VA+ㄴ/ETM
은메달을	은메달/NNG+을/JKO
견인한	견인하/VV+ㄴ/ETM
선수의	선수/NNG+의/JKG
모습과	모습/NNG+과/JC
노메달에	노메달/NNG+에/JKB
그쳤지만	그치/VV+었/EP+지만/EC
마지막까지	마지막/NNG+까지/JX
최선을	최선/NNG+을/JKO
다한	다하/VV+ㄴ/ETM
선수의	선수/NNG+의/JKG
모습은	모습/NNG+은/JX
대회를	대회/NNG+를/JKO
관전했던	관전하/VV+었/EP+던/ETM
모든	모든/MM
이들의	이/NP+들/XSN+의/JKG
기억	기억/NNG
속에	속/NNG+에/JKB
남게	남/VV+게/EC
된다	되/VV+ㄴ다/EF

이날의	이날/NNG+의/JKG
경기	경기/NNG
모습을	모습/NNG+을/JKO
들여다	들이/VV+어다/EC
봤다	보/VV+았/EP+다/EF

