한효주,	한효주/NNP+,/SP
'배리어프리영화'	'/SS+배리어프리영화/NNP+'/SS
홍보대사	홍보대사/NNG

배리어프리영화위원회가	배리어프리/NNP+영화위원회/NNG+가/JKS
12일	12/SN+일/NNB
배우	배우/NNG
한효주를	한효주/NNP+를/JKO
배리어프리영화	배리어프리영화/NNP
홍보대사로	홍보대사/NNG+로/JKB
선정했다	선정하/VV+였/EP+다/EF

배리어프리영화는	배리어프리영화/NNG+는/JX
시·청각	시/NNG+·/SP+청각/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
비장애인들과	비장애인/NNG+들/XSN+과/JKB
함께	함께/MAG
영화를	영화/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
화면	화면/NNG
음성해설과	음성해설/NNP+과/JC
한국어	한국어/NNP
자막을	자막/NNG+을/JKO
넣은	넣/VV+은/ETM
영화를	영화/NNG+를/JKO
말한다	말하/VV+ㄴ다/EF

한효주는	한효주/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
국내에서	국내/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
일반영화와	일반영화/NNG+와/JC
배리어프리영화	배리어프리영화/NNP
버전이	버전/NNG+이/JKS
동시에	동시/NNG+에/JKB
개봉한	개봉하/VV+ㄴ/ETM
일본영화	일본/NNP+영화/NNG
'마이	'/SS+마이/NNG
백	백/NR
페이지'의	페이지/NNG+'/SS+의/JKG
음성해설	음성해설/NNG
녹음에	녹음/NNG+에/JKB
참여하며	참여하/VV+며/EC
배리어프리영화와	배리어프리영화/NNG+와/JC
인연을	인연/NNG+을/JKO
맺었다	맺/VV+었/EP+다/EC

또한	또한/MAG
영화	영화/NNG
'오직	'/SS+오직/MAG
그대만'에서	그대만/NNP+'/SS+에서/JKB
시각장애인	시각장애인/NNG
역할을	역할/NNG+을/JKO
맡으며	맡/VV+으며/EC
장애인	장애인/NNG
복지에	복지/NNG+에/JKB
관심을	관심/NNG+을/JKO
두게	두/VV+게/EC
되고	되/VV+고/EC
배리어프리영화의	배리어프리/NNP+영화/NNG+의/JKG
취지에	취지/NNG+에/JKB
공감한	공감하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다	전하/VV+여/EC+지/VX+었/EP+다/EF

한효주는	한효주/NNP+는/JX
오는	오/VV+는/ETM
15일	15/SN+일/NNB
한국영상자료원에서	한국영상자료원/NNP+에서/JKB
열리는	열리/VV+는/ETM
'2012	'/SS+2012/SN
배리어프리영화	배리어프리영화/NNG
포럼'	포럼/NNG+'/SS
개막식	개막식/NNG
참석을	참석/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
홍보	홍보/NNG
활동을	활동/NNG+을/JKO
시작할	시작하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
