평창스페셜올림픽	평창스페셜올림픽/NNP
입장권	입장권/NNG
구매	구매/NNG
이벤트	이벤트/NNG
‘풍성’	‘/SN+풍/NNB+성/XSN+’/SN

2013평창동계스페셜올림픽	2013/SN+평/NNB+창동계스페셜올림픽/NNG
조직위원회가	조직위원회/NNG+가/JKS
본격적인	본격적/NNG+이/VCP+ㄴ/ETM
입장권	입장권/NNG
판매에	판매/NNG+에/JKB
돌입했다	돌입하/VV+였/EP+다/EF

입장권	입장권/NNG
가격은	가격/NNG+은/JX
1만원으로,	1/SN+만/NR+원/NNB+으로/JKB+,/SP
티켓	티켓/NNG
한	한/MM
장으로	장/NNB+으로/JKB
7일간의	7/SN+일/NNB+간/XSN+의/JKG
전	전/MM
경기(개·폐막식	경기/NNG+(/SS+개/XSN+·/SP+폐막식/NNG
제외)를	제외/NNG+)/SS+를/JKO
관람할	관람하/VV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
여러	여러/MM
혜택을	혜택/NNG+을/JKO
제공받을	제공/NNG+받/VV+을/ETM
수	수/NNB
있어	있/VA+어/EC
지금까지	지금/NNG+까지/JX
4만7천석이	4/SN+만/NR+7/SN+천/NR+석/NNB+이/JKS
판매되어	판매되/VV+어/EC
그	그/MM
인기를	인기/NNG+를/JKO
실감하고	실감하/VV+고/EC
있다	있/VX+다/EC

조직위는	조직위/NNG+는/JX
대회	대회/NNG
입장권(Special	입장권/NNG+(/SS+Special/SL
Pass)	Pass/SL+)/SS
구매를	구매/NNG+를/JKO
더욱	더욱/MAG
확대하기	확대하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
이벤트를	이벤트/NNG+를/JKO
진행한다	진행하/VV+ㄴ다/EC

티켓구매자에게	티켓구매자/NNG+에게/JKB
특별한	특별하/VA+ㄴ/ETM
혜택을	혜택/NNG+을/JKO
제공하고	제공하/VV+고/EC
많은	많/VA+은/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
대회를	대회/NNG+를/JKO
알리기	알리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
인터파크	인터파크/NNP
티켓	티켓/NNG
홈페이지	홈페이지/NNG
및	및/MAG
전국	전국/NNG
코레일역에서	코레일역/NNP+에서/JKB
일제히	일제히/MAG
실시한다	실시하/VV+ㄴ다/EF

인터파크	인터파크/NNP
티켓	티켓/NNG
홈페이지	홈페이지/NNG
통해	통하/VV+여/EC
실시하는	실시하/VV+는/ETM
첫	첫/MM
번째	번째/NNB
이벤트는	이벤트/NNG+는/JX
‘스페셜패스	‘/SN+스페셜패스/NNG
구매자	구매자/NNG
이벤트’	이벤트/NNG+’/SL
코너로	코너/NNG+로/JKB
스페셜패스	스페셜패스/NNG
구매자를	구매자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한다	하/VV+ㄴ다/EF

추첨을	추첨/NNG+을/JKO
통해	통하/VV+여/EC
여행상품권(50만원)	여행상품권/NNG+(/SS+50/SN+만/NR+원/NNB+)/SS
및	및/MAG
영화예매권	영화예매권/NNG
30매	30/SN+매/NNG
등을	등/NNB+을/JKO
나눠줄	나누/VV+어/EC+주/VV+ㄹ/ETM
예정으로	예정/NNG+으로/JKB
기간은	기간/NNG+은/JX
오는	오/VV+는/ETM
2013년	2013/SN+년/NNB
1월25일까지다	1/SN+월/NNB+25/SN+일/NNB+까지다/JX

두	두/MM
번째	번째/NNB
이벤트는	이벤트/NNG+는/JX
‘스페셜	‘/SN+스페셜/NNG
성공	성공/NNG
개최	개최/NNG
기원	기원/NNG
응원한마디’	응원한마디/NNG+’/SN
코너로	코너/NNG+로/JKB
이벤트	이벤트/NNG
기간	기간/NNG
동안	동안/NNG
인터파크	인터파크/NNP
티켓	티켓/NNG
홈페이지의	홈페이지/NNG+의/JKG
응원한마디	응원한마디/NNG
게시판에	게시판/NNG+에/JKB
글을	글/NNG+을/JKO
남겨주신	남기/VV+어/EC+주/VX+시/EP+ㄴ/ETM
분	분/NNG
중	중/NNB
추첨을	추첨/NNG+을/JKO
통해	통하/VV+여/EC
‘글렌체크	‘/SL+글렌체크/NNP
카운트타운	카운트타운/NNG
콘서트’	콘서트/NNG+’/SN
입장권	입장권/NNG
10매를	10/SN+매/NNG+를/JKO
드리는	드리/VV+는/ETM
행사로	행사/NNG+로/JKB
기간은	기간/NNG+은/JX
오는	오/VV+는/ETM
25일까지다	25/SN+일/NNB+까지다/JX

코레일에서도	코레일/NNG+에서/JKB+도/JX
전국	전국/NNG
23개	23/SN+개/NNB
여행센터에서	여행센터/NNG+에서/JKB
‘스패셜패스’를	‘/SN+스패셜패스/NNG+’/SL+를/JKO
구매하는	구매하/VV+는/ETM
고객에게	고객/NNG+에게/JKB
5천원	5/SN+천/NR+원/NNB
할인	할인/NNG
쿠폰을	쿠폰/NNG+을/JKO
증정하는	증정하/VV+는/ETM
행사를	행사/NNG+를/JKO
22일부터	22/SN+일/NNB+부터/JX
시행하고,	시행하/VV+고/EC+,/SP
대회기간	대회기간/NNG
동안에는	동안/NNG+에/JKB+는/JX
전국	전국/NNG
각역에서	각역/NNG+에서/JKB
강릉역을	강릉역/NNP+을/JKO
종착지로	종착지/NNG+로/JKB
표를	표/NNG+를/JKO
구매하는	구매하/VV+는/ETM
모든	모든/MM
고객에게	고객/NNG+에게/JKB
열차운임의	열차운임/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
할인하는	할인하/VV+는/ETM
스페셜	스페셜/NNG
이벤트를	이벤트/NNG+를/JKO
실시한다	실시하/VV+ㄴ다/EF

한편,	한편/NNG+,/SP
스페셜올림픽	스페셜올림픽/NNG
입장권은	입장권/NNG+은/JX
20여종의	20/SN+여/XSN+종/NNG+의/JKG
각종	각종/NNG
무료·할인쿠폰이	무료/NNG+·/SP+할인쿠폰/NNG+이/JKS
담겨져	담기/VV+어/EC+지/VX+어/EC
있어	있/VX+어/EC
‘스페셜	‘/SN+스페셜/NNG
패스(Special	패스/NNG+(/SS+Special/SL
Pass)’로	Pass/SL+)/SS+’/SL+로/JKB
명칭을	명칭/NNG+을/JKO
정했다	정하/VV+였/EP+다/EF

알펜시아와	알펜시아/NNP+와/JC
용평리조트의	용평리조트/NNP+의/JKG
스키리프트,	스키리프트/NNP+,/SP
스키렌탈,	스키렌탈/NNG+,/SP
눈썰매장,	눈썰매장/NNG+,/SP
정선	정선/NNP
레일바이크,	레일바이크/NNP+,/SP
동해	동해/NNG
바다열차,	바다열차/NNG+,/SP
송어축제	송어축제/NNG
등	등/NNB
유료시설물을	유료시설물/NNG+을/JKO
최대	최대/NNG
50%까지	50/SN+%/SW+까지/JX
할인받을	할인/NNG+받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
경기장	경기장/NNG
주변	주변/NNG
공공기관에서	공공기관/NNG+에서/JKB
운영하는	운영하/VV+는/ETM
관광지	관광지/NNG
등	등/NNB
유료시설물	유료시설물/NNG
이용	이용/NNG
및	및/MAG
대회기관	대회기관/NNG
중	중/NNB
강릉·평창의	강릉/NNP+·/SP+평창/NNP+의/JKG
대회장에서	대회장/NNG+에서/JKB
열리는	열리/VV+는/ETM
K-POP	K/SL+-/SO+POP/SL
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
문화축제도	문화축제/NNG+도/JX
관람할	관람하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

스페셜패스	스페셜패스/NNG
구입은	구입/NNG+은/JX
스페셜올림픽	스페셜올림픽/NNG
조직위원회(www	조직위원회/NNG+(/SS+www/SL

2013sopoc	2013/SN+sopoc/SL

org)	org/SL+)/SS
입장권	입장권/NNG
바로가기	바로가/VV+기/ETN
배너창	배너창/NNG
또는	또는/MAG
인터파크	인터파크/NNP
티켓	티켓/NNG
홈페이지(http://ticket	홈페이지/NNG+(/SS+http/SL+:///SP+ticket/SL

interpark	interpark/SL

com)	com/SL+)/SS
통하여	통하/VV+여/EC
구매할	구매하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC
