“처음이자	“/SL+처음/NNG+이/VCP+자/EC
마지막이	마지막/NNG+이/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
가족여행”	가족여행/NNG+”/SN

역사적인	역사적/NNG+이/VCP+ㄴ/ETM
문화유산이	문화유산/NNG+이/JKS
가장	가장/MAG
많은	많/VA+은/ETM
곳	곳/NNG

수학여행의	수학여행/NNG+의/JKG
단골	단골/NNG
여행지인	여행지/NNG+이/VCP+ㄴ/ETM
경주	경주/NNG

갑자기	갑자기/MAG
찾아온	찾아오/VV+ㄴ/ETM
쌀쌀한	쌀쌀하/VA+ㄴ/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
신라의	신라/NNP+의/JKG
천년	천/NR+년/NNB
역사가	역사/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
경주의	경주/NNP+의/JKG
많은	많/VA+은/ETM
문화유산과	문화유산/NNG+과/JC
자연이	자연/NNG+이/JKS
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
작품들이	작품/NNG+들/XSN+이/JKS
그	그/MM
아름다움을	아름답/VA+ㅁ/ETN+을/JKO
잃지	잃/VV+지/EC
않고	않/VX+고/EC
오히려	오히려/MAG
더	더/MAG
밝게	밝/VA+게/EC
빛나고	빛나/VV+고/EC
있다	있/VX+다/EC

경제적인	경제적/NNG+이/VCP+ㄴ/ETM
어려움과	어려움/NNG+과/JC
이동의	이동/NNG+의/JKG
어려움으로	어려움/NNG+으로/JKB
제한을	제한/NNG+을/JKO
받는	받/VV+는/ETM
장애인들과	장애인/NNG+들/XSN+과/JKB
가족들을	가족/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
기아자동차와	기아자동차/NNP+와/JC
에이블복지재단이	에이블복지재단/NNG+이/JKS
‘3세대	‘/SL+3/SN+세대/NNG
가족여행-우리가족만만세’	가족여행/NNG+-/SO+우리/NP+가족/NNG+만/JX+만/NR+세/NNB+’/SN
경주여행을	경주/NNP+여행/NNG+을/JKO
마련했다	마련하/VV+였/EP+다/EC

이번	이번/NNG
여행은	여행/NNG+은/JX
세대	세대/NNG
간의	간/NNB+의/JKG
소통과	소통/NNG+과/JC
벽을	벽/NNG+을/JKO
허물고자	허물고자/NNG
조부모,	조부모/NNG+,/SP
부모,	부모/NNG+,/SP
자녀로	자녀/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
3세대	3/SN+세대/NNG
여행으로	여행/NNG+으로/JKB
구성됐다	구성되/VV+었/EP+다/EF

근래	근래/NNG
들어	들/VV+어/EC
갑자기	갑자기/MAG
쌀쌀해졌던	쌀쌀하/VA+여/EC+지/VX+었/EP+던/ETM
날씨지만	날씨/NNG+이/VCP+지만/EC
가족들의	가족/NNG+들/XSN+의/JKG
여행을	여행/NNG+을/JKO
위해	위하/VV+여/EC
따뜻하고	따뜻하/VA+고/EC
포근했던	포근하/VA+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
오전9시	오전/NNG+9/SN+시/NNB

그동안	그동안/NNG
함께하기	함께하/VV+기/ETN
힘들었던	힘들/VA+었/EP+던/ETM
가족여행에	가족여행/NNG+에/JKB
참여하기	참여하/VV+기/ETN
위해	위하/VV+여/EC
3세대로	3/SN+세대/NNB+로/JKB
구성된	구성되/VV+ㄴ/ETM
10가족이	10/SN+가족/NNG+이/JKS
모였다	모이/VV+었/EP+다/EC

이번	이번/NNG
가족여행은	가족여행/NNG+은/JX
2박3일	2/SN+박/NNB+3/SN+일/NNB
일정으로	일정/NNG+으로/JKB
안동하회마을을	안동하회마을/NNG+을/JKO
경유하여	경유하/VV+여/EC
