'스페셜	'/SS+스페셜/NNG
스카프’로	스카프/NNG+’/SL+로/JKB
평창동계스페셜올림픽	평창동/NNP+계스페셜올림픽/NNG
알려	알리/VV+어/EC

2013	2013/SN
평창동계스페셜올림픽	평창동계스페셜올/NNP+림픽/NNG
조직위원회(위원장	조직위원회/NNG+(/SS+위원장/NNG
나경원)는	나경원/NNP+)/SS+는/JX
29일	29/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
서울	서울/NNP
컨벤션에서	컨벤션/NNG+에서/JKB
D-100	D/SL+-/SO+100/SN
성공개최	성공개최/NNG
기념	기념/NNG
행사인	행사/NNG+이/VCP+ㄴ/ETM
‘스페셜스카프	‘/SL+스페셜스카프/NNG
만들기	만들/VV+기/ETN
캠페인’을	캠페인’/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

이날	이날/NNG
행사에는	행사/NNG+에/JKB+는/JX
나경원	나경원/NNP
조직위원장과	조직위원장/NNG+과/JC
김금래	김금래/NNP
여성가족부	여성가족부/NNG
장관,	장관/NNG+,/SP
미스코리아	미스코리아/NNG
모임인	모임/NNG+이/VCP+ㄴ/ETM
‘녹원회’	‘/SL+녹원회’/NNG
회원	회원/NNG
등이	등/NNB+이/JKS
참석했다	참석하/VV+였/EP+다/EC

참가자들은	참가자/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
미국	미국/NNP
아이다호	아이다호/NNP
동계대회	동계대회/NNG
때부터	때/NNG+부터/JX
이어져	이어지/VV+어/EC
내려오는	내려오/VV+는/ETM
뜨개질	뜨개질/NNG
스카프	스카프/NNG
전달을	전달/NNG+을/JKO
위해	위하/VV+여/EC
직접	직접/MAG
스페셜스카프를	스페셜스카프/NNG+를/JKO
만들었다	만들/VV+었/EP+다/EC

‘스페셜	‘/SL+스페셜/NNG
스카프’는	스카프/NNG+’/SL+는/JX
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
미국	미국/NNP
아이다호에서	아이다호/NNP+에서/JKB
개최된	개최되/VV+ㄴ/ETM
스페셜올림픽	스페셜올림픽/NNG
동계대회에서	동계대회/NNG+에서/JKB
‘선수들에게	‘/SN+선수/NNG+들/XSN+에게/JKB
줄	주/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
특별한	특별하/VA+ㄴ/ETM
선물이	선물/NNG+이/JKS
무엇일까’하고	무엇/NP+이/VCP+ㄹ/ETM+까’하/VA+고/EC
고민한	고민하/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
시작됐다	시작되/VV+었/EP+다/EC

나경원	나경원/NNG
위원장이	위원장/NNG+이/JKS
조원상	조원/NNG+상/XSN
선수에게	선수/NNG+에게/JKB
목도리를	목도리/NNG+를/JKO
둘러주고	둘러주/VV+고/EC
있다	있/VX+다/EC

ⓒ2013	ⓒ/SL+2013/SN
평창동계스페셜올림픽	평창동계스페셜올/NNP+림픽/NNG
조직위원회	조직위원회/NNG
29일	29/SN+일/NNB
열린	열리/VV+ㄴ/ETM
스페셜스카프	스페셜스카프/NNP
캠페인	캠페인/NNG
행사에서	행사/NNG+에서/JKB
참가자들이	참가자/NNG+들/XSN+이/JKS
스페셜올림픽	스페셜올림픽/NNG
성공개최를	성공개최/NNG+를/JKO
기원하는	기원하/VV+는/ETM
모습	모습/NNG

ⓒ2013	ⓒ/SL+2013/SN
평창동계스페셜올림픽	평창동계스페셜올/NNP+림픽/NNG
조직위원회	조직위원회/NNG
