'외팔이	'/SS+외팔이/NNG
복서'	복서/NNG+'/SS
코스탄티노,	코스탄티노/NNG+,/SP
프로	프로/NNG
데뷔전	데뷔전/NNG
승리	승리/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
신창용	신창용/NNP
기자	기자/NNG
=	=/SW
마이클	마이클/NNP
코스탄티노(33)는	코스탄티노/NNG+(/SS+33/SN+)/SS+는/JX
선천적인	선천적/NNG+이/VCP+ㄴ/ETM
장애인이다	장애인/NNG+이/VCP+다/EC

오른손	오른손/NNG
없이	없이/MAG
태어난	태어나/VV+ㄴ/ETM
코스탄티노가	코스탄티노/NNG+가/JKS
복싱	복싱/NNG
선수가	선수/NNG+가/JKC
되겠다고	되/VV+겠/EP+다고/EC
했을	하/VV+였/EP+을/ETM
때	때/NNG
다들	다/NNG+들/XSN
코웃음을	코웃음/NNG+을/JKO
쳤지만	치/VV+었/EP+지만/EC
그는	그/NP+는/JX
바라던	바라/VV+던/ETM
복서가	복서/NNG+가/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
프로	프로/NNG
데뷔전에서	데뷔전/NNG+에서/JKB
보란	보/VV+란/ETM
듯이	듯이/NNB
승리를	승리/NNG+를/JKO
따냈다	따/VV+아/EC+내/VX+었/EP+다/EF

코스탄티노는	코스탄티노/NNG+는/JX
28일(현지시간)	28/SN+일/NNB+(/SS+현지시간/NNG+)/SS
미국	미국/NNP
뉴욕	뉴욕/NNP
브루클린에	브루클린/NNP+에/JKB
있는	있/VA+는/ETM
애비에이터	애비/NNG+에/JKB+이터/JX
아레나에서	아레나/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
라이트헤비급	라이트헤비급/NNG
경기에서	경기/NNG+에서/JKB
네이선	네이선/NNP
오티즈에게	오티즈/NNP+에게/JKB
2라운드	2/SN+라운드/NNG
1분16초	1/SN+분/NNB+16/SN+초/NNB
만에	만/NNB+에/JKB
TKO승을	TKO/SL+승/NNG+을/JKO
거뒀다	거두/VV+었/EP+다/EC

복싱	복싱/NNG
역사상	역사상/NNG
최초의	최초/NNG+의/JKG
외팔이	외팔이/NNG
복서로	복서/NNG+로/JKB
추정되는	추정되/VV+는/ETM
코스탄티노는	코스탄티노/NNG+는/JX
일반인들보다	일반인/NNG+들/XSN+보다/JKB
훨씬	훨씬/MAG
짧은	짧/VA+은/ETM
오른팔을	오른팔/NNG+을/JKO
주로	주로/MAG
수비용으로만	수비/NNG+용/XSN+으로/JKB+만/JX
썼다	쓰/VV+었/EP+다/EC

승리를	승리/NNG+를/JKO
위해서는	위하/VV+여서/EC+는/JX
왼팔	왼팔/NNG
하나면	하나/NNG+이/VCP+면/EC
충분했다	충분하/VA+었/EP+다/EF

코스탄티노는	코스탄티노/NNG+는/JX
초반부터	초반/NNG+부터/JX
위력적인	위력/NNG+적/XSN+이/VCP+ㄴ/ETM
왼손	왼손/NNG
훅	훅/MAG
공격으로	공격/NNG+으로/JKB
상대를	상대/NNG+를/JKO
압도하며	압도하/VV+며/EC
오티즈를	오티즈/NNP+를/JKO
코너로	코너/NNG+로/JKB
여러	여러/MM
차례	차례/NNG
몰았다	몰/VV+았/EP+다/EF

고전하던	고전하/VV+던/ETM
오티즈가	오티즈/NNG+가/JKS
경기를	경기/NNG+를/JKO
더는	더/MAG+는/JX
계속할	계속하/VV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
없다고	없/VA+다고/EC
판단한	판단하/VV+ㄴ/ETM
주심	주심/NNG
랜디	랜디/NNP
뉴먼은	뉴먼/NNP+은/JX
2라운드	2/SN+라운드/NNG
초반에	초반/NNG+에/JKB
경기를	경기/NNG+를/JKO
중단시키고	중단/NNG+시키/XSV+고/EC
코스탄티노의	코스탄티노/NNG+의/JKG
TKO	TKO/SL
승리를	승리/NNG+를/JKO
선언했다	선언하/VV+였/EP+다/EF

코스탄티노의	코스탄티노/NNG+의/JKG
승리가	승리/NNG+가/JKS
확정되는	확정되/VV+는/ETM
순간	순간/NNG
애비에이터	애비/NNG+에/JKB+이터/JX
센터는	센터/NNG+는/JX
드라마와	드라마/NNG+와/JKB
같은	같/VA+은/ETM
승리에	승리/NNG+에/JKB
취한	취하/VV+ㄴ/ETM
관중의	관중/NNG+의/JKG
환호성으로	환호성/NNG+으로/JKB
뒤덮였다	뒤덮이/VV+었/EP+다/EF

미국	미국/NNP
매체인	매체/NNG+이/VCP+ㄴ/ETM
뉴욕데일리뉴스는	뉴욕데일리뉴스/NNP+는/JX
코스탄티노를	코스탄티노/NNG+를/JKO
미국프로야구의	미국/NNP+프로야구/NNG+의/JKG
'조막손	'/SS+조막손/NNG
투수'	투수/NNG+'/SS
짐	짐/NNP
애보트에	애보트/NNP+에/JKB
비유하며	비유하/VV+며/EC
역경을	역경/NNG+을/JKO
딛고	딛/VV+고/EC
쾌거를	쾌거/NNG+를/JKO
이뤄냈다고	이루/VV+어/EC+내/VX+었/EP+다고/EC
격찬했다	격찬하/VV+였/EP+다/EF

코스탄티노와	코스탄티노/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
오른손이	오른손/NNG+이/JKS
기형이라	기형/NNG+이/VCP+라/EC
왼손으로	왼손/NNG+으로/JKB
투구한	투구하/VV+ㄴ/ETM
뒤	뒤/NNG
수비까지	수비/NNG+까지/JX
병행했던	병행하/VV+였/EP+던/ETM
애보트는	애보트/NNP+는/JX
1989년	1989/SN+년/NNB
캘리포니아	캘리포니아/NNP
에인절스	에인절스/NNP
시절부터	시절/NNG+부터/JX
1999년	1999/SN+년/NNB
밀워키	밀워키/NNP
브루어스에서	브루어스/NNP+에서/JKB
은퇴할	은퇴하/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
10시즌	10/SN+시즌/NNB
동안	동안/NNG
한	한/MM
차례의	차례/NNG+의/JKG
노히트노런을	노히트노런/NNG+을/JKO
비롯해	비롯하/VV+여/EC
통산	통산/NNG
87승108패	87/SN+승/NNG+108/SN+패/NNB
평균자책점	평균자책점/NNG
4	4/SN

25의	25/SN+의/JKG
성적을	성적/NNG+을/JKO
남겼다	남기/VV+었/EP+다/EF

코스탄티노는	코스탄티노/NNG+는/JX
자신의	자신/NNG+의/JKG
시합이	시합/NNG+이/JKS
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
승리의	승리/NNG+의/JKG
메시지가	메시지/NNG+가/JKS
되길	되/VV+기/ETN+ㄹ/JKO
바란다고	바라/VV+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

그는	그/NP+는/JX
"혹시라도	"/SS+혹시/MAG+라도/JX
뭔가를	뭐/NP+이/VCP+ㄴ가/EC+를/JKO
해내기에는	하/VV+여/EC+내/VX+기/ETN+에/JKB+는/JX
자신이	자신/NNG+이/JKS
충분하지	충분하/VA+지/EC
않다고	않/VX+다고/EC
느끼거나	느끼/VV+거나/EC
어떤	어떤/MM
것도	것/NNB+도/JX
가능하지	가능하/VA+지/EC
않다고	않/VX+다고/EC
낙담하고	낙담하/VV+고/EC
있는	있/VX+는/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
시합하는	시합하/VV+는/ETM
모습을	모습/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
"나는	"/SS+나/NP+는/JX
그저	그저/MAG
사람들에게	사람/NNG+들/XSN+에게/JKB
자신이	자신/NNG+이/JKS
하는	하/VV+는/ETM
일에	일/NNG+에/JKB
최선을	최선/NNG+을/JKO
다하고	다하/VV+고/EC
자신을	자신/NNG+을/JKO
믿는다면	믿/VV+는다면/EC
자신에게	자신/NNG+에게/JKB
주어진	주어지/VV+ㄴ/ETM
소명을	소명/NNG+을/JKO
충분히	충분히/MAG
이뤄낼	이루/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실을	사실/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

changyong@yna	changyong/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
