올림픽·패럴림픽	올림픽/NNG+·/SP+패럴림픽/NNG
누적관중	누적관/NNG+중/NNB
400만	400/SN+만/NR
돌파!	돌파/NNB+!/SF

대회	대회/NNG
막바지를	막바지/NNG+를/JKO
향하고	향하/VV+고/EC
있는	있/VX+는/ETM
런던	런던/NNP
패럴림픽에	패럴림픽/NNG+에/JKB
7일	7/SN+일/NNB
하루만	하루/NNG+만/JX
22만3000명의	22/SN+만/NR+3000/SN+명/NNB+의/JKG
관중들이	관중/NNG+들/XSN+이/JKS
찾아와	찾아오/VV+아/EC
선수들에게	선수/NNG+들/XSN+에게/JKB
응원과	응원/NNG+과/JC
격려의	격려/NNG+의/JKG
박수를	박수/NNG+를/JKO
보냈다	보내/VV+었/EP+다/EF

대회	대회/NNG
관계자는	관계자/NNG+는/JX
7일(현지시간)	7/SN+일/NNB+(/SS+현지시간/NNG+)/SS
22만3000명의	22/SN+만/NR+3000/SN+명/NNB+의/JKG
관중들이	관중/NNG+들/XSN+이/JKS
경기장을	경기장/NNG+을/JKO
찾아,	찾/VV+아/EC+,/SP
올림픽과	올림픽/NNG+과/JC
패럴림픽	패럴림픽/NNG
누적관중	누적관/NNG+중/NNB
수	수/NNG
400만을	400/SN+만/NR+을/JKO
돌파했다고	돌파하/VV+였/EP+다고/EC
전했다	전하/VV+었/EP+다/EC

대회	대회/NNG
기간	기간/NNG
집계된	집계되/VV+ㄴ/ETM
400만의	400/SN+만/NR+의/JKG
누적	누적/NNG
관중	관중/NNG
중	중/NNB
순수	순수/NNG
패럴림픽	패럴림픽/NNG
관중	관중/NNG
수는	수/NNG+는/JX
120만	120/SN+만/NR
이상으로	이상/NNG+으로/JKB
추정하고	추정하/VV+고/EC
있어,	있/VX+어/EC+,/SP
상대적으로	상대적/NNG+으로/JKB
대회기간이	대회기간/NNG+이/JKS
긴	길/VA+ㄴ/ETM
올림픽에	올림픽/NNG+에/JKB
견줘	견주/VV+어/EC
버금가는	버금가/VV+는/ETM
관중수를	관중수/NNG+를/JKO
기록하고	기록하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
파악됐다	파악되/VV+었/EP+다/EF

추정치는	추정/NNG+치/XSN+는/JX
대회	대회/NNG
3일차인	3/SN+일차/NNB+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
300만번째	300/SN+만/NR+번째/NNB
관중이	관중/NNG+이/JKS
입장했기	입장하/VV+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

앞으로	앞/NNG+으로/JKB
금요일	금요일/NNG
저녁	저녁/NNG
관중과	관중/NNG+과/JC
주말,	주말/NNG+,/SP
폐막식	폐막식/NNG
관중수를	관중수/NNG+를/JKO
합친다면	합치/VV+ㄴ다면/EC
더	더/MAG
많은	많/VA+은/ETM
관중들이	관중/NNG+들/XSN+이/JKS
찾아올	찾아오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다	있/VX+다/EC

실제로	실제로/MAG
지난	지나/VV+ㄴ/ETM
주말에	주말/NNG+에/JKB
가장	가장/MAG
많은	많/VA+은/ETM
관중들이	관중/NNG+들/XSN+이/JKS
찾아왔던	찾아오/VV+았/EP+던/ETM
점을	점/NNG+을/JKO
비춰볼	비추/VV+어/EC+보/VX+ㄹ/ETM
때	때/NNG
최대	최대/NNG
50만	50/SN+만/NR
이상도	이상/NNG+도/JX
가능할	가능하/VA+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
예상하고	예상하/VV+고/EC
있다	있/VX+다/EC

육상,	육상/NNG+,/SP
수영	수영/NNG
등의	등/NNB+의/JKG
경기	경기/NNG
스타디움	스타디움/NNG
안에는	안/NNG+에/JKB+는/JX
입추의	입추/NNG+의/JKG
여지가	여지/NNB+가/JKS
없이	없이/MAG
관중들로	관중/NNG+들/XSN+로/JKB
가득	가득/MAG
차있고,	차/VV+아/EC+있/VX+고/EC+,/SP
비교적	비교적/NNG
늦은	늦/VA+은/ETM
시간까지	시간/NNG+까지/JX
관중들이	관중/NNG+들/XSN+이/JKS
입장해	입장하/VV+여/EC
연일	연일/NNG
만원사례를	만원사례/NNG+를/JKO
이루고	이루/VV+고/EC
있다	있/VX+다/EC

또한,	또한/MAG+,/SP
런던	런던/NNP
시내에서	시내/NNG+에서/JKB
비교적	비교적/NNG
멀리	멀리/MAG
떨어져	떨어지/VV+어/EC
있는	있/VX+는/ETM
사격장과	사격장/NNG+과/JC
양궁장,	양궁장/NNG+,/SP
액셀	액셀/NNG
노스	노스/NNG
아레나	아레나/NNP
경기장	경기장/NNG
등	등/NNB
에도	에도/NNP
많은	많/VA+은/ETM
관중들이	관중/NNG+들/XSN+이/JKS
찾아와	찾아오/VV+아/EC
선수들을	선수/NNG+들/XSN+을/JKO
응원하고	응원하/VV+고/EC
