가을밤	가을밤/NNG
달군	달구/VV+ㄴ/ETM
‘장애인문화예술축제’	‘/SN+장애인문화예술축제/NNG+’/SL

비장애인과	비장애인/NNG+과/JC
장애인이	장애인/NNG+이/JKS
모두	모두/MAG
한	한/MM
자리에	자리/NNG+에/JKB
모여	모이/VV+어/EC
함께	함께/MAG
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘2012	‘/SL+2012/SN
장애인문화예술축제’가	장애인문화예술축제/NNG+’/SL+가/JKS
네	네/MM
번째	번째/NNB
화려한	화려하/VA+ㄴ/ETM
막을	막/NNG+을/JKO
올리며,	올리/VV+며/EC+,/SP
가을밤을	가을밤/NNG+을/JKO
뜨겁게	뜨겁/VA+게/EC
달궜다	달구/VV+었/EP+다/EF

한국DPI	한국/NNP+DPI/SL
주최,	주최/NNG+,/SP
문화체육관광부	문화체육관광부/NNG
후원으로	후원/NNG+으로/JKB
열린	열리/VV+ㄴ/ETM
2012	2012/SN
장애인문화예술축제	장애인문화예술축제/NNG
개막식은	개막식/NNG+은/JX
15일	15/SN+일/NNB
여의도공원	여의도공원/NNP
문화마당에서	문화마당/NNG+에서/JKB
1000여명의	1000/SN+여/XSN+명/NNB+의/JKG
관객이	관객/NNG+이/JKS
함께한	함께하/VV+ㄴ/ETM
가운데	가운데/NNG
“Dream	“Dream/SL
and	and/SL
Romance”라는	Romance”/SL+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
다양한	다양하/VA+ㄴ/ETM
공연을	공연/NNG+을/JKO
펼쳤다	펼치/VV+었/EP+다/EC

장애인,	장애인/NNG+,/SP
일반시민	일반시민/NNG
등이	등/NNB+이/JKS
하나	하나/NR
된	되/VV+ㄴ/ETM
이날	이날/NNG
개막식은	개막식/NNG+은/JX
엄지공주	엄지공주/NNP
윤선아(지체장애)씨와	윤선아/NNP+(/SS+지체장애/NNG+)/SS+씨/NNB+와/JC
연극배우	연극배우/NNG
이정길씨의	이정길/NNP+씨/NNB+의/JKG
사회로	사회/NNG+로/JKB
진행됐으며,	진행되/VV+었/EP+으며/EC+,/SP
한국DPI	한국/NNP+DPI/SL
김대성	김대성/NNP
회장,	회장/NNG+,/SP
새누리당	새누리당/NNP
심재철	심재철/NNP
의원,	의원/NNG+,/SP
문화체육관광부	문화체육관광부/NNG
김용환	김용환/NNP
차관	차관/NNG
등의	등/NNB+의/JKG
개막	개막/NNG
세레모니로	세레모니/NNG+로/JKB
화려한	화려하/VA+ㄴ/ETM
