최종일	최종일/NNG
앞둔	앞두/VV+ㄴ/ETM
한국	한국/NNP
‘종합	‘/SL+종합/NNG
12위’	12/SN+위/NNB+’/SN
기록	기록/NNG

대회	대회/NNG
11일차인	11/SN+일차/NNB+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
8일(현지시간)	8/SN+일/NNB+(/SS+현지시간/NNG+)/SS
대한민국	대한민국/NNP
선수단은	선수단/NNG+은/JX
최종일을	최종일/NNG+을/JKO
앞두고	앞두/VV+고/EC
금	금/NNG
2,	2/SN+,/SP
은	은/NNG
3,	3/SN+,/SP
동	동/NNG
2개를	2/SN+개/NNB+를/JKO
더하며	더하/VV+며/EC
최고의	최고/NNG+의/JKG
성적을	성적/NNG+을/JKO
거뒀다	거두/VV+었/EP+다/EC

종합순위도	종합순위/NNG+도/JX
육상	육상/NNG
및	및/MAG
구기종목	구기종목/NNG
등	등/NNB
단	단/MM
6개	6/SN+개/NNB
종목만	종목/NNG+만/JX
남기고	남기/VV+고/EC
있는	있/VX+는/ETM
현재	현재/MAG
공식기록	공식기록/NNG
메달	메달/NNG
순위	순위/NNG
종합	종합/NNG
12위(금	12/SN+위/NNB+(/SS+금/NNG
9,	9/SN+,/SP
은	은/NNG
9,	9/SN+,/SP
동	동/NNG
9)를	9/SN+)/SS+를/JKO
달리고	달리/VV+고/EC
있어	있/VX+어/EC
대회전	대/XPN+회전/NNG
종합	종합/NNG
13위	13/SN+위/NNB
이상이라는	이상/NNG+이/VCP+라는/ETM
목표를	목표/NNG+를/JKO
상회할	상회하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
전망이다	전망/NNG+이/VCP+다/EC

또한,	또한/MAG+,/SP
대한민국의	대한민국/NNP+의/JKG
역대	역대/NNG
패럴림픽	패럴림픽/NNG
메달	메달/NNG
300개도	300/SN+개/NNB+도/JX
돌파했다	돌파하/VV+였/EP+다/EC

이날	이날/NNG
오후	오후/NNG
12시30분에	12/SN+시/NNB+30/SN+분/NNB+에/JKB
액셀	액셀/NNG
아레나에서	아레나/NNP+에서/JKB
펼쳐진	펼쳐지/VV+ㄴ/ETM
남자	남자/NNG
탁구	탁구/NNG
단체	단체/NNG
클래스	클래스/NNG
4-5에서	4/SN+-/SO+5/SN+에서/JKB
은메달을	은메달/NNG+을/JKO
획득,	획득/NNG+,/SP
지난1968년	지나/VV+ㄴ/ETM+1968/SN+년/NNB
이스라엘	이스라엘/NNP
대회부터	대회/NNG+부터/JX
