<장애인체전>	</SS+장애인체전/NNG+>/SS
'전설'로	'/SS+전설/NNG+'/SS+로/JKB
우뚝	우뚝/MAG
선	서/VV+ㄴ/ETM
육상	육상/NNG
전민재	전민재/NNP

(고양=연합뉴스)	(/SS+고양/NNG+=/SW+연합뉴스/NNP+)/SS
장재은	장재/NNP+은/JX
기자	기자/NNG
=	=/SW
패럴림픽	패럴림픽/NNG
육상	육상/NNG
은메달리스트	은메달리스트/NNG
전민재(35)가	전민재/NNP+(/SS+35/SN+)/SS+가/JKS
전국장애인체육대회를	전/MM+국장애인체육대회/NNG+를/JKO
빛내는	빛내/VV+는/ETM
'전설'로	'/SS+전설/NNG+'/SS+로/JKB
우뚝	우뚝/MAG
섰다	서/VV+었/EP+다/EC

전민재는	전민재/NNP+는/JX
11일	11/SN+일/NNB
고양종합운동장에서	고양종합운동장/NNP+에서/JKB
막을	막/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
육상	육상/NNG
트랙	트랙/NNG
T36(뇌성마비)에서	T/SL+36/SN+(/SS+뇌성마비/NNG+)/SS+에서/JKB
100ｍ,	100/SN+ｍ/SL+,/SP
200ｍ,	200/SN+ｍ/SL+,/SP
400ｍ를	400/SN+ｍ/SL+를/JKO
석권해	석권하/VV+여/EC
3관왕에	3/SN+관왕/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

육상에서	육상/NNG+에서/JKB
유례가	유례/NNG+가/JKS
없는	없/VA+는/ETM
성취	성취/NNG
행진이다	행진/NNG+이/VCP+다/EC

전민재는	전민재/NNP+는/JX
2004년부터	2004/SN+년/NNB+부터/JX
올해까지	올해/NNG+까지/JX
무려	무려/MAG
9년	9/SN+년/NNB
동안	동안/NNG
한	한/MM
해도	해/NNB+도/JX
빠지지	빠지/VV+지/EC
않고	않/VX+고/EC
체전에서	체전/NNG+에서/JKB
3관왕에	3/SN+관왕/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

어머니	어머니/NNG
한재영	한재영/NNP
씨는	씨/NNB+는/JX
"딸이	"/SS+딸/NNG+이/JKS
매년	매년/MAG
체전을	체전/NNG+을/JKO
빛내는	빛내/VV+는/ETM
것이	것/NNB+이/JKS
일상처럼	일상/NNG+처럼/JKB
됐지만	되/VV+었/EP+지만/EC
장하고	장하/VV+고/EC
뿌듯한	뿌듯하/VA+ㄴ/ETM
마음은	마음/NNG+은/JX
