장애인	장애인/NNG
창작뮤지컬	창작뮤지컬/NNG
‘ONE&ONE’	‘ONE/SL+&/SW+ONE’/SL
美	美/SL
성공적	성공적/NNG
진출	진출/NNG

한국장애인국제예술단이	한국장애인국제예술단/NNP+이/JKS
기획하고	기획하/VV+고/EC
제작한	제작하/VV+ㄴ/ETM
창작뮤지컬	창작뮤지컬/NNG
‘ONE&ONE’이	‘ONE/SL+&/SW+ONE’/SL+이/JKS
미국의	미국/NNP+의/JKG
클린데이와	클린데이/NNP+와/JC
플러턴에서	플러턴/NNP+에서/JKB
2회	2/SN+회/NNB
공연을	공연/NNG+을/JKO
펼쳐,	펼치/VV+어/EC+,/SP
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
작품이라는	작품/NNG+이/VCP+라는/ETM
호평을	호평/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

1일	1/SN+일/NNB
클린테이에서	클린테이/NNG+에서/JKB
진행된	진행되/VV+ㄴ/ETM
뮤지컬	뮤지컬/NNG
갈라쇼에서는	갈라쇼/NNG+에서/JKB+는/JX
삶을	삶/NNG+을/JKO
포기하고	포기하/VV+고/EC
자살을	자살/NNG+을/JKO
하려고	하/VV+려고/EC
했던	하/VX+였/EP+던/ETM
20대	20/SN+대/NNB
여성이	여성/NNG+이/JKS
우연히	우연히/MAG
발견하게	발견하/VV+게/EC
된	되/VV+ㄴ/ETM
뮤지컬	뮤지컬/NNG
포스터를	포스터/NNG+를/JKO
보고	보/VV+고/EC
찾아와	찾아오/VV+아/EC
공연을	공연/NNG+을/JKO
본	보/VV+ㄴ/ETM
후	후/NNG
다시	다시/MAG
삶의	삶/NNG+의/JKG
희망을	희망/NNG+을/JKO
찾는	찾/VV+는/ETM
기적	기적/NNG
같은	같/VA+은/ETM
일도	일/NNG+도/JX
일어났다	일어나/VV+았/EP+다/EF

5일	5/SN+일/NNB
폴러턴에서	폴러턴/NNP+에서/JKB
진행된	진행되/VV+ㄴ/ETM
뮤지컬	뮤지컬/NNG
본	본/MM
공연에서도	공연/NNG+에서/JKB+도/JX
10분	10/SN+분/NNB
동안이나	동안/NNG+이나/JC
객석을	객석/NNG+을/JKO
가득	가득/MAG
메운	메우/VV+ㄴ/ETM
관객들의	관객/NNG+들/XSN+의/JKG
기립박수가	기립박수/NNG+가/JKS
이어지기도	이어지/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

현지	현지/NNG
언론들도	언론/NNG+들/XSN+도/JX
혼신을	혼신/NNG+을/JKO
다한	다하/VV+ㄴ/ETM
연기로	연기/NNG+로/JKB
감동을	감동/NNG+을/JKO
전해주었다고	전하/VV+여/EC+주/VX+었/EP+다고/EC
극찬을	극찬/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다	않/VX+았/EP+다/EF

또한	또한/MAG
미	미/NNP
백악관	백악관/NNP
박동우	박동우/NNP
장애정책	장애정책/NNG
위원이	위원/NNG+이/JKS
미국	미국/NNP
LA공항	LA/SL+공항/NNG
입국에서부터	입국/NNG+에서부터/JKB
현지	현지/NNG
모든	모든/MM
공연에	공연/NNG+에/JKB
아낌없는	아낌없/VA+는/ETM
지원과	지원/NNG+과/JC
지지를	지지/NNG+를/JKO
보내	보내/VV+어/EC
힘을	힘/NNG+을/JKO
실어주기도	싣/VV+어/EC+주/VX+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

특히	특히/MAG
미국의	미국/NNP+의/JKG
한국계	한국/NNP+계/XSN
배우	배우/NNG
에스더	에스더/NNP
채는	채/NNB+는/JX
뮤지컬	뮤지컬/NNG
공연을	공연/NNG+을/JKO
관람한	관람하/VV+ㄴ/ETM
후	후/NNG
배우들의	배우/NNG+들/XSN+의/JKG
뛰어난	뛰어나/VA+ㄴ/ETM
노래	노래/NNG
실력에	실력/NNG+에/JKB
극찬과	극찬/NNG+과/JKB
함께	함께/MAG
단원	단원/NNG
모두	모두/MAG
헐리우드에	헐리우드/NNP+에/JKB
초대해서	초대하/VV+여서/EC
우정의	우정/NNG+의/JKG
시간을	시간/NNG+을/JKO
갖기도	갖/VV+기/ETN+도/JX
했다는	하/VX+였/EP+다는/ETM
후문이다	후문/NNG+이/VCP+다/EC

'네바퀴의	'/SS+네바퀴/NNG+의/JKG
꿈'을	꿈/NNG+'/SS+을/JKO
열창하는	열창하/VV+는/ETM
배우	배우/NNG

ⓒ한국장애인국제예술단	ⓒ/SL+한국장애인국제예술단/NNP
창작뮤지컬	창작뮤지컬/NNG
‘ONE&ONE’	‘ONE/SL+&/SW+ONE’/SL
공연모습	공연모습/NNG

ⓒ한국장애인국제예술단	ⓒ/SL+한국장애인국제예술단/NNP
미	미/NNP
백악관	백악관/NNP
장애정책	장애정책/NNG
박동우	박동우/NNP
위원과	위원/NNG+과/JKB
함께한	함께하/VV+ㄴ/ETM
단원들	단원/NNG+들/XSN

ⓒ한국장애인국제예술단	ⓒ/SL+한국장애인국제예술단/NNP
창작뮤지컬	창작뮤지컬/NNG
‘ONE&ONE’	‘ONE/SL+&/SW+ONE’/SL
공연	공연/NNG
후	후/NNG
모습	모습/NNG

ⓒ한국장애인국제예술단	ⓒ/SL+한국장애인국제예술단/NNP
