드러내지	드러내/VV+지/EC
않은	않/VX+은/ETM
장애로	장애/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
‘오해’	‘/SL+오해/NNG+’/SN

‘아프니까	‘/SN+아프니까/NNP
청춘이다’라는	청춘/NNG+이/VCP+다’/EC+이/VCP+라는/ETM
말이	말/NNG+이/JKS
있다	있/VA+다/EC

여기에	여기/NP+에/JKB
난	난/NNG
‘장애라서	‘장애/NNG+이/VCP+라서/EC
아픈	아프/VA+ㄴ/ETM
청춘이다’라는	청춘/NNG+이/VCP+다’/EC+이/VCP+라는/ETM
말을	말/NNG+을/JKO
해주고	하/VV+여/EC+주/VX+고/EC
싶다	싶/VX+다/EC

장애를	장애/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
청춘들은	청춘/NNG+들/XSN+은/JX
비장애인보다	비장애인/NNG+보다/JKB
더	더/MAG
아프다	아프/VA+다/EF

더	더/MAG
괴롭다	괴롭/VA+다/EC

청춘의	청춘/NNG+의/JKG
시기를	시기/NNG+를/JKO
맘껏	맘껏/MAG
누려보지	누리/VV+어/EC+보/VX+지/EC
못한	못하/VX+ㄴ/ETM
우리들은	우리/NP+들/XSN+은/JX
청춘이	청춘/NNG+이/JKS
저물	저물/VV+ㄹ/ETM
때야	때/NNG+야/JX
비로소	비로소/MAG
말을	말/NNG+을/JKO
건넨다	건네/VV+ㄴ다/EF

고통의	고통/NNG+의/JKG
시간을	시간/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
과거의	과거/NNG+의/JKG
나에게	나/NP+에게/JKB
진심으로	진심/NNG+으로/JKB
‘넌	‘/SN+넌/XSN
잘	잘/MAG
견뎌왔어’라고	견디/VV+어/EC+오/VX+았/EP+어/EC+’/VV+라고/EC

영화	영화/NNG
'별볼일	'/SS+별볼일/NNG
없는	없/VA+는/ETM
놈'의	놈/NNB+'/SS+의/JKG
주인공은	주인공/NNG+은/JX
망막색소변병증을	망막색소변병증/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
평범한	평범하/VA+ㄴ/ETM
대학생이다	대학생/NNG+이/VCP+다/EC

그는	그/NP+는/JX
영화를	영화/NNG+를/JKO
좋아하고	좋아하/VV+고/EC
영화를	영화/NNG+를/JKO
만드는	만들/VV+는/ETM
게	것/NNB+이/JKS
꿈이다	꿈/NNG+이/VCP+다/EC

17살	17/SN+살/NNB
때	때/NNG
이	이/MM
병을	병/NNG+을/JKO
처음	처음/NNG
알게	알/VV+게/EC
되었지만	되/VV+었/EP+지만/EC
24살인	24/SN+살/NNB+이/VCP+ㄴ/ETM
지금까지	지금/NNG+까지/JX
그	그/MM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
있는	있/VX+는/ETM
사람은	사람/NNG+은/JX
거의	거의/MAG
없는	없/VA+는/ETM
듯하다	듯하/VX+다/EC

그런	그런/MM
이유로	이유/NNG+로/JKB
인해	인하/VV+여/EC
그는	그/NP+는/JX
싸가지,	싸/VV+아가지/EC+,/SP
예의	예의/NNG
없는	없/VA+는/ETM
놈	놈/NNB
이란	이/VCP+란/ETM
소리를	소리/NNG+를/JKO
밥	밥/NNG
먹듯	먹/VV+듯/EC
듣는다	듣/VV+는다/EF

이	이/MM
영화는	영화/NNG+는/JX
그런	그런/MM
일로	일/NNG+로/JKB
인해	인하/VV+여/EC
벌어지는	벌어지/VV+는/ETM
에피소드를	에피소드/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
영화다	영화/NNG+이/VCP+다/EF

장애인의	장애인/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
보면	보/VV+면/EC
당연한	당연하/VA+ㄴ/ETM
것이	것/NNB+이/JKS
일반	일반/NNG
