장애인에게	장애인/NNG+에게/JKB
꿈같은	꿈같/VA+은/ETM
아프리카	아프리카/NNP
여행	여행/NNG
가능	가능/NNG

가끔씩	가끔/MAG+씩/XSN
외국	외국/NNG
여행을	여행/NNG+을/JKO
제안	제안/NNG
받는다	받/VV+는다/EC

멕시코나	멕시코/NNP+나/JC
중국	중국/NNP
등을	등/NNB+을/JKO
제안	제안/NNG
받을	받/VV+을/ETM
때	때/NNG
그곳에	그곳/NP+에/JKB
갔을	가/VV+았/EP+을/ETM
때	때/NNG
장애인이	장애인/NNG+이/JKS
활동할	활동하/VV+ㄹ/ETM
수	수/NNB
있느냐고	있/VA+느냐고/EC
물으면	묻/VV+으면/EC
머쓱해	머쓱하/VA+여/EC
한다	하/VV+ㄴ다/EF

비장애인들이기	비장애인/NNG+들/XSN+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
장애인의	장애인/NNG+의/JKG
여행에	여행/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
사정들을	사정/NNG+들/XSN+을/JKO
속속들이	속속들이/MAG
알리가	알리/NNP+가/JKS
없다	없/VA+다/EC

그래도	그리하/VV+여도/EC
가고	가/VX+고/EC
싶은	싶/VX+은/ETM
곳들이	곳/NNG+들/XSN+이/JKS
참	참/MAG
많다	많/VA+다/EC

그	그/MM
중에서도	중/NNB+에서/JKB+도/JX
특히	특히/MAG
아프리카	아프리카/NNP

아직	아직/MAG
문명의	문명/NNG+의/JKG
이기가	이기/NNG+가/JKS
많지	많/VA+지/EC
않은	않/VX+은/ETM
그곳에서	그곳/NP+에서/JKB
태고의	태고/NNG+의/JKG
자연을	자연/NNG+을/JKO
느껴보고	느끼/VV+어/EC+보/VX+고/EC
싶다	싶/VX+다/EC

그러나	그러나/MAJ
문명의	문명/NNG+의/JKG
이기가	이기/NNG+가/JKS
만들어	만들/VV+어/EC
놓은	놓/VX+은/ETM
편의시설이	편의시설/NNG+이/JKS
있을	있/VA+을/ETM
리	리/NNB
없는	없/VA+는/ETM
아프리카는	아프리카/NNP+는/JX
장애인들에게	장애인/NNG+들/XSN+에게/JKB
꿈에서나	꿈/NNG+에서/JKB+나/JX
가	가/VV+아/EC
볼법한	볼법하/VA+ㄴ/ETM
곳이었다	곳/NNG+이/VCP+었/EP+다/EF

그러나	그러나/MAJ
남아프리카공화국	남아프리카공화국/NNP
웨스턴	웨스턴/NNP
케이프주(州)의	케이프주/NNP+(/SS+州/SL+)/SS+의/JKG
케이프타운만은	케이프타운/NNG+만은/JX
이제	이제/MAG
예외가	예외/NNG+가/JKC
됐다	되/VV+었/EP+다/EC

이제	이제/MAG
지체장애인도	지체장애인/NNG+도/JX
어려움	어려움/NNG
없이	없이/MAG
아프리카를	아프리카/NNP+를/JKO
방문할	방문하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있게	있/VA+게/EC
된	되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

케이프타운의	케이프타운/NNG+의/JKG
누어	누어/NNG
데호익에는	데호익/NNP+에/JKB+는/JX
장애인	장애인/NNG
전용	전용/NNG
숙박	숙박/NNG
시설	시설/NNG
'에픽	'/SS+에픽/NNG
게스트	게스트/NNG
하우스'가	하우스/NNG+'/SS+가/JKS
있다	있/VA+다/EC

건물은	건물/NNG+은/JX
우리가	우리/NP+가/JKS
상상하던	상상하/VV+던/ETM
아프리카의	아프리카/NNP+의/JKG
나무로	나무/NNG+로/JKB
지은	짓/VV+은/ETM
집들과는	집/NNG+들/XSN+과/JKB+는/JX
전혀	전혀/MAG
다르다	다르/VA+다/EC

최신식의	최신식/NNG+의/JKG
화려한	화려하/VA+ㄴ/ETM
건물이다	건물/NNG+이/VCP+다/EC

이	이/MM
건물	건물/NNG
안에는	안/NNG+에/JKB+는/JX
장애인이	장애인/NNG+이/JKS
불편없이	불편/NNG+없이/MAG
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
완벽한	완벽하/VA+ㄴ/ETM
시설이	시설/NNG+이/JKS
마련되어있다	마련되/VV+어/EC+있/VX+다/EC

부엌에서부터	부엌/NNG+에서부터/JKB
화장실까지	화장실/NNG+까지/JX
구조도	구조/NNG+도/JX
넓직하고	넓직하/VA+고/EC
높이며	높이/VV+며/EC
손잡이들이	손잡이/NNG+들/XSN+이/JKS
장애인이	장애인/NNG+이/JKS
편하게	편하/VA+게/EC
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
갖추어져	갖추/VV+어/EC+지/VX+어/EC
있다	있/VX+다/EF

에픽	에픽/NNG
게스트	게스트/NNG
하우스만	하우스/NNG+만/JX
장애	장애/NNG
시설이	시설/NNG+이/JKC
되어있을까?	되/VV+어/EC+있/VX+을까/EF+?/SF
그렇다면	그렇/VA+다면/EC
진정한	진정하/VA+ㄴ/ETM
아프리카	아프리카/NNP
여행의	여행/NNG+의/JKG
의미가	의미/NNG+가/JKS
없다	없/VA+다/EC

관광까지도	관광/NNG+까지도/JX
가능해야	가능하/VA+여야/EC
한다	하/VX+ㄴ다/EF

에픽에는	에픽/NNG+에/JKB+는/JX
장애인	장애인/NNG
리프트가	리프트/NNG+가/JKS
설치된	설치되/VV+ㄴ/ETM
사파리(야생	사파리/NNG+(/SS+야생/NNG
동물	동물/NNG
자연	자연/NNG
관광)	관광/NNG+)/SS
관광	관광/NNG
밴이	밴/NNG+이/JKS
준비되어있다	준비되/VV+어/EC+있/VX+다/EC

이	이/MM
밴을	밴/NNG+을/JKO
타고	타/VV+고/EC
나가	나가/VV+아/EC
손에	손/NNG+에/JKB
닿을	닿/VV+을/ETM
듯	듯/NNB
가까운	가깝/VA+ㄴ/ETM
거리에서	거리/NNG+에서/JKB
코끼리,	코끼리/NNG+,/SP
기린,	기린/NNG+,/SP
표범,	표범/NNG+,/SP
들소들을	들소/NNG+들/XSN+을/JKO
볼	보/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있다	있/VA+다/EC

가끔씩은	가끔/MAG+씩/XSN+은/JX
밴에서	밴/NNG+에서/JKB
내려	내리/VV+어/EC
주위를	주위/NNG+를/JKO
둘러	두르/VV+어/EC
보거나	보/VX+거나/EC
전망	전망/NNG
좋은	좋/VA+은/ETM
곳에서	곳/NNG+에서/JKB
사진	사진/NNG
촬영도	촬영/NNG+도/JX
가능하다	가능하/VA+다/EC

특히	특히/MAG
8km에	8/SN+km/SL+에/JKB
이르는	이르/VV+는/ETM
해변에서	해변/NNG+에서/JKB
대서양을	대서양/NNP+을/JKO
볼	보/VV+ㄹ/ETM
수도	수/NNB+도/JX
있고	있/VA+고/EC
수목원,	수목원/NNG+,/SP
숲속도	숲속/NNG+도/JX
관광이	관광/NNG+이/JKS
가능하다	가능하/VA+다/EC

이제	이제/MAG
장애인들에게	장애인/NNG+들/XSN+에게/JKB
마냥	마냥/MAG
멀게만	멀/VA+게/EC+만/JX
느껴지던	느끼/VV+어/EC+지/VX+던/ETM
아프리카도	아프리카/NNP+도/JX
직접	직접/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시대가	시대/NNG+가/JKC
됐다	되/VV+었/EP+다/EC

실내(출처:	실내/NNG+(/SS+출처/NNG+:/SP
에픽	에픽/NNG
게스트	게스트/NNG
하우스	하우스/NNG
홈페이지	홈페이지/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
장애인이	장애인/NNG+이/JKS
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
샤워장(출처:	샤워/NNG+장/XSN+(/SS+출처/NNG+:/SP
에픽	에픽/NNG
게스트	게스트/NNG
하우스	하우스/NNG
홈페이지	홈페이지/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SN+샘/NNG
장애인용	장애인/NNG+용/XSN
사파리	사파리/NNG
밴에	밴/NNG+에/JKB
오르는	오르/VV+는/ETM
장애인(출처:	장애인/NNG+(/SS+출처/NNG+:/SP
에픽	에픽/NNG
게스트	게스트/NNG
하우스	하우스/NNG
홈페이지	홈페이지/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
사파리	사파리/NNG
안의	안/NNG+의/JKG
들소들(출처:	들소/NNG+들/XSN+(/SS+출처/NNG+:/SP
에픽	에픽/NNG
게스트	게스트/NNG
하우스	하우스/NNG
홈페이지	홈페이지/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
관광을	관광/NNG+을/JKO
위해	위하/VV+여/EC
차에서	차/NNG+에서/JKB
내리고	내리/VV+고/EC
있는	있/VX+는/ETM
장애인(출처:	장애인/NNG+(/SS+출처/NNG+:/SP
에픽	에픽/NNG
게스트	게스트/NNG
