스페셜올림픽	스페셜올림픽/NNG
D-100	D/SL+-/SO+100/SN
성공기원	성공기원/NNG
음악회	음악회/NNG
개최	개최/NNG

2013평창동계스페셜올림픽세계대회	2013/SN+평/NNB+창동계스페셜올림픽세계대회/NNP
조직위원회(위원장	조직위원회/NNG+(/SS+위원장/NNG
나경원)는	나경원/NNP+)/SS+는/JX
오는	오/VV+는/ETM
10월	10/SN+월/NNB
9일	9/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
30분부터	30/SN+분/NNB+부터/JX
예술의전당	예술의전당/NNP
오페라하우스에서	오페라하우스/NNG+에서/JKB
‘2013평창동계스페셜올림픽세계대회	‘/SL+2013/SN+평/NNB+창동계스페셜올림픽세계대회/NNP
D-100일	D/SL+-/SO+100/SN+일/NNB
성공기원	성공기원/NNP
음악회’를	음악회’/NNG+를/JKO
개최한다	개최하/VV+ㄴ다/EF

이번	이번/NNG
음악회에서는	음악회/NNG+에서/JKB+는/JX
‘지적장애인	‘/SL+지적장애인/NNG
오케스트라	오케스트라/NNG
하트하트’가	하트하트/NNG+’/SL+가/JKS
클린카의	클린카/NNP+의/JKG
루슬란과	루슬란/NNP+과/JC
르드밀라	르드밀라/NNP
서곡	서곡/NNG
등을,	등/NNB+을/JKO+,/SP
‘김남윤과	‘/SL+김남윤/NNP+과/JC
바이올림	바이올림/NNG
오케스트라’가	오케스트라’/NNG+가/JKS
하차투리안의	하차투리안/NNG+의/JKG
무용모음곡(가이느)	무용모음곡/NNG+(/SS+가이느/NNP+)/SS
중	중/NNB
제1곡	제/XPN+1/SN+곡/NNG
칼춤	칼춤/NNG
등을	등/NNB+을/JKO
연주한다	연주하/VV+ㄴ다/EF

한편	한편/MAG
2013평창동계스페셜올림픽은	2013/SN+평/NNB+창동계스페셜올림픽/NNP+은/JX
전	전/MM
세계	세계/NNG
지적발달장애인들의	지적발달장애인/NNG+들/XSN+의/JKG
운동능력과	운동능력/NNG+과/JC
사회적응력을	사회적응력/NNG+을/JKO
향상시켜	향상/NNG+시키/XSV+어/EC
생산적인	생산적/NNG+이/VCP+ㄴ/ETM
사회구성원으로	사회구성원/NNG+으로/JKB
인정받도록	인정받/VV+도록/EC
하는데	하/VX+는/ETM+데/NNB
기여하고자	기여하/VV+고자/EC
마련된	마련되/VV+ㄴ/ETM
국제스포츠대회로	국제스포츠대회/NNG+로/JKB
내년	내년/NNG
1월	1/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
8일간	8/SN+일/NNB+간/XSN
강원도	강원도/NNP
강릉	강릉/NNP
및	및/MAG
평창	평창/NNP
일대에서	일대/NNG+에서/JKB
열린다	열리/VV+ㄴ다/EF
