인권위,	인권위/NNG+,/SP
장애인체육선수	장애인체육선수/NNG
인권침해	인권침해/NNG
직권조사	직권조사/NNG

국가인권위원회는	국가인권위원회/NNG+는/JX
지도자의	지도자/NNG+의/JKG
런던장애인올림픽	런던/NNP+장애인올림픽/NNG
대표선수	대표선수/NNG
폭행	폭행/NNG
및	및/MAG
금품갈취	금품갈취/NNG
사건과	사건/NNG+과/JKB
관련해	관련하/VV+여/EC
장애인	장애인/NNG
체육선수	체육선수/NNG
인권침해	인권침해/NNG
전반에	전반/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
직권조사를	직권조사/NNG+를/JKO
실시하기로	실시하/VV+기/ETN+로/JKB
결정했다고	결정하/VV+였/EP+다고/EC
2일	2/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

인권위는	인권위/NNG+는/JX
“런던장애인올림픽	“/SN+런던/NNP+장애인올림픽/NNG
대표팀	대표팀/NNG
코치에	코치/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
선수	선수/NNG
폭행	폭행/NNG
및	및/MAG
금품갈취에	금품갈취/NNG+에/JKB
대해	대하/VV+여/EC
장애인체육회의	장애인체육회/NNG+의/JKG
자체	자체/NNG
조사결과에서도	조사결과/NNG+에서/JKB+도/JX
일부	일부/NNG
폭행	폭행/NNG
및	및/MAG
금품갈취	금품갈취/NNG
사실이	사실/NNG+이/JKS
확인됐다”면서	확인되/VV+었/EP+다/EC+”/VX+면서/EC
“피해	“피하/VV+여/EC
선수가	선수/NNG+가/JKS
오래	오래/MAG
전부터	전/NNG+부터/JX
폭행을	폭행/NNG+을/JKO
당하고도	당하/VV+고도/EC
이를	이/NP+를/JKO
문제	문제/NNG
삼지	삼/VV+지/EC
못했던	못하/VX+였/EP+던/ETM
것은	것/NNB+은/JX
출전	출전/NNG
선수	선수/NNG
선발	선발/NNG
시스템	시스템/NNG
등	등/NNB
구조적	구조적/NNG
문제에	문제/NNG+에/JKB
기인한	기인하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보일/VV+ㄴ다”고/EC
직권조사	직권조사/NNG
배경을	배경/NNG+을/JKO
설명했다	설명하/VV+었/EP+다/EC

특히	특히/MAG
인권위는	인권위/NNG+는/JX
“피해	“/SN+피해/NNG
선수가	선수/NNG+가/JKS
중증장애인이라는	중증장애인/NNG+이/VCP+라는/ETM
점,	점/NNG+,/SP
출전선수의	출전선수/NNG+의/JKG
컨디션이	컨디션/NNG+이/JKS
경기에	경기/NNG+에/JKB
직접적인	직접적/NNG+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
민감한	민감하/VA+ㄴ/ETM
시기인	시기/NNG+이/VCP+ㄴ/ETM
대회기간	대회기간/NNG
중에	중/NNB+에/JKB
폭행이	폭행/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
점으로	점/NNG+으로/JKB
보아	보/VV+아/EC
감독이나	감독/NNG+이나/JC
코치에	코치/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
장애인	장애인/NNG
선수	선수/NNG
폭행이	폭행/NNG+이/JKS
상습적이고	상습적/NNG+이/VCP+고/EC
관행화된	관행/NNG+화/XSN+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아닌지	아니/VCN+ㄴ지/EC
의심되고	의심되/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

직권조사	직권조사/NNG
대상은	대상/NNG+은/JX
대한장애인체육회,	대한장애인체육회/NNP+,/SP
이천장애인체육종합훈련원,	이천/NNP+장애인체육종합훈련원/NNG+,/SP
전?현직	전/NNG+?/SF+현직/NNG
체육선수	체육선수/NNG
지도자	지도자/NNG
및	및/MAG
관리자다	관리자다/NNG

인권위는	인권위/NNG+는/JX
직권조사	직권조사/NNG
결과	결과/NNG
밝혀진	밝혀지/VV+ㄴ/ETM
인권침해	인권침해/NNG
행위에	행위/NNG+에/JKB
대해	대하/VV+여/EC
사안에	사안/NNG+에/JKB
따라	따르/VV+아/EC
권고	권고/NNG
등	등/NNB
필요한	필요하/VA+ㄴ/ETM
조치를	조치/NNG+를/JKO
취하고,	취하/VV+고/EC+,/SP
향후	향후/NNG
재발	재발/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
개선방안을	개선방안/NNG+을/JKO
마련해	마련하/VV+여/EC
관계	관계/NNG
부처에	부처/NNG+에/JKB
권고할	권고하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
