메카가	메카/NNP+가/JKS
모든	모든/MM
것의	것/NNB+의/JKG
중심인가	중심/NNG+이/VCP+ㄴ가/EF

KBS-2TV에서는	KBS/SL+-/SO+2/SN+TV/SL+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
12일부터	12/SN+일/NNB+부터/JX
수목드라마로	수목드라마/NNG+로/JKB
'세상	'/SS+세상/NNG
어디에도	어디/NP+에/JKB+도/JX
없는	없/VA+는/ETM
차칸남자'를	차칸남자/NNG+'/SS+를/JKO
방영했다	방영하/VV+였/EP+다/EC

‘차칸남자가’가	‘/SN+차칸남자/NNG+가/JKS+’/SL+가/JKS
나오자마자	나오/VV+자마자/EC
시청자들은	시청자/NNG+들/XSN+은/JX
KBS에서	KBS/SL+에서/JKB
맞춤법에	맞춤법/NNG+에/JKB
어긋나는	어긋나/VV+는/ETM
제목으로	제목/NNG+으로/JKB
우리말을	우리말/NNG+을/JKO
망치는데	망치/VV+는데/EC
앞장선다고	앞장서/VV+ㄴ다고/EC
비판을	비판/NNG+을/JKO
하기	하/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

결국	결국/NNG
KBS에서는	KBS/SL+에서/JKB+는/JX
예술	예술/NNG
창작정신의	창작정신/NNG+의/JKG
자유에	자유/NNG+에/JKB
앞서,	앞서/VV+어/EC+,/SP
표기로	표기/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
시청자	시청자/NNG
혼란을	혼란/NNG+을/JKO
우려해	우려하/VV+여/EC
'착한	'/SS+착하/VA+ㄴ/ETM
남자'로	남자/NNG+'/SS+로/JKB
변경한다고	변경하/VV+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

KBS-2TV	KBS/SL+-/SO+2/SN+TV/SL
차칸남자	차칸남자/NNG

ⓒKBS	ⓒKBS/SL
KBS-2TV	KBS/SL+-/SO+2/SN+TV/SL
착한남자	착한남/NNP+자/NNG

ⓒKBS	ⓒKBS/SL
이를	이/NP+를/JKO
두고	두/VV+고/EC
어느	어느/MM
대중문화	대중문화/NNG
평론가는	평론가/NNG+는/JX
'창작의	'/SS+창작/NNG+의/JKG
자유	자유/NNG
꺾은	꺾/VV+은/ETM
촌극'이라고	촌극/NNG+'/SS+이라고/JKQ
했다	하/VV+였/EP+다/EC

그는	그/NP+는/JX
‘시사나	‘/SN+시사/NNG+나/JC
보도	보도/NNG
프로그램도	프로그램/NNG+도/JX
아니고,	아니/VCN+고/EC+,/SP
허구나	허구/NNG+나/JC
과장이	과장/NNG+이/JKS
삽입될	삽입되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
드라마에까지	드라마/NNG+에/JKB+까지/JX
엄격한	엄격하/VA+ㄴ/ETM
맞춤법	맞춤법/NNG
기준을	기준/NNG+을/JKO
적용하는	적용하/VV+는/ETM
것은	것/NNB+은/JX
억지스러워	억지스럽/VA+어/EC
보이지	보이/VV+지/EC
않을	않/VX+을/ETM
수가	수/NNB+가/JKS
없다’며	없/VA+다/EC+’/VX+며/EC
표현의	표현/NNG+의/JKG
자유는	자유/NNG+는/JX
문화	문화/NNG
다양성을	다양성/NNG+을/JKO
위해서도	위하/VV+여서/EC+도/JX
존중받아야	존중/NNG+받/VV+아야/EC
마땅하다고	마땅하/VA+다고/EC
주장했다	주장하/VV+였/EP+다/EF

물론	물론/MAG
표현의	표현/NNG+의/JKG
자유는	자유/NNG+는/JX
문화	문화/NNG
다양성을	다양성/NNG+을/JKO
위해서	위하/VV+여서/EC
존중	존중/NNG
받아야	받/VV+아야/EC
함이	하/VX+ㅁ/ETN+이/JKS
마땅하다	마땅하/VA+다/EC

그러나	그러나/MAJ
대중문화	대중문화/NNG
특히	특히/MAG
TV	TV/SL
드라마의	드라마/NNG+의/JKG
파급효과를	파급효과/NNG+를/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
한글	한글/NNG
맞춤법을	맞춤법/NNG+을/JKO
어지럽히면서까지	어지럽히/VV+면서/EC+까지/JX
존중할	존중하/VV+ㄹ/ETM
사안은	사안/NNG+은/JX
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
같다	같/VA+다/EC

혹여	혹여/MAG
내용	내용/NNG
중에는	중/NNB+에/JKB+는/JX
한글을	한글/NNG+을/JKO
잘	잘/MAG
몰라서	모르/VV+아서/EC
잘못	잘못/MAG
쓰는	쓰/VV+는/ETM
장면이	장면/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수는	수/NNB+는/JX
있겠으나	있/VA+겠/EP+으나/EC
제목에까지	제목/NNG+에/JKB+까지/JX
오타	오타/NNP
같은	같/VA+은/ETM
글씨를	글씨/NNG+를/JKO
쓰다니……	쓰/VV+다니/EF+……/SE

필자는	필자/NNG+는/JX
장애인복지일을	장애인복지일/NNG+을/JKO
하는	하/VV+는/ETM
사람이다	사람/NNG+이/VCP+다/EC

그렇지만	그렇지만/MAJ
영화	영화/NNG
‘말아톤’은	‘/SL+말아톤/NNG+’/SN+은/JX
정말	정말/MAG
유감이다	유감/NNG+이/VCP+다/EC

마라톤(marathon)이란	마라톤/NNG+(/SS+marathon/SL+)/SS+이/VCP+란/ETM
기원전	기원전/NNG
490년	490/SN+년/NNB
그리스와	그리스/NNP+와/JC
페르시아의	페르시아/NNP+의/JKG
전쟁에서	전쟁/NNG+에서/JKB
그리스의	그리스/NNP+의/JKG
승전보를	승전보/NNG+를/JKO
알리기	알리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
병사가	병사/NNG+가/JKS
마라톤에서	마라톤/NNG+에서/JKB
아테네까지	아테네/NNG+까지/JX
달린	달리/VV+ㄴ/ETM
것이	것/NNB+이/JKS
그	그/MM
기원인데,	기원/NNG+이/VCP+ㄴ데/EC+,/SP
제1회	제/XPN+1/SN+회/NNB
근대올림픽인	근대올림픽/NNG+이/VCP+ㄴ/ETM
아테네	아테네/NNG
대회에서부터	대회/NNG+에서부터/JKB
종목으로	종목/NNG+으로/JKB
채택되었으며	채택되/VV+었/EP+으며/EC
1908년부터	1908/SN+년/NNB+부터/JX
42	42/SN

195km의	195/SN+km/SL+의/JKG
거리로	거리/NNG+로/JKB
채택하고	채택하/VV+고/EC
있다	있/VX+다/EC

우리나라에	우리나라/NNG+에/JKB
마라톤이	마라톤/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
것은	것/NNB+은/JX
1936년이	1936/SN+년/NNB+이/JKC
아닐까	아니/VCN+ㄹ까/EC
싶다	싶/VX+다/EC

1936년	1936/SN+년/NNB
8월	8/SN+월/NNB
9일	9/SN+일/NNB
베를린	베를린/NNP
올림픽	올림픽/NNG
스타디움	스타디움/NNG

12만	12/SN+만/NR
명의	명/NNB+의/JKG
관중들이	관중/NNG+들/XSN+이/JKS
지켜보는	지켜보/VV+는/ETM
가운데	가운데/NNG
스타디움으로	스타디움/NNG+으로/JKB
들어온	들어오/VV+ㄴ/ETM
마라톤	마라톤/NNG
우승자는	우승자/NNG+는/JX
손기정이었다	손기정/NNP+이/VCP+었/EP+다/EF

우리	우리/NP
한글에서	한글/NNG+에서/JKB
마라톤이	마라톤/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
1936년부터	1936/SN+년/NNB+부터/JX
현재까지	현재/NNG+까지/JX
마라톤을	마라톤/NNG+을/JKO
‘말아톤’이라고	‘/SL+말/VV+아/EC+톤/VX+’/SN+이/VCP+라고/EC
한	하/VV+ㄴ/ETM
적은	적/NNB+은/JX
단	단/MM
한번	한번/NNG
도	도/JX
없었다	없/VA+었/EP+다/EF

영화	영화/NNG
‘말아톤’에	‘/SL+말아톤/NNG+’/SL+에/JKB
나오는	나오/VV+는/ETM
초원이는	초원/NNG+이/VCP+는/ETM
자폐성장애인이다	자폐성장애인/NNG+이/VCP+다/EC

자폐성장애인이	자폐성장애인/NNG+이/JKS
마라톤을	마라톤/NNG+을/JKO
‘말아톤’이라고	‘/SL+말/VV+아/EC+톤/VX+’/SN+이/VCP+라고/EC
했다면	하/VV+였/EP+다면/EC
그것은	그것/NP+은/JX
초원이가	초원이/NNP+가/JKS
잘못	잘못/MAG
알고	알/VV+고/EC
있거나	있/VX+거나/EC
잘	잘/MAG
발음하지	발음하/VV+지/EC
못했음이니	못하/VX+였/EP+음/ETN+이/VCP+니/EC
잘	잘/MAG
알고	알/VV+고/EC
있는	있/VX+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
마라톤이라고	마라톤/NNG+이/VCP+라고/EC
초원이의	초원이/NNP+의/JKG
‘말아톤’을	‘/SL+말아톤/NNG+’/SL+을/JKO
바르게	바르/VA+게/EC
고쳐	고치/VV+어/EC
주어야지	주/VX+어야지/EC
어떻게	어떻/VA+게/EC
제목을	제목/NNG+을/JKO
‘말아톤’이라고	‘/SL+말아톤/NNG+’/SN+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는가	있/VA+는가/EC
말이다	말/NNG+이/VCP+다/EC

우리	우리/NP
한글에서	한글/NNG+에서/JKB
문제가	문제/NNG+가/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
그	그/NP
뿐이	뿐/JX+이/JKC
아니다	아니/VCN+다/EC

TV광고	TV/SL+광고/NNG
때문인지	때문/NNB+이/VCP+ㄴ지/EC
자양강장제	자양강장제/NNG
박카스를	박카스/NNG+를/JKO
‘피로회복제’라고들	‘/SN+피로회복/NNG+제/XSN+’/SL+이/VCP+라고/EC+들/VV
한다	하/VV+ㄴ다/EF

말이란	말/NNG+이란/JX
그	그/MM
속에	속/NNG+에/JKB
의미가	의미/NNG+가/JKS
담기게	담기/VV+게/EC
마련인데	마련/NNB+이/VCP+ㄴ데/EC
피로를	피로/NNG+를/JKO
회복시키겠다니,	회복/NNG+시키/XSV+겠/EP+다니/EC+,/SP
피로를	피로/NNG+를/JKO
회복시켜서	회복/NNG+시키/XSV+어서/EC
어디에	어디/NP+에/JKB
쓰려고?	쓰/VV+려고/EF+?/SF
박카스는	박카스/NNG+는/JX
대국민을	대/XPN+국민/NNG+을/JKO
상대로	상대/NNG+로/JKB
공갈협박을	공갈협박/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

회사광고에서는	회사광고/NNG+에서/JKB+는/JX
박카스를	박카스/NNG+를/JKO
피로회복제라고	피로회복/NNG+제/XSN+이/VCP+라고/EC
해도	하/VV+여도/EC
소비자인	소비자/NNG+이/VCP+ㄴ/ETM
국민은	국민/NNG+은/JX
피로해소제라고	피로해소제/NNG+이/VCP+라고/EC
믿고	믿/VV+고/EC
마셔야	마시/VV+어야/EC
된다는	되/VV+ㄴ다는/ETM
협박	협박/NNG
말이다	말/NNG+이/VCP+다/EC

필자는	필자/NNG+는/JX
박경리	박경리/NNP
선생을	선생/NNG+을/JKO
존경하고	존경하/VV+고/EC
선생의	선생/NNG+의/JKG
작품들을	작품/NNG+들/XSN+을/JKO
좋아한다	좋아하/VV+ㄴ다/EF

그러나	그러나/MAJ
박경리	박경리/NNP
선생이	선생/NNG+이/JKS
‘김약국의	‘/SL+김약국/NNP+의/JKG
딸들’에서	딸/NNG+들/XSN+’/SL+에서/JKB
통영을	통영/NNG+을/JKO
‘조선의	‘/SL+조선/NNG+의/JKG
나폴리’라고	나폴리’/NNG+이/VCP+라고/EC
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
정말	정말/MAG
마땅찮다	마땅찮/VA+다/EC

많은	많/VA+은/ETM
지식인들이	지식인/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
유식함을	유식하/VA+ㅁ/ETN+을/JKO
나타내기	나타내/VV+기/ETN
위함인지는	위하/VV+ㅁ/ETN+이/VCP+ㄴ지/EC+는/JX
잘	잘/MAG
모르겠지만,	모르/VV+겠/EP+지만/EC+,/SP
진도의	진도/NNP+의/JKG
바닷길이	바닷길/NNG+이/JKS
갈라지는	갈라지/VV+는/ETM
