한국,	한국/NNP+,/SP
메달	메달/NNG
4개	4/SN+개/NNB
추가	추가/NNG
'종합	'/SS+종합/NNG
13위'	13/SN+위/NNB+'/SS
도약	도약/NNG

2012런던장애인올림픽에	2012/SN+런던/NNP+장애인올림픽/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
우리나라가	우리나라/NNG+가/JKS
대회	대회/NNG
일곱째	일곱째/NR
날인	날/NNG+이/VCP+ㄴ/ETM
5일(현지시간)	5/SN+일/NNB+(/SS+현지시간/NNG+)/SS
금메달	금메달/NNG
2개,	2/SN+개/NNB+,/SP
은메달	은메달/NNG
1개,	1/SN+개/NNB+,/SP
동메달	동메달/NNG
1개를	1/SN+개/NNB+를/JKO
추가하며	추가하/VV+며/EC
전날보다	전날/NNG+보다/JKB
5계단	5/SN+계단/NNG
도약한	도약하/VV+ㄴ/ETM
13위에	13/SN+위/NNB+에/JKB
안착했다	안착하/VV+였/EP+다/EC

우리나라는	우리나라/NNG+는/JX
사격과	사격/NNG+과/JKB
육상,	육상/NNG+,/SP
양궁,	양궁/NNG+,/SP
수영,	수영/NNG+,/SP
역도,	역도/NNG+,/SP
보치아	보치아/NNP
등	등/NNB
총	총/MM
9개	9/SN+개/NNB
종목에	종목/NNG+에/JKB
출전했다	출전하/VV+였/EP+다/EC

이	이/MM
가운데	가운데/NNG
우리나라는	우리나라/NNG+는/JX
강세종목인	강세종목/NNG+이/VCP+ㄴ/ETM
양궁에서	양궁/NNG+에서/JKB
각각	각각/MAG
금메달과	금메달/NNG+과/JC
은메달	은메달/NNG
1개씩을	1/SN+개/NNB+씩/XSN+을/JKO
추가하는	추가하/VV+는/ETM
기염을	기염/NNG+을/JKO
토했다	토하/VV+였/EP+다/EF

일명	일명/NNG
숙자매로	숙자매/NNG+로/JKB
불리는	불리/VV+는/ETM
양궁의	양궁/NNG+의/JKG
고희숙,	고희숙/NNP+,/SP
이화숙,	이화숙/NNP+,/SP
김란숙	김란숙/NNP
선수는	선수/NNG+는/JX
5일	5/SN+일/NNB
왕립	왕립/NNG
포병대대	포병대대/NNG
양궁경기장에서	양궁경기장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
여자	여자/NNG
단체	단체/NNG
리커브	리커브/NNP
오픈	오픈/NNG
결승에서	결승/NNG+에서/JKB
중국을	중국/NNP+을/JKO
만나	만나/VV+아/EC
199대	199/SN+대/NNB
193점으로	193/SN+점/NNB+으로/JKB
이겼다	이기/VV+었/EP+다/EC

양궁이	양궁/NNG+이/JKS
장애인올림픽의	장애인올림픽/NNG+의/JKG
효자	효자/NNG
종목이긴	종목/NNG+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
양궁	양궁/NNG
단체전에서	단체전/NNG+에서/JKB
금메달이	금메달/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다	처음/NNG+이/VCP+다/EC

처음	처음/NNG
팀이	팀/NNG+이/JKS
꾸려졌던	꾸리/VV+어/EC+지/VX+었/EP+던/ETM
2004아테네장애인올림픽에서는	2004/SN+아테네장애인올림픽/NNG+에서/JKB+는/JX
동메달을	동메달/NNG+을/JKO
2008베이징장애인올림픽에서는	2008/SN+베이징장애인올림픽/NNG+에서/JKB+는/JX
중국에	중국/NNP+에/JKB
패하며	패하/VV+며/EC
은메달을	은메달/NNG+을/JKO
차지한바	차지하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

양궁의	양궁/NNG+의/JKG
이명구,	이명구/NNP+,/SP
김석호,	김석호/NNP+,/SP
정영주	정영주/NNP
선수는	선수/NNG+는/JX
리커브	리커브/NNP
남자	남자/NNG
단체전	단체전/NNG
결승에	결승/NNG+에/JKB
올라	오르/VV+아/EC
접전을	접전/NNG+을/JKO
펼쳤지만	펼치/VV+었/EP+지만/EC
러시아에	러시아/NNP+에/JKB
200대	200/SN+대/NNB
206으로	206/SN+으로/JKB
패하면서	패하/VV+면서/EC
은메달을	은메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

2004아테네장애인올림픽과	2004/SN+아테네장애인올림픽/NNG+과/JC
2008베이징장애인올림픽세서	2008/SN+베이징장애인올림픽세/NNG+서/JKB
금메달을	금메달/NNG+을/JKO
기록했던	기록하/VV+였/EP+던/ETM
만큼	만큼/NNB
자신감	자신감/NNG
충만으로	충만/NNG+으로/JKB
3연패를	3/SN+연패/NNG+를/JKO
노렸지만	노리/VV+었/EP+지만/EC
고배를	고배/NNG+를/JKO
마셔야만	마시/VV+어야/EC+만/JX
했다	하/VX+였/EP+다/EF

남자	남자/NNG
평형	평/NNG+형/XSN
100m	100/SN+m/SL
SB5	SB/SL+5/SN
결선에	결선/NNG+에/JKB
진출한	진출하/VV+ㄴ/ETM
임우근	임우근/NNP
선수느	선수/NNG+느/JX
5일	5/SN+일/NNB
영국	영국/NNP
런던올림픽	런던/NNP+올림픽/NNG
파크의	파크/NNG+의/JKG
아쿠아틱스	아쿠아틱스/NNG
센터에서	센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
경기에서	경기/NNG+에서/JKB
1분34초06의	1/SN+분/XSN+34/SN+초/NNB+06/SN+의/JKG
아시아	아시아/NNP
신기록을	신기록/NNG+을/JKO
수립하며	수립하/VV+며/EC
정상에	정상/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

이번	이번/NNG
대회	대회/NNG
수영	수영/NNG
종목에서	종목/NNG+에서/JKB
금메달이	금메달/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다	처음/NNG+이/VCP+다/EC

지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
자유형	자유/NNG+형/XSN
200m	200/SN+m/SL
