런던장애인올림픽	런던/NNP+장애인올림픽/NNG
선수단	선수단/NNG
‘금의환향’	‘/SL+금의환향/NNG+’/SL

2012런던장애인올림픽에	2012/SN+런던/NNP+장애인올림픽/NNG+에/JKB
출전해	출전하/VV+여/EC
종합	종합/NNG
12위의	12/SN+위/NNB+의/JKG
성적을	성적/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
우리나라	우리나라/NNG
장애인대표	장애인대표/NNG
선수단이	선수단/NNG+이/JKS
금의환향했다	금의/NNG+환향하/VV+였/EP+다/EC

우리나라	우리나라/NNG
장애인대표	장애인대표/NNG
선수단은	선수단/NNG+은/JX
11일	11/SN+일/NNB
오후	오후/NNG
인천국제공항에	인천/NNP+국제공항/NNG+에/JKB
도착,	도착/NNG+,/SP
입국장에서	입국장/NNG+에서/JKB
해단식(환영행사)를	해단식/NNG+(/SS+환영행사/NNG+)/SS+를/JKO
갖고	갖/VV+고/EC
대회	대회/NNG
공식일정을	공식일정/NNG+을/JKO
마무리했다	마무리하/VV+였/EP+다/EC

종합	종합/NNG
13위(금	13/SN+위/NNB+(/SS+금/NNG
11,	11/SN+,/SP
은	은/NNG
10,	10/SN+,/SP
동	동/NNG
13)	13/SN+)/SS
목표로	목표/NNG+로/JKB
2012런던장애인올림픽에	2012/SN+런던/NNP+장애인올림픽/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
우리나라는	우리나라/NNG+는/JX
지난	지나/VV+ㄴ/ETM
베이징장애인올림픽	베이/NNP+징장애인올림픽/NNG
때보다	때/NNG+보다/JKB
한	한/MM
계단	계단/NNG
상승한	상승하/VV+ㄴ/ETM
종합	종합/NNG
12위(금	12/SN+위/NNB+(/SS+금/NNG
9,	9/SN+,/SP
은	은/NNG
9,	9/SN+,/SP
동	동/NNG
9)로	9/SN+)/SS+로/JKB
대회를	대회/NNG+를/JKO
마쳤다	마치/VV+었/EP+다/EF

이날	이날/NNG
육상의	육상/NNG+의/JKG
김규대	김규대/NNP
선수가	선수/NNG+가/JKS
태극기를	태극기/NNG+를/JKO
들고	들/VV+고/EC
입국장을	입국장/NNG+을/JKO
나왔고,	나오/VV+았/EP+고/EC+,/SP
수영	수영/NNG
금메달리스트	금메달리스트/NNG
민병언과	민병언/NNP+과/JC
임우근,	임우근/NNP+,/SP
보치아	보치아/NNP
BC3	BC/SL+3/SN
금메달리스트인	금메달리스트/NNG+이/VCP+ㄴ/ETM
최예진	최예진/NNP
선수	선수/NNG
등이	등/NNB+이/JKS
메달을	메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸고	걸/VV+고/EC
뒤따랐다	뒤따랐/VV+다/EF

특히	특히/MAG
이날	이날/NNG
국제공항에는	국제공항/NNG+에/JKB+는/JX
장애인올림픽	장애인올림픽/NNG
선수단의	선수단/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
보기	보/VV+기/ETN
위해	위하/VV+여/EC
수백명의	수백/NR+명/NNB+의/JKG
환영인파가	환영인파/NNG+가/JKS
몰리기도	몰리/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EC

해단식에서	해단/NNG+식/XSN+에서/JKB
장춘배	장춘배/NNP
선수단장은	선수단장/NNG+은/JX
“수영에서	“/SL+수영/NNG+에서/JKB
금	금/NNG
2개,	2/SN+개/NNB+,/SP
육상에서	육상/NNG+에서/JKB
은	은/JX
2개	2/SN+개/NNB
등	등/NNB
기초종목에서의	기초종목/NNG+에서/JKB+의/JKG
성적이	성적/NNG+이/JKS
좋아	좋/VA+아/EC
다음	다음/NNG
대회에서	대회/NNG+에서/JKB
높은	높/VA+은/ETM
성적을	성적/NNG+을/JKO
낼	내/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보일/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

대한장애인체육회	대한장애인체육회/NNP
윤석용	윤석용/NNP
회장은	회장/NNG+은/JX
환영사에서	환영사/NNG+에서/JKB
“대회준비에	“/SN+대회준비/NNG+에/JKB
노고가	노고/NNG+가/JKS
많았던	많/VA+았/EP+던/ETM
지원단에	지원/NNG+단/XSN+에/JKB
감사하다”며	감사하/VV+다/EC+”/VV+며/EC
“이제부터는	“/SL+이제/NNG+부터는/JX
새로운	새롭/VA+ㄴ/ETM
