'한·일친선	'/SS+한/NNP+·/SP+일/NNP+친선/NNG
휠체어레크댄스대회'	휠체어레크댄스대회/NNG+'/SS
27일	27/SN+일/NNB
열려	열리/VV+어/EC

한국소아마비협회는	한국소아마비협회/NNP+는/JX
오는	오/VV+는/ETM
27일	27/SN+일/NNB
정립회관	정립회관/NNG
내	내/NNB
체육관에서	체육관/NNG+에서/JKB
‘2012한·일	‘2012/SN+한/NNP+·/SP+일/NNP
친선	친선/NNG
휠체어레크댄스대회’를	휠체어레크댄스대회/NNG+’/SL+를/JKO
개최한다	개최하/VV+ㄴ다/EF

이번	이번/NNG
대회에는	대회/NNG+에/JKB+는/JX
일본특정비영리NPO법인	일본/NNP+특정비영리/NNG+NPO/SL+법인/NNG
회원	회원/NNG
120여명	120/SN+여/XSN+명/NNB
등	등/NNB
총	총/MM
250명이	250/SN+명/NNB+이/JKS
참가해	참가하/VV+여/EC
그	그/MM
동안	동안/NNG
갈고	갈/VV+고/EC
닦은	닦/VV+은/ETM
실력을	실력/NNG+을/JKO
뽐내게	뽐내/VV+게/EC
된다	되/VV+ㄴ다/EF

한편	한편/MAG
이번	이번/NNG
대회는	대회/NNG+는/JX
건건한	건건하/VA+ㄴ/ETM
여가활동으로서의	여가활동/NNG+으로서/JKB+의/JKG
휠체어레크댄스	휠체어레크댄스/NNG
정착,	정착/NNG+,/SP
장애인과	장애인/NNG+과/JC
비장애인의	비/XPN+장애인/NNG+의/JKG
친목	친목/NNG
및	및/MAG
우호증진	우호증진/NNG
장	장/NNG
마련	마련/NNG
등을	등/NNB+을/JKO
목적으로	목적/NNG+으로/JKB
마련됐다	마련되/VV+었/EP+다/EF
