'2013평창동계스페셜올림픽'	'/SS+2013/SN+평창동계스페셜올림픽/NNP+'/SS
준비상황	준비상황/NNG
점검	점검/NNG

‘2013평창동계	‘/SL+2013/SN+평/NNB+창동계/NNG
스페셜올림픽	스페셜올림픽/NNG
세계대회	세계대회/NNG
조직위원회	조직위원회/NNG
제2차	제/XPN+2/SN+차/NNB
위원총회’가	위원총회/NNG+’/SL+가/JKS
오는	오/VV+는/ETM
24일	24/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
국립중앙도서관	국립중앙도서관/NNP
국제회의장에서	국제회의장/NNG+에서/JKB
열린다	열리/VV+ㄴ다/EF

이날	이날/NNG
총회에는	총회/NNG+에/JKB+는/JX
나경원	나경원/NNP
위원장,	위원장/NNG+,/SP
정정택	정정택/NNP
국민체육진흥공단	국민체육진흥공단/NNG
이사장,	이사장/NNG+,/SP
이팔성	이팔성/NNP
우리금융지주	우리금융지주/NNP
회장,	회장/NNG+,/SP
문화체육관광부	문화체육관광부/NNG
관계자	관계자/NNG
등	등/NNB
정부?체육계	정부/NNG+?/SF+체육계/NNG
인사들이	인사/NNG+들/XSN+이/JKS
대거	대거/MAG
참석해	참석하/VV+여/EC
그	그/MM
동안의	동안/NNG+의/JKG
대회	대회/NNG
준비상황과	준비상황/NNG+과/JC
개최	개최/NNG
계획을	계획/NNG+을/JKO
보고	보/VV+고/EC
받고,	받/VV+고/EC+,/SP
정관	정관/NNG
개정과	개정/NNG+과/JC
조직위원	조직위원/NNG
추가	추가/NNG
선임	선임/NNG
등	등/NNB
현안을	현안/NNG+을/JKO
심의할	심의하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

특히	특히/MAG
이번	이번/NNG
회의에는	회의/NNG+에/JKB+는/JX
강원지역	강원/NNP+지역/NNG
국회의원,	국회의원/NNG+,/SP
공공기관장	공공기관장/NNG
등	등/NNB
국내의	국내/NNG+의/JKG
역량있는	역량/NNG+있/VA+는/ETM
인사	인사/NNG
14명을	14/SN+명/NNB+을/JKO
조직위원으로	조직위원/NNG+으로/JKB
추가	추가/NNG
선임해	선임하/VV+여/EC
역대	역대/NNG
최고의	최고/NNG+의/JKG
대회	대회/NNG
개최를	개최/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
전방위적	전/MM+방위/NNG+적/XSN
지원을	지원/NNG+을/JKO
강화해	강화하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

한편,	한편/NNG+,/SP
2013평창동계	2013/SN+평/NNB+창동계/NNG
스페셜올림픽은	스페셜올림픽/NNG+은/JX
전	전/MM
세계	세계/NNG
지적발달	지적발달/NNG
장애인들에게	장애인/NNG+들/XSN+에게/JKB
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
스포츠	스포츠/NNG
훈련	훈련/NNG
기회를	기회/NNG+를/JKO
제공하는	제공하/VV+는/ETM
국제스포츠대회로	국제스포츠대회/NNG+로/JKB
오는	오/VV+는/ETM
2013년	2013/SN+년/NNB
1월29일부터	1/SN+월/NNB+29/SN+일/NNB+부터/JX
2월5일까지	2/SN+월/NNB+5/SN+일/NNB+까지/JX
8일간	8/SN+일/NNB+간/XSN
강원도	강원도/NNP
평창	평창/NNP
및	및/MAG
강릉	강릉/NNP
일대에서	일대/NNG+에서/JKB
열린다	열리/VV+ㄴ다/EF
