숙자매	숙자매/NNG
패럴림픽	패럴림픽/NNG
금빛	금빛/NNG
과녁	과녁/NNG
명중!	명중/NNG+!/SF

양궁	양궁/NNG
경기장에	경기장/NNG+에/JKB
부는	붓/VV+는/ETM
거센	거세/VA+ㄴ/ETM
바람도	바람/NNG+도/JX
한국	한국/NNP
양궁	양궁/NNG
‘숙자매’	‘숙자매/NNP+’/SL
앞에서는	앞/NNG+에서/JKB+는/JX
무용지물이었다	무용지물/NNG+이/VCP+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
오후	오후/NNG
4시30분(현지시간)	4/SN+시/NNB+30/SN+분/NNB+(/SS+현지시간/NNG+)/SS
영국왕립포병대대	영국왕립포병대대/NNP
양궁경기장에서	양궁경기장/NNG+에서/JKB
펼쳐진	펼쳐지/VV+ㄴ/ETM
런던장애인올림픽(패럴림픽)	런던/NNP+장애인올림픽/NNG+(/SS+패럴림픽/NNG+)/SS
여자	여자/NNG
양궁단체전	양궁단체전/NNG
결승에서	결승/NNG+에서/JKB
한국의	한국/NNP+의/JKG
여궁사	여궁사/NNG
‘숙자매’(이화숙,	‘/SL+숙자매/NNG+’/SL+(/SS+이화숙/NNP+,/SP
고희숙,	고희숙/NNP+,/SP
김란숙)가	김란숙/NNP+)/SS+가/JKS
금메달을	금메달/NNG+을/JKO
획득했다	획득하/VV+였/EP+다/EC

이날	이날/NNG
장애인양궁	장애인양궁/NNP
세계최강	세계최강/NNP
한국팀의	한국/NNP+팀/NNG+의/JKG
금메달	금메달/NNG
길은	길/NNG+은/JX
순탄치	순탄하/VA+지/EC
않았다	않/VX+았/EP+다/EF

특히	특히/MAG
결승전에	결승전/NNG+에/JKB
앞서	앞서/VV+어/EC
이란과의	이란/NNP+과/JKB+의/JKG
4강전에서는	4/SN+강전/NNG+에서/JKB+는/JX
경기	경기/NNG
내내	내내/MAG
안정적인	안정적/NNG+이/VCP+ㄴ/ETM
점수	점수/NNG
차를	차/NNG+를/JKO
유지하다	유지하/VV+다/EC
경기	경기/NNP
후반	후반/NNG
3발을	3/SN+발/NNB+을/JKO
남겨놓고	남기/VV+어/EC+놓/VX+고/EC
164-164	164/SN+-/SO+164/SN
동점까지	동점/NNG+까지/JX
따라	따르/VV+아/EC
잡히는	잡히/VV+는/ETM
위기가	위기/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

하지만	하지만/MAJ
노련미와	노련미/NNG+와/JC
선수	선수/NNG
간	간/NNB
찰떡궁합을	찰떡궁합/NNG+을/JKO
선보인	선보이/VV+ㄴ/ETM
한국팀은	한국/NNP+팀/NNG+은/JX
10·9·9점을	10/SN+·/SP+9/SN+·/SP+9/SN+점/NNB+을/JKO
각각	각각/MAG
쏴,	쏴/SL+,/SP
경기결과	경기결과/NNG
192-186으로	192/SN+-/SO+186/SN+으로/JKB
이란을	이란/NNP+을/JKO
제압하고	제압하/VV+고/EC
결승에	결승/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

결승에서	결승/NNG+에서/JKB
맞붙은	맞붙/VV+은/ETM
팀은	팀/NNG+은/JX
지난	지나/VV+ㄴ/ETM
베이징에서	베이징/NNP+에서/JKB
패배를	패배/NNG+를/JKO
안겨	안기/VV+어/EC
준	주/VX+ㄴ/ETM
중국	중국/NNP
팀으로,	팀/NNG+으로/JKB+,/SP
4년	4/SN+년/NNB
만에	만/NNB+에/JKB
리벤지를	리벤지/NNG+를/JKO
기대했다	기대하/VV+였/EP+다/EF

양팀	양/MM+팀/NNG
선수들은	선수/NNG+들/XSN+은/JX
결승전의	결승전/NNG+의/JKG
분위기에	분위기/NNG+에/JKB
긴장한	긴장하/VV+ㄴ/ETM
듯	듯/NNB
다소	다소/MAG
상기돼	상기되/VV+어/EC
보였다	보이/VV+었/EP+다/EF

하지만	하지만/MAJ
숙자매는	숙자매/NNG+는/JX
이내	이내/NNG
긴장감을	긴장감/NNG+을/JKO
풀고	풀/VV+고/EC
과녁	과녁/NNG
중앙에	중앙/NNG+에/JKB
화살을	화살/NNG+을/JKO
꽂았다	꽂/VV+았/EP+다/EF

첫	첫/MM
엔드	엔드/NNG
결과	결과/NNG
53-44	53/SN+-/SO+44/SN
한국	한국/NNP
선수들의	선수/NNG+들/XSN+의/JKG
일방적인	일방적/NNG+이/VCP+ㄴ/ETM
페이스였다	페이스/NNG+이/VCP+었/EP+다/EF

중반까지	중반/NNG+까지/JX
이어진	이어지/VV+ㄴ/ETM
페이스는	페이스/NNG+는/JX
완전히	완전히/MAG
한국팀의	한국/NNP+팀/NNG+의/JKG
흐름이었다	흐름/NNG+이/VCP+었/EP+다/EC

경기	경기/NNG
후반	후반/NNG
시간이	시간/NNG+이/JKS
촉박해	촉박하/VA+여/EC
잠시	잠시/MAG
위기가	위기/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
이겨내고,	이기/VV+어/EC+내/VX+고/EC+,/SP
192-186으로	192/SN+-/SO+186/SN+으로/JKB
6점차로	6/SN+점차/NNG+로/JKB
승리해	승리하/VV+여/EC
베이징패럴림픽에서	베이징패럴림픽/NNP+에서/JKB
당한	당하/VV+ㄴ/ETM
패배를	패배/NNG+를/JKO
멋지게	멋지/VA+게/EC
설욕했다	설욕하/VV+였/EP+다/EF

경기	경기/NNP
후	후/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
선수들은	선수/NNG+들/XSN+은/JX
“팀워크를	“/SN+팀워크/NNG+를/JKO
뒷받침으로	뒷받침/NNG+으로/JKB
내가	내/NP+가/JKS
부족하면	부족하/VA+면/EC
뒷	뒤/NNG
선수가	선수/NNG+가/JKS
커버해줄	커버하/VV+여/EC+주/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
믿음이	믿음/NNG+이/JKS
있었다”며	있/VA+었/EP+다/EC+”/VX+며/EC
“대회에서	“/SN+대회/NNG+에서/JKB
예선전을	예선전/NNG+을/JKO
거듭할수록	거듭하/VV+ㄹ수록/EC
안정감이	안정감/NNG+이/JKS
생겼고,	생기/VV+었/EP+고/EC+,/SP
결승에	결승/NNG+에/JKB
진출하고	진출하/VV+고/EC
마음이	마음/NNG+이/JKS
편해져	편하/VA+여/EC+지/VX+어/EC
좋은	좋/VA+은/ETM
결과를	결과/NNG+를/JKO
얻은	얻/VV+은/ETM
것	것/NNB
같다”고	같/VA+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

이날	이날/NNG
금메달을	금메달/NNG+을/JKO
목에건	목/VV+에건/EC
한국여자	한국/NNP+여자/NNG
양궁팀은	양궁팀/NNG+은/JX
2009년	2009/SN+년/NNB
체코대회부터	체코대회/NNG+부터/JX
호흡을	호흡/NNG+을/JKO
같이	같이/MAG
한	한/MM
팀이다	팀/NNG+이/VCP+다/EC

뒷글자의	뒷글자/NNG+의/JKG
‘숙’	‘/SL+숙/NNG+’/SN
자가	자/NNB+가/JKS
공통돼	공통되/VV+어/EC
흔히들	흔히/MAG+들/JX
‘숙자매’	‘/SL+숙자매/NNG+’/SL
라	라/NNG
부르며	부르/VV+며/EC
세계최강양궁	세계최강양궁/NNP
팀으로	팀/NNG+으로/JKB
명성이	명성/NNG+이/JKS
높다	높/VA+다/EC

첫	첫/MM
번째로	번째/NNB+로/JKB
활을	활/NNG+을/JKO
드는	들/VV+는/ETM
이화숙은	이화숙/NNP+은/JX
과감성	과감성/NNG
있는	있/VA+는/ETM
슈팅으로	슈팅/NNG+으로/JKB
상대방의	상대방/NNG+의/JKG
기선을	기선/NNG+을/JKO
제압하고,	제압하/VV+고/EC+,/SP
두	두/MM
번째	번째/NNB
활을	활/NNG+을/JKO
드는	들/VV+는/ETM
고희숙은	고희숙/NNP+은/JX
선수간의	선수/NNG+간/NNB+의/JKG
의견조율과	의견조율/NNG+과/JC
게임의	게임/NNG+의/JKG
페이스	페이스/NNG
조절을	조절/NNG+을/JKO
맡아서	맡/VV+아서/EC
한다	하/VV+ㄴ다/EF

마지막	마지막/NNG
슈팅	슈팅/NNG
주자인	주자/NNG+이/VCP+ㄴ/ETM
김란숙은	김란숙/NNP+은/JX
안정적인	안정적/NNG+이/VCP+ㄴ/ETM
마무리를	마무리/NNG+를/JKO
맡아	맡/VV+아/EC
경기에서	경기/NNG+에서/JKB
확실한	확실하/VA+ㄴ/ETM
승리를	승리/NNG+를/JKO
책임진다	책임지/VV+ㄴ다/EF

이들의	이/NP+들/XSN+의/JKG
순번은	순번/NNG+은/JX
항상	항상/MAG
같다	같/VA+다/EC

오랜	오랜/MM
기간	기간/NNG
호흡을	호흡/NNG+을/JKO
맞춰왔고,	맞추/VV+어/EC+오/VX+았/EP+고/EC+,/SP
연배	연배/NNG
역시	역시/MAG
같은	같/VA+은/ETM
또래라	또래/NNG+이/VCP+라/EC
이심전심이라고	이심전심/NNG+이/VCP+라고/EC
말한다	말하/VV+ㄴ다/EF

숙자매는	숙자매/NNG+는/JX
양궁	양궁/NNG
