“신체장애인도	“/SL+신체장애인/NNG+도/JX
카레이싱을	카레이싱/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다”	있/VA+다/EC+”/SL

"내	"/SS+내/NP
생에	생/NNG+에/JKB
이런	이런/MM
기분	기분/NNG
처음이야!"레이싱	처음/NNG+이/VCP+야/EF+!/SF+"/SS+레이싱/NNG
카에서	카/NNG+에서/JKB
내려온	내려오/VV+ㄴ/ETM
휠체어	휠체어/NNG
장애인	장애인/NNG
이안	이안/NNP
제임스의	제임스/NNP+의/JKG
말이다	말/NNG+이/VCP+다/EC

그렇다	그렇/VA+다/EC

장애인은	장애인/NNG+은/JX
하면	하/VV+면/EC
안될	안되/VV+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
엄청난	엄청나/VA+ㄴ/ETM
스피드의	스피드/NNG+의/JKG
카	카/NNG
레이스,	레이스/NNG+,/SP
제임스가	제임스/NNP+가/JKS
해	하/VV+여/EC
내고	내/VX+고/EC
이제	이제/MAG
확실한	확실하/VA+ㄴ/ETM
레이서가	레이/NNG+서/JKB+가/JKC
된	되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

장애인에게	장애인/NNG+에게/JKB
카	카/NNG
레이스는	레이스/NNG+는/JX
생각하기	생각하/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
일이다	일/NNG+이/VCP+다/EC

하나의	하나/NNG+의/JKG
흠도	흠/NNG+도/JX
없이	없이/MAG
완벽한	완벽하/VA+ㄴ/ETM
몸으로도	몸/NNG+으로/JKB+도/JX
순간의	순간/NNG+의/JKG
실수로	실수/NNG+로/JKB
생명을	생명/NNG+을/JKO
잃을	잃/VV+을/ETM
만큼	만큼/NNB
힘든	힘들/VA+ㄴ/ETM
일을	일/NNG+을/JKO
몸에	몸/NNG+에/JKB
조금이라도	조금/NNG+이라도/JX
이상이	이상/NNG+이/JKS
있는	있/VA+는/ETM
사람은	사람/NNG+은/JX
함부로	함부로/MAG
넘볼	넘보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
스포츠가	스포츠/NNG+가/JKS
바로	바로/MAG
카	카/NNG
레이스다	레이스/NNG+이/VCP+다/EF

그러나	그러나/MAJ
하지	하/VV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
것은	것/NNB+은/JX
인간의	인간/NNG+의/JKG
생각일	생각/NNG+이/VCP+ㄹ/ETM
뿐,	뿐/NNB+,/SP
장애인도	장애인/NNG+도/JX
무엇이든	무엇/NP+이든/JX
해	하/VV+여/EC
낼	내/VX+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각하는	생각하/VV+는/ETM
뉴저지의	뉴저지/NNP+의/JKG
브라이언	브라이언/NNP
해나포드와	해나포드/NNP+와/JC
피터	피터/NNP
루프리치트는	루프리치트/NNP+는/JX
신체	신체/NNG
장애인도	장애인/NNG+도/JX
카	카/NNG
레이스를	레이스/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
믿고	믿/VV+고/EC
'엑세시블	'/SS+엑세시블/NNG
레이싱'이라는	레이싱/NNG+'/SS+이/VCP+라는/ETM
비영리	비/XPN+영리/NNG
단체를	단체/NNG+를/JKO
설립했다	설립하/VV+였/EP+다/EF

그네들은	그네/NP+들/XSN+은/JX
먼저	먼저/MAG
상이군인이	상이군인/NNG+이/JKS
입원해	입원하/VV+여/EC
있는	있/VX+는/ETM
병원에	병원/NNG+에/JKB
레이스카	레이스카/NNG
시뮬레이터를	시뮬레이터/NNG+를/JKO
설치했다	설치하/VV+였/EP+다/EC

이	이/MM
시뮬레이터를	시뮬레이터/NNG+를/JKO
이용해	이용하/VV+여/EC
완벽하게	완벽하/VA+게/EC
운전을	운전/NNG+을/JKO
해	하/VV+여/EC
낼	내/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
때	때/NNG
쯤	쯤/XSN
트랙에	트랙/NNG+에/JKB
나간다	나가/VV+ㄴ다/EF

그	그/MM
일을	일/NNG+을/JKO
같은	같/VA+은/ETM
