관현맹인전통예술단,	관현맹인전통예술단/NNP+,/SP
제2회	제/XPN+2/SN+회/NNB
정기연주회	정기연주회/NNG
개최	개최/NNG

관현맹인전통예술단이	관현맹인전통예술단/NNG+이/JKS
오는	오/VV+는/ETM
11일	11/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
국립국악원	국립국악/NNG+원/XSN
우면당에서	우면당/NNP+에서/JKB
‘제2회	‘/SN+제/XPN+2/SN+회/NNB
정기연주회’를	정기연주회’/NNG+를/JKO
개최한다	개최하/VV+ㄴ다/EF

‘장애인들에게	‘/SL+장애인/NNG+들/XSN+에게/JKB
희망을’이라는	희망/NNG+을/JKO+’/SL+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
연주회는	연주회/NNG+는/JX
가수	가수/NNG
유열의	유열/NNG+의/JKG
사회로	사회/NNG+로/JKB
진행되며,	진행되/VV+며/EC+,/SP
정악합주와	정악합주/NNG+와/JC
산조합주,	산조합주/NNG+,/SP
설장구를	설장구/NNG+를/JKO
새롭게	새롭/VA+게/EC
재해석한	재해석하/VV+ㄴ/ETM
타악합주	타악합주/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
전통공연이	전통공연/NNG+이/JKS
펼쳐진다	펼치/VV+어/EC+지/VX+ㄴ다/EC

또한	또한/MAG
최근	최근/NNG
비장애인들과	비장애인/NNG+들/XSN+과/JKB
동일한	동일하/VA+ㄴ/ETM
자격으로	자격/NNG+으로/JKB
당당히	당당히/MAG
국악대학에	국악대학/NNG+에/JKB
합격한	합격하/VV+ㄴ/ETM
예비단원(이보혜,	예비단원/NNG+(/SS+이보혜/NNG+,/SP
이한나)이	이한나/NNP+)/SS+이/JKS
첫	첫/MM
무대를	무대/NNG+를/JKO
선보일	선보이/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

한편,	한편/NNG+,/SP
관현맹인전통예술단은	관현맹인전통예술단/NNP+은/JX
실로암시각장애인복지관에	실로암시각장애인복지관/NNG+에/JKB
속한	속하/VV+ㄴ/ETM
전통예술단으로,	전통예술단/NNG+으로/JKB+,/SP
조선시대	조선/NNP+시대/NNG
궁중음악기관에서	궁중음악기관/NNG+에서/JKB
연주하던	연주하/VV+던/ETM
맹인악단을	맹인악단/NNG+을/JKO
재현하기	재현하/VV+기/ETN
위해	위하/VV+여/EC
지난해	지난해/NNG
3월	3/SN+월/NNB
창단됐다	창단되/VV+었/EP+다/EF

관현맹인전통예술단은	관현맹인전통예술단/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1년	1/SN+년/NNB
동안	동안/NNG
국내	국내/NNG
뿐	뿐/JX
아니라	아니/VCN+라/EC
미국에서도	미국/NNP+에서/JKB+도/JX
뛰어난	뛰어나/VA+ㄴ/ETM
실력을	실력/NNG+을/JKO
선보이며,	선보이/VV+며/EC+,/SP
한국	한국/NNP
전통음악의	전통음악/NNG+의/JKG
우수성을	우수성/NNG+을/JKO
세계에	세계/NNG+에/JKB
알려왔다	알려오/VV+았/EP+다/EF
