한국짐보리,	한국짐보리/NNP+,/SP
2013평창스페셜올림픽	2013/SN+평창스페셜올림픽/NNP
후원	후원/NNG

한국짐보리㈜짐월드(대표	한국짐보리/NNP+㈜/SW+짐월드/NNP+(/SS+대표/NNG
박기영)는	박기영/NNP+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
본사	본사/NNG
세미나실에서	세미나/NNG+실/XSN+에서/JKB
2013평창동계스페셜올림픽조직위원회(위원장	2013/SN+평/NNB+창동계스페셜올림픽/NNP+조직위원회/NNG+(/SS+위원장/NNG
나경원)와	나경원/NNP+)/SS+와/JC
후원협약을	후원협약/NNG+을/JKO
체결하고	체결하/VV+고/EC
후원금	후원금/NNG
1억원을	1/SN+억/NR+원/NNB+을/JKO
전달했다	전달하/VV+였/EP+다/EC

한국짐보리는	한국짐보리/NNP+는/JX
세계적인	세계적/NNG+이/VCP+ㄴ/ETM
영유아	영유아/NNG
놀이·음악·아트	놀이/NNG+·/SP+음악/NNP+·/SP+아트/NNG
교육	교육/NNG
프로그램	프로그램/NNG
운영	운영/NNG
및	및/MAG
창의수학	창의수학/NNG
교구인	교구/NNG+이/VCP+ㄴ/ETM
맥포머스를	맥포머스/NNP+를/JKO
개발?유통하는	개발/NNG+?/SF+유통하/VV+는/ETM
전문기업으로,	전문기업/NNG+으로/JKB+,/SP
특히	특히/MAG
아동학대	아동학대/NNG
예방캠페인	예방캠페인/NNG
참여와	참여/NNG+와/JC
결식아동	결식아동/NNG
및	및/MAG
장애아동	장애아동/NNG
후원에	후원/NNG+에/JKB
앞장서고	앞장서/VV+고/EC
있다	있/VX+다/EC

한국짐보리는	한국짐보리/NNP+는/JX
후원협약을	후원협약/NNG+을/JKO
기초로	기초/NNG+로/JKB
전국	전국/NNG
55개	55/SN+개/NNB
센터를	센터/NNG+를/JKO
통해	통하/VV+여/EC
스페셜올림픽을	스페셜올림픽/NNG+을/JKO
홍보하고	홍보하/VV+고/EC
국민들의	국민/NNG+들/XSN+의/JKG
대회	대회/NNG
참여를	참여/NNG+를/JKO
유도할	유도하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

또한	또한/MAG
한국짐보리는	한국짐보리/NNP+는/JX
대회	대회/NNG
기간	기간/NNG
알펜시아	알펜시아/NNP
컨벤션센터에	컨벤션센터/NNG+에/JKB
체험놀이	체험놀이/NNG
시설을	시설/NNG+을/JKO
만들어	만들/VV+어/EC
선수,	선수/NNG+,/SP
가족	가족/NNG
및	및/MAG
관계자들에게	관계자/NNG+들/XSN+에게/JKB
즐거운	즐겁/VA+ㄴ/ETM
여가활동을	여가활동/NNG+을/JKO
지원키로	지원하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

한편	한편/MAG
2013평창동계스페셜올림픽은	2013/SN+평/NNB+창동계스페셜올림픽/NNP+은/JX
전	전/MM
세계	세계/NNG
지적발달장애인들의	지적발달장애인/NNG+들/XSN+의/JKG
운동능력과	운동능력/NNG+과/JC
사회적응력을	사회적응력/NNG+을/JKO
향상시켜	향상/NNG+시키/XSV+어/EC
생산적인	생산적/NNG+이/VCP+ㄴ/ETM
사회구성원으로	사회구성원/NNG+으로/JKB
인정받도록	인정받/VV+도록/EC
하는데	하/VX+는/ETM+데/NNB
기여하고자	기여하/VV+고자/EC
마련된	마련되/VV+ㄴ/ETM
국제스포츠대회로	국제스포츠대회/NNG+로/JKB
내년	내년/NNG
1월	1/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
8일간	8/SN+일/NNB+간/XSN
강원도	강원도/NNP
강릉	강릉/NNP
및	및/MAG
평창	평창/NNP
일대에서	일대/NNG+에서/JKB
열린다	열리/VV+ㄴ다/EF
