대한장애인사격연맹	대한/NNP+장애인사격연맹/NNG
내홍	내홍/NNG
‘일단락’	‘/SN+일/NNB+단락’/NNG

서울동부지방법원이	서울/NNP+동부지방법원/NNG+이/JKS
대한장애인사격연맹(이하	대/XPN+한장애인사격연맹/NNG+(/SS+이하/NNG
시각연맹)	시각연맹/NNG+)/SS
내홍과	내홍/NNG+과/JC
관련해	관련하/VV+여/EC
‘사격연맹	‘/SN+사격연맹/NNG
정상화를	정상화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
신	신/XPN
집행부(이하	집행부/NNG+(/SS+이하/NNG
신	신/XPN
집행부)’의	집행부/NNG+)/SS+’/SL+의/JKG
손을	손/NNG+을/JKO
들어준	듣/VV+어/EC+주/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
뒤늦게	뒤늦/VA+게/EC
확인됐다	확인되/VV+었/EP+다/EF

서울동부지법	서울/NNP+동부지법/NNG
제13민사부는	제/XPN+13/SN+민사부/NNG+는/JX
지난달	지난달/NNG
15일	15/SN+일/NNB
현	현/MM
사격연맹	사격연맹/NNG
장인화	장인화/NNP
회장이	회장/NNG+이/JKS
독단적으로	독단적/NNG+으로/JKB
임원을	임원/NNG+을/JKO
선임하고	선임하/VV+고/EC
임명한	임명하/VV+ㄴ/ETM
행위는	행위/NNG+는/JX
적법하지	적법하/VA+지/EC
않다고	않/VX+다고/EC
판결했다	판결하/VV+였/EP+다/EC

이에	이/NP+에/JKB
서울동부지법은	서울/NNP+동부지법/NNG+은/JX
김임연,	김임연/NNP+,/SP
원덕연,	원덕연/NNP+,/SP
박상순은	박상순/NNP+은/JX
사격연맹의	사격연맹/NNG+의/JKG
부회장이	부회장/NNG+이/JKC
아니며,	아니/VCN+며/EC+,/SP
강주영,	강주영/NNP+,/SP
김돈규,	김돈규/NNP+,/SP
심재용,	심재용/NNP+,/SP
이연국,	이연국/NNP+,/SP
이태희	이태희/NNP
등은	등/NNB+은/JX
사격연맹	사격연맹/NNG
이사가	이사/NNG+가/JKC
아니라고	아니/VCN+라고/EC
결론내렸다	결론내리/VV+었/EP+다/EF

또한	또한/MAG
신	신/XPN
집행부의	집행부/NNG+의/JKG
이정동	이정동/NNP
김관용,	김관용/NNP+,/SP
최동실을	최동실/NNG+을/JKO
부회장으로,	부회장/NNG+으로/JKB+,/SP
정진완,	정진완/NNP+,/SP
유호정,	유호정/NNP+,/SP
황의청을	황의청/NNP+을/JKO
적합한	적합하/VA+ㄴ/ETM
이사로	이사/NNG+로/JKB
인정했다	인정하/VV+었/EP+다/EC

앞서	앞서/MAG
사격연맹은	사격연맹/NNG+은/JX
현	현/MM
집행부와	집행부/NNG+와/JC
신	신/XPN
집행부간의	집행부간/NNG+의/JKG
마찰로	마찰/NNG+로/JKB
몸살을	몸살/NNG+을/JKO
앓았다	앓/VV+았/EP+다/EF

신	신/SW
집행부는	집행부/NNG+는/JX
현	현/MM
집행부의	집행부/NNG+의/JKG
장	장/NNG
회장이	회장/NNG+이/JKS
부회장	부회장/NNG
및	및/MAG
이사들을	이사/NNG+들/XSN+을/JKO
정관에	정관/NNG+에/JKB
어긋난	어긋나/VV+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
선임했고,	선임하/VV+었/EP+고/EC+,/SP
이	이/MM
과정에서	과정/NNG+에서/JKB
