미리보는	미리보/NNP+는/JX
‘제13회	‘/SL+제/XPN+13/SN+회/NNB
장애인영화제’	장애인영화제/NNG+’/SN

장애인,	장애인/NNG+,/SP
비장애인을	비장애인/NNG+을/JKO
넘어서	넘/VV+어서/EC
영화를	영화/NNG+를/JKO
사랑하는	사랑하/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
한	한/MM
자리에	자리/NNG+에/JKB
모이는	모이/VV+는/ETM
‘제13회	‘/SL+제/XPN+13/SN+회/NNB
장애인영화제’가	장애인영화제/NNG+’/SL+가/JKS
다음달	다음달/NNG
화려한	화려하/VA+ㄴ/ETM
막을	막/NNG+을/JKO
올린다	올리/VV+ㄴ다/EC

장애인영화제는	장애인영화제/NNG+는/JX
오는	오/VV+는/ETM
17일부터	17/SN+일/NNB+부터/JX
21일까지	21/SN+일/NNB+까지/JX
5일간	5/SN+일/NNB+간/XSN
한국농아인협회,	한국농아인협회/NNP+,/SP
한국장애인단체총연맹	한국/NNP+장애인단체총연맹/NNG
등	등/NNB
6개단체	6/SN+개/NNB+단체/NNG
주최로	주최/NNG+로/JKB
목동	목동/NNP
방송회관	방송회관/NNG
2층	2/SN+층/NNG
브로드홀에서	브로드홀/NNG+에서/JKB
열리며,	열리/VV+며/EC+,/SP
영화관람	영화관람/NNG
뿐	뿐/JX
아니라	아니/VCN+라/EC
감독관의	감독관/NNG+의/JKG
대화,	대화/NNG+,/SP
비장애인의	비/XPN+장애인/NNG+의/JKG
장애체험	장애체험/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
행사가	행사/NNG+가/JKS
진행된다	진행되/VV+ㄴ다/EC

이번	이번/NNG
영화제는	영화제/NNG+는/JX
장애인의	장애인/NNG+의/JKG
일상을	일상/NNG+을/JKO
소탈하고	소탈하/VA+고/EC
솔직하게	솔직하/VA+게/EC
그려낸	그리/VV+어/EC+내/VX+ㄴ/ETM
다큐멘터리에서	다큐멘터리/NNG+에서/JKB
치열한	치열하/VA+ㄴ/ETM
문제의식으로	문제의식/NNG+으로/JKB
현실의	현실/NNG+의/JKG
폐부를	폐부/NNG+를/JKO
