<패럴림픽>첫출전	</SS+패럴림픽/NNG+>/SS+첫출전/NNG
북한	북한/NNP
"브라질선	"/SS+브라질선/NNG
금메달	금메달/NNG
따겠다"	따/VV+겠/EP+다/EF+"/SS

(런던=연합뉴스)	(/SS+런던/NNP+=/SW+연합뉴스/NNP+)/SS
전명훈	전명훈/NNP
기자	기자/NNG
=	=/SW
패럴림픽	패럴림픽/NNG
무대에	무대/NNG+에/JKB
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
도전한	도전하/VV+ㄴ/ETM
북한의	북한/NNP+의/JKG
여정이	여정/NNG+이/JKS
유일한	유일하/VA+ㄴ/ETM
수영	수영/NNG
선수인	선수/NNG+이/VCP+ㄴ/ETM
림주성(17)의	림주성/NNG+(/SS+17/SN+)/SS+의/JKG
예선	예선/NNG
탈락으로	탈락/NNG+으로/JKB
조기	조기/NNG
마감됐다	마감되/VV+었/EP+다/EF

그러나	그러나/MAJ
림주성은	림주성/NNG+은/JX
전혀	전혀/MAG
기죽지	기죽/VV+지/EC
않고	않/VX+고/EC
브라질	브라질/NNP
패럴림픽에서	패럴림픽/NNG+에서/JKB
금메달을	금메달/NNG+을/JKO
따겠다는	따/VV+겠/EP+다는/ETM
각오를	각오/NNG+를/JKO
밝혔다	밝히/VV+었/EP+다/EC

림주성은	림주성/NNP+은/JX
4일(현지시간)	4/SN+일/NNB+(/SS+현지시간/NNG+)/SS
영국	영국/NNP
런던	런던/NNP
올림픽	올림픽/NNG
파크의	파크/NNG+의/JKG
아쿠아틱스	아쿠아틱스/NNG
센터에서	센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
수영	수영/NNG
남자	남자/NNG
50ｍ	50/SN+ｍ/SL
자유형	자유/NNG+형/XSN
S6	S/SL+6/SN
예선	예선/NNG
2조	2/SN+조/NR
경기에서	경기/NNG+에서/JKB
47초87의	47/SN+초/NNB+87/SN+의/JKG
기록으로	기록/NNG+으로/JKB
6명	6/SN+명/NNB
중	중/NNB
6위에	6/SN+위/NNB+에/JKB
올랐다	오르/VV+았/EP+다/EC

림주성의	림주성/NNG+의/JKG
기록은	기록/NNG+은/JX
1위를	1/SN+위/NNB+를/JKO
차지한	차지하/VV+ㄴ/ETM
쿠바의	쿠바/NNP+의/JKG
로렌조	로렌조/NNP
페레스	페레스/NNP
에스칼로나(29초98)보다	에스칼로나/NNP+(/SS+29/SN+초/NNB+98/SN+)/SS+보다/JKB
17초89가	17/SN+초/NNB+89/SN+가/JKS
늦고,	늦/VA+고/EC+,/SP
5위인	5/SN+위/NNB+이/VCP+ㄴ/ETM
매튜	매튜/NNP
워우드(33초91)보다도	워우드/NNP+(/SS+33/SN+초/NNB+91/SN+)/SS+보다/JKB+도/JX
14초	14/SN+초/NNB
정도나	정도/NNG+나/JC
느린	느리/VA+ㄴ/ETM
기록이었다	기록/NNG+이/VCP+었/EP+다/EF

경기	경기/NNG
결과만	결과/NNG+만/JX
놓고	놓/VV+고/EC
보면	보/VX+면/EC
참가에	참가/NNG+에/JKB
의의를	의의/NNG+를/JKO
두는	두/VV+는/ETM
수준이었다	수준/NNG+이/VCP+었/EP+다/EF

실제로	실제로/MAG
북한은	북한/NNP+은/JX
이번	이번/NNG
대회	대회/NNG
참가에	참가/NNG+에/JKB
큰	크/VA+ㄴ/ETM
의미를	의미/NNG+를/JKO
두고	두/VV+고/EC
있다	있/VX+다/EC

2011년에	2011/SN+년/NNB+에/JKB
국제패럴림픽위원회(IPC)	국제패럴림픽위원회/NNG+(/SS+IPC/SL+)/SS
준회원국	준/XPN+회원국/NNG
자격을	자격/NNG+을/JKO
얻은	얻/VV+은/ETM
북한이	북한/NNP+이/JKS
패럴림픽	패럴림픽/NNG
출전을	출전/NNG+을/JKO
결정한	결정하/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB

림주성이	림주성/NNG+이/JKS
베를린에서	베를린/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국제	국제/NNG
수영대회	수영대회/NNG
3개	3/SN+개/NNB
종목에	종목/NNG+에/JKB
출전해	출전하/VV+여/EC
모두	모두/MAG
10위	10/SN+위/NNB
이내의	이내/NNG+의/JKG
성적을	성적/NNG+을/JKO
낸	내/VV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
북한이	북한/NNP+이/JKS
IPC로부터	IPC/SL+로부터/JKB
와일드	와일드/NNP
카드를	카드/NNG+를/JKO
받았다	받/VV+았/EP+다/EC

북한	북한/NNP
주재	주재/NNG
영국	영국/NNP
대사관의	대사관/NNG+의/JKG
도움도	도움/NNG+도/JX
컸다영국대사관은	크/VA+었/EP+다/EC+영국/NNP+대사관/NNG+은/JX
최근	최근/NNG
런던	런던/NNP
패럴림픽	패럴림픽/NNG
사전등록	사전등록/NNG
회의	회의/NNG
때	때/NNG
북한	북한/NNP
수영선수	수영선수/NNG
1명에게	1/SN+명/NNB+에게/JKB
예선	예선/NNG
대회에서	대회/NNG+에서/JKB
장애	장애/NNG
등급을	등급/NNG+을/JKO
공인받는	공인/NNG+받/VV+는/ETM
조건으로	조건/NNG+으로/JKB
와일드카드를	와일드/NNP+카드/NNG+를/JKO
주기로	주/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

영국대사관은	영국/NNP+대사관/NNG+은/JX
림주성의	림주성/NNG+의/JKG
이번	이번/NNG
대회	대회/NNG
참가에	참가/NNG+에/JKB
든	들/VV+ㄴ/ETM
비용도	비용/NNG+도/JX
댔다	대/VV+었/EP+다/EC

림주성은	림주성/NNG+은/JX
다섯	다섯/NR
살	살/NNB
때	때/NNG
사고로	사고/NNG+로/JKB
왼쪽	왼쪽/NNG
팔과	팔/NNG+과/JC
다리를	다리/NNG+를/JKO
잃었다	잃/VV+었/EP+다/EC

북한	북한/NNP
선수단	선수단/NNG
관계자는	관계자/NNG+는/JX
베를린	베를린/NNP
국제대회	국제대회/NNG
전까지	전/NNG+까지/JX
수영을	수영/NNG+을/JKO
한	한/MM
번도	번/NNB+도/JX
해보지	하/VV+여/EC+보/VX+지/EC
않았던	않/VX+았/EP+던/ETM
림주성이	림주성/NNG+이/JKS
대회	대회/NNG
35일	35/SN+일/NNB
전부터	전/NNG+부터/JX
훈련을	훈련/NNG+을/JKO
해서	하/VV+여서/EC
국제대회	국제대회/NNG
10위	10/SN+위/NNB
이내의	이내/NNG+의/JKG
성적을	성적/NNG+을/JKO
냈다고	내/VV+었/EP+다고/EC
한다	하/VV+ㄴ다/EF

세부	세부/NNG
종목이	종목/NNG+이/JKS
많은	많/VA+은/ETM
장애인	장애인/NNG
경기대회의	경기대회/NNG+의/JKG
경우	경우/NNG
규모가	규모/NNG+가/JKS
크지	크/VA+지/EC
않으면	않/VX+으면/EC
한	한/MM
종목에	종목/NNG+에/JKB
10명	10/SN+명/NNB
미만의	미만/NNG+의/JKG
선수가	선수/NNG+가/JKS
출전하는	출전하/VV+는/ETM
경우는	경우/NNG+는/JX
많다	많/VA+다/EC

이날	이날/NNG
패럴림픽	패럴림픽/NNG
무대에서	무대/NNG+에서/JKB
림주성이	림주성/NNG+이/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
실력은	실력/NNG+은/JX
아직	아직/MAG
갈	가/VV+ㄹ/ETM
길이	길/NNG+이/JKS
먼	멀/VA+ㄴ/ETM
수준이었다	수준/NNG+이/VCP+었/EP+다/EF

사상	사상/NNG
처음으로	처음/NNG+으로/JKB
패럴림픽	패럴림픽/NNG
무대에	무대/NNG+에/JKB
선수를	선수/NNG+를/JKO
내보낸	내보내/VV+ㄴ/ETM
북한에	북한/NNP+에/JKB
대해	대하/VV+여/EC
외신	외신/NNG
기자들의	기자/NNG+들/XSN+의/JKG
관심도	관심/NNG+도/JX
높았다	높/VA+았/EP+다/EC

경기를	경기/NNG+를/JKO
마치고	마치/VV+고/EC
인터뷰	인터뷰/NNG
구역으로	구역/NNG+으로/JKB
들어온	들어오/VV+ㄴ/ETM
림주성을	림주성/NNG+을/JKO
10여명의	10/SN+여/XSN+명/NNB+의/JKG
국내·외	국내/NNG+·/SP+외/NNB
기자들이	기자/NNG+들/XSN+이/JKS
둘러쌌다	둘러싸/VV+았/EP+다/EF

림주성은	림주성/NNP+은/JX
"처음에는	"/SS+처음/NNG+에/JKB+는/JX
약간	약간/MAG
떨렸는데	떨리/VV+었/EP+는데/EC
끝나고	끝나/VV+고/EC
나니	나/VX+니/EC
기분이	기분/NNG+이/JKS
좋다"며	좋/VA+다/EF+"/SS+며/EC
"나의	"/SS+나/NP+의/JKG
출전으로	출전/NNG+으로/JKB
사람들이	사람/NNG+들/XSN+이/JKS
패럴림픽에	패럴림픽/NNG+에/JKB
대해서	대하/VV+여서/EC
더	더/MAG
많이	많이/MAG
알게	알/VV+게/EC
될	되/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

나도	나/NP+도/JX
열심히	열심히/MAG
훈련해서	훈련하/VV+여서/EC
2016	2016/SN
리우데자네이루	리우데자네이루/NNP
패럴림픽에서는	패럴림픽/NNG+에서/JKB+는/JX
금메달을	금메달/NNG+을/JKO
따겠다"고	따/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

몇몇	몇몇/MM
외신은	외신/NNG+은/JX
림주성에게	림주성/NNG+에게/JKB
'북한에서는	'/SS+북한/NNP+에서/JKB+는/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
한	한/MM
마을에	마을/NNG+에/JKB
모여서	모이/VV+어서/EC
살고	살/VV+고/EC
있다는	있/VX+다는/ETM
것이	것/NNB+이/JKS
사실이냐'고	사실/NNG+이/VCP+냐/EF+'/SS+고/JKQ
물었다	묻/VV+었/EP+다/EF

그때까지	그때/NNG+까지/JX
잠자코	잠자코/MAG
있던	있/VA+던/ETM
북한	북한/NNP
선수단의	선수단/NNG+의/JKG
팀	팀/NNG
닥터는	닥터/MAG+는/JX
유창한	유창하/VA+ㄴ/ETM
영어	영어/NNP
솜씨로	솜씨/NNG+로/JKB
"그렇지	"/SS+그렇/VA+지/EC
않다	않/VX+다/EC

다들	다/NNG+들/XSN
같이	같이/MAG
살고	살/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"미디어가	"/SS+미디어/NNG+가/JKS
잘못	잘못/MAG
보도한	보도하/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

junmk@yna	junmk/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
