'서울시	'/SS+서울시/NNP
장애인수상스키대회'	장애인수상스키대회/NNG+'/SS
8일	8/SN+일/NNB
열린다	열리/VV+ㄴ다/EF

서울시장애인체육회는	서울/NNP+시장애인체육/NNG+회/XSN+는/JX
지난	지나/VV+ㄴ/ETM
한강의	한강/NNP+의/JKG
녹조와	녹조/NNG+와/JC
태풍	태풍/NNG
블라벤때문에	블라베/VV+ㄴ/EF+때문/NNB+에/JKB
연기됐던	연기되/VV+었/EP+던/ETM
‘제6회	‘/SL+제/XPN+6/SN+회/NNB
서울특별시장배	서울/NNP+특별시장배/NNG
장애인수상스키대회’를	장애인수상스키대회/NNG+’/SL+를/JKO
오는	오/VV+는/ETM
8일	8/SN+일/NNB
토요일	토요일/NNG
11시부터	11/SN+시/NNB+부터/JX
뚝섬유원지에서	뚝섬유원지/NNP+에서/JKB
개최한다	개최하/VV+ㄴ다/EF

이번	이번/NNG
대회는	대회/NNG+는/JX
장애인과	장애인/NNG+과/JC
비장애인이	비장애인/NNG+이/JKS
모두	모두/MAG
참가해	참가하/VV+여/EC
투스키(두	투스키/NNP+(/SS+두/MM
발로	발/NNG+로/JKB
타는	타/VV+는/ETM
수상스키)뿐	수상/NNG+스키/XSV+)/SS+뿐/JX
아니라	아니/VCN+라/EC
원스키(한	원/XPN+스키/NNP+(/SS+한/MM
발로	발/NNG+로/JKB
타는	타/VV+는/ETM
수상스키)와	수상스키/NNG+)/SS+와/JC
칸스키(앉아서	칸스키/NNP+(/SS+앉/VV+아서/EC
타는	타/VV+는/ETM
수상스키),	수상스키/NNG+)/SS+,/SP
혼성	혼성/NNG
바나나보트	바나나보트/NNG
경기까지	경기/NNG+까지/JX
다양한	다양하/VA+ㄴ/ETM
세부종목	세부종목/NNG
경기를	경기/NNG+를/JKO
선보인다	선보일/VV+ㄴ다/EF

대한장애인수상스키협회	대한/NNP+장애인수상스키협회/NNG
조영상	조영상/NNP
회장은	회장/NNG+은/JX
"매년	"/SS+매년/MAG
장애인	장애인/NNG
선수들의	선수/NNG+들/XSN+의/JKG
기량이	기량/NNG+이/JKS
점점	점점/MAG
좋아지고	좋/VA+아/EC+지/VX+고/EC
있고	있/VX+고/EC
생활체육	생활체육/NNG
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
국제대회에도	국제대회/NNG+에/JKB+도/JX
나가서	나가/VV+아서/EC
입상을	입상/NNG+을/JKO
목표로	목표/NNG+로/JKB
정진하고	정진하/VV+고/EC
있다"	있/VX+다/EF+"/SS
고	고/JKQ
말했다	말하/VV+였/EP+다/EC

이	이/MM
대회에	대회/NNG+에/JKB
3회째	3/SN+회/NNB+째/XSN
참가하고	참가하/VV+고/EC
있는	있/VX+는/ETM
이기원	이기원/NNP
선수는	선수/NNG+는/JX
"수상스키의	"/SS+수상스키/NNG+의/JKG
원리는	원리/NNG+는/JX
일반스키의	일반스키/NNG+의/JKG
원리와	원리/NNG+와/JKB
같다면서	같/VA+다면서/EC
자신의	자신/NNG+의/JKG
신체구조에	신체구조/NNG+에/JKB
맞게	맞/VV+게/EC
몸의	몸/NNG+의/JKG
중심점을	중심점/NNG+을/JKO
정하고	정하/VV+고/EC
이를	이/NP+를/JKO
응용시켜나가다	응용/NNG+시키/XSV+어/EC+나가/VX+다/EC
보면	보/VX+면/EC
물에	물/NNG+에/JKB
뜰	뜨/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다"면서	되/VV+ㄴ다/EF+"/SS+면서/EC
결코	결코/MAG
장애인과	장애인/NNG+과/JC
먼	멀/VA+ㄴ/ETM
스포츠가	스포츠/NNG+가/JKC
아님을	아니/VCN+ㅁ/ETN+을/JKO
강조하기했다	강조하/VV+기/ETN+하/XSV+였/EP+다/EC

대회에	대회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문의는	문의/NNG+는/JX
서울시장애인	서울/NNP+시장애인/NNG
수상스키협회	수상스/NNP+키협회/NNG
사무국(02-498-9026)으로	사무국/NNG+(/SS+02/SN+-/SO+498/SN+-/SO+9026/SN+)/SS+으로/JKB
하면	하/VV+면/EC
된다	되/VV+ㄴ다/EF
