<패럴림픽>	</SS+패럴림픽/NNG+>/SS
韓-中	韓/SL+-/SO+中/SN
핑퐁	핑퐁/NNG
사랑	사랑/NNG
"우리	"/SS+우리/NP
결혼할	결혼하/VV+ㄹ/ETM
거예요"	것/NNB+이/VCP+에요/EF+"/SS

(런던=연합뉴스)	(/SS+런던/NNP+=/SW+연합뉴스/NNP+)/SS
전명훈	전명훈/NNP
기자	기자/NNG
=	=/SW
패럴림픽	패럴림픽/NNG
한국	한국/NNP
탁구	탁구/NNG
대표팀의	대표팀/NNG+의/JKG
문성혜(34)와	문성혜/NNP+(/SS+34/SN+)/SS+와/JC
중국	중국/NNP
탁구	탁구/NNG
대표팀의	대표팀/NNG+의/JKG
차오닝닝(25)이	차오닝닝/NNG+(/SS+25/SN+)/SS+이/JKS
열애	열애/NNG
사실을	사실/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

한국과	한국/NNP+과/JC
중국의	중국/NNP+의/JKG
장애인	장애인/NNG
탁구	탁구/NNG
선수가	선수/NNG+가/JKS
처음	처음/NNG
만난	만나/VV+ㄴ/ETM
것은	것/NNB+은/JX
2006년으로	2006/SN+년/NNB+으로/JKB
거슬러	거스르/VV+어/EC
올라간다	올라가/VV+ㄴ다/EC

말레이시아	말레이시아/NNP
쿠알라룸푸르에서	쿠알라룸푸르/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2006	2006/SN
장애인	장애인/NNG
아시안게임에서	아시안게임/NNG+에서/JKB
문성혜가	문성혜/NNP+가/JKS
경기를	경기/NNG+를/JKO
펼치는	펼치/VV+는/ETM
모습을	모습/NNG+을/JKO
보고	보/VV+고/EC
차오닝닝이	차오닝닝/NNP+이/JKS
반했다고	반하/VV+였/EP+다고/EC
한다	하/VV+ㄴ다/EF

문성혜는	문성혜/NNP+는/JX
이	이/MM
사실을	사실/NNG+을/JKO
모르고	모르/VV+고/EC
있었지만	있/VX+었/EP+지만/EC
차오닝닝이	차오닝닝/NNP+이/JKS
2007년	2007/SN+년/NNB
슬로바키아	슬로바키아/NNP
오픈	오픈/NNG
탁구대회	탁구대회/NNG
파티장에서	파티/NNG+장/XSN+에서/JKB
문성혜를	문성혜/NNP+를/JKO
찾아가	찾아가/VV+아/EC
"아시안게임	"/SS+아시안게임/NNG
때	때/NNG
멀리서	멀리/MAG+서/JKB
응원했다"고	응원하/VV+였/EP+다/EF+"/SS+고/JKQ
밝히면서	밝히/VV+면서/EC
인연이	인연/NNG+이/JKS
시작됐다	시작되/VV+었/EP+다/EC

이후	이후/NNG
친구	친구/NNG
사이로	사이/NNG+로/JKB
인연을	인연/NNG+을/JKO
이어	잇/VV+어/EC
오다	오/VX+다/EC
2011년	2011/SN+년/NNB
중국	중국/NNP
전지훈련에	전지훈련/NNG+에/JKB
간	가/VV+ㄴ/ETM
문성혜가	문성혜/NNP+가/JKS
차오닝닝과	차오닝닝/NNG+과/JKB
만나면서	만나/VV+면서/EC
연인	연인/NNG
사이로	사이/NNG+로/JKB
발전했다	발전하/VV+었/EP+다/EC

차오닝닝은	차오닝닝/NNP+은/JX
한국어를	한국어/NNP+를/JKO
잘	자/VV+ㄹ/ETM
못하지만	못하/VX+지만/EC
문성혜가	문성혜/NNP+가/JKS
중국어를	중국어/NNP+를/JKO
배워서	배우/VV+어서/EC
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
의사소통을	의사소통/NNG+을/JKO
한다	하/VV+ㄴ다/EF

