北	北/SL
패럴림픽단장	패럴림픽단장/NNG
"조선	"/SS+조선/NNP
장애인	장애인/NNG
비율	비율/NNG
5.8%"	5.8/SN+%/SW+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
홍덕화	홍덕화/NNP
기자	기자/NNG
=	=/SW
북한의	북한/NNP+의/JKG
장애인의	장애인/NNG+의/JKG
비율이	비율/NNG+이/JKS
전체	전체/NNG
인구의	인구/NNG+의/JKG
5	5/SN

8%인	8/SN+%/SW+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
10일	10/SN+일/NNB
확인됐다	확인되/VV+었/EP+다/EF

10일	10/SN+일/NNB
새벽(한국	새벽/NNG+(/SS+한국/NNP
시간)	시간/NNG+)/SS
폐막된	폐막되/VV+ㄴ/ETM
제14회	제/XPN+14/SN+회/NNB
런던장애인올림픽(패럴림픽·Paralympics)에	런던/NNP+장애인올림픽/NNG+(/SS+패럴림픽/NNG+·/SP+Paralympics/SL+)/SS+에/JKB
처음	처음/NNG
참가한	참가하/VV+ㄴ/ETM
북한	북한/NNP
대표단의	대표단/NNG+의/JKG
김문철	김문철/NNP
조선(북한)장애자연맹중앙위원회	조선/NNP+(/SS+북한/NNP+)/SS+장애자연맹중앙위원회/NNP
부위원장은	부위원장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
영국	영국/NNP
런던	런던/NNP
소재	소재/NNG
동포신문	동포신문/NNP
유로저널의	유로저널/NNP+의/JKG
김	김/NNP
훈	훈/NNP
발행인과의	발행인/NNG+과/JKB+의/JKG
인터뷰에	인터뷰/NNG+에/JKB
응하며	응하/VV+며/EC
장애인	장애인/NNG
현황을	현황/NNG+을/JKO
밝혔다고	밝히/VV+었/EP+다고/EC
김	김/NNP
발행인이	발행인/NNG+이/JKS
연합뉴스에	연합뉴스/NNP+에/JKB
알려왔다	알려오/VV+았/EP+다/EF

지난해	지난해/NNG
11월	11/SN+월/NNB
북한	북한/NNP
당국이	당국/NNG+이/JKS
실시한	실시하/VV+ㄴ/ETM
장애인	장애인/NNG
표본조사	표본조사/NNG
결과	결과/NNG
시력,	시력/NNG+,/SP
청력,	청력/NNG+,/SP
지체(사지),	지체/NNG+(/SS+사지/NNG+)/SS+,/SP
정신(지능	정신/NNG+(/SS+지능/NNG
포함),	포함/NNG+)/SS+,/SP
복합장애	복합장애/NNG
등	등/NNB
5대	5/SN+대/NNG
부문의	부문/NNG+의/JKG
장애인	장애인/NNG
인구는	인구/NNG+는/JX
5	5/SN

8%에	8/SN+%/SW+에/JKB
이른다	이르/VV+ㄴ다/EC

이날	이날/NNG
인터뷰에는	인터뷰/NNG+에/JKB+는/JX
리광선	리광선/NNP
선수단	선수단/NNG
서기장도	서기장/NNG+도/JX
자리를	자리/NNG+를/JKO
함께했다	함께하/VV+였/EP+다/EF

김	김/NNP
단장은	단장/NNG+은/JX
2003년	2003/SN+년/NNB
6월	6/SN+월/NNB
최고인민회의	최고인민회의/NNG
상임위원회	상임위원회/NNG
정령으로	정령/NNG+으로/JKB
채택한	채택하/VV+ㄴ/ETM
장애자보호법에	장애자보호법/NNG+에/JKB
따라	따르/VV+아/EC
이듬해	이듬해/NNG
중앙과	중앙과/NNG
각	각/MM
시·도·군에	시/NNG+·/SP+도/NNG+·/SP+군/NNG+에/JKB
비상실장애자보호위원회를	비상실장애자보호위원회/NNG+를/JKO
설치하는	설치하/VV+는/ETM
등	등/NNB
장애인	장애인/NNG
