특수교육에	특수교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고정관념을	고정관념/NNG+을/JKO
깨다	깨/VV+다/EC

학습	학습/NNG
장애	장애/NNG
또는	또는/MAG
발달	발달/NNG
장애아를	장애아/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
특수교육이라고	특수교육/NNG+이/VCP+라고/EC
하면	하/VV+면/EC
늘	늘/MAG
1등만	1/SN+등/NNB+만/JX
중요시	중요시/NNG
하는	하/VV+는/ETM
우리	우리/NP
사회에서는	사회/NNG+에서/JKB+는/JX
금기로	금기/NNG+로/JKB
여겨지는	여기/VV+어/EC+지/VX+는/ETM
단어이기도	단어/NNG+이/VCP+기/ETN+도/JX
하다	하/VX+다/EC

부모로써는	부모/NNG+로써/JKB+는/JX
아이들에게	아이/NNG+들/XSN+에게/JKB
안쓰럽고	안쓰럽/VA+고/EC
미안하기만	미안하/VA+기/ETN+만/JX
할뿐만	하/VX+ㄹ/ETM+뿐/NNB+만/JX
아니라	아니/VCN+라/EC
다른	다른/MM
아이들과	아이/NNG+들/XSN+과/JKB
다른	다르/VA+ㄴ/ETM
교육을	교육/NNG+을/JKO
받게	받/VV+게/EC
한다는	하/VX+ㄴ다는/ETM
사실	사실/NNG
자체는	자체/NNG+는/JX
인정하기	인정하/VV+기/ETN
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
일인	일/NNG+이/VCP+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

하지만	하지만/MAJ
이런	이런/MM
고민을	고민/NNG+을/JKO
하면서	하/VV+면서/EC
아이들의	아이/NNG+들/XSN+의/JKG
특수교육의	특수교육/NNG+의/JKG
시기를	시기/NNG+를/JKO
놓치기도	놓치/VV+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

또한	또한/MAG
법에	법/NNG+에/JKB
무지함으로	무지하/VV+ㅁ/ETN+으로/JKB
인해서	인하/VV+여서/EC
학교의	학교/NNG+의/JKG
입장만을	입장/NNG+만/JX+을/JKO
일방적으로	일방적/NNG+으로/JKB
받아들이고는	받아들이/VV+고는/EC
불필요한	불필요하/VA+ㄴ/ETM
처방약을	처방약/NNG+을/JKO
아이들에게	아이/NNG+들/XSN+에게/JKB
복용시키기도	복용/NNG+시키/XSV+기/ETN+도/JX
하며,	하/VX+며/EC+,/SP
적합하지	적합하/VA+지/EC
않은	않/VX+은/ETM
교육을	교육/NNG+을/JKO
받고	받/VV+고/EC
있다는	있/VX+다는/ETM
사실이다	사실/NNG+이/VCP+다/EC

장애아들이	장애아/NNG+들/XSN+이/JKS
다니고	다니/VV+고/EC
있는	있/VX+는/ETM
학교를	학교/NNG+를/JKO
배경으로	배경/NNG+으로/JKB
시작되는	시작되/VV+는/ETM
영화	영화/NNG
댄스파티(The	댄스파티/NNG+(/SS+The/SL
Ball)는	Ball/SL+)/SS+는/JX
보편적으로	보편적/NNG+으로/JKB
아이들	아이/NNG+들/XSN
시기에	시기/NNG+에/JKB
느끼는	느끼/VV+는/ETM
감정이나	감정/NNG+이나/JC
느낌을	느낌/NNG+을/JKO
솔직	솔직/NNG
담배하게	담배하/VA+게/EC
그려	그리/VV+어/EC
나가고	나가/VX+고/EC
있다	있/VX+다/EC

또한	또한/MAG
개인적으로	개인적/NNG+으로/JKB
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
재능을	재능/NNG+을/JKO
하나라도	하나/NR+라도/JX
제대로	제대로/MAG
살려	살리/VV+어/EC
주려는	주/VX+려는/ETM
학교	학교/NNG
당국과	당국/NNG+과/JC
부모님들의	부모님/NNG+들/XSN+의/JKG
관심과	관심/NNG+과/JC
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
지지는	지지/NNG+는/JX
영화를	영화/NNG+를/JKO
보는	보/VV+는/ETM
내내	내내/MAG
선진국이기	선진국/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
있을	있/VA+을/ETM
수	수/NNB
있는	있/VA+는/ETM
일이라고	일/NNG+이/VCP+라고/EC
치부하면서도	치부하/VV+면서/EC+도/JX
우리도	우리/NP+도/JX
얼마든지	얼마/NNG+든지/JX
가능한	가능하/VA+ㄴ/ETM
일이	일/NNG+이/JKC
아닐까	아니/VCN+ㄹ까/EC
생각해	생각하/VV+여/EC
보게	보/VX+게/EC
된다	되/VV+ㄴ다/EF

다른	다른/MM
한편으로	한편/NNG+으로/JKB
특수아를	특수아/NNG+를/JKO
걱정하는	걱정하/VV+는/ETM
부모님들의	부모님/NNG+들/XSN+의/JKG
안타까운	안타깝/VA+ㄴ/ETM
입장은	입장/NNG+은/JX
우리와도	우리/NP+와/JKB+도/JX
별다른	별다르/VA+ㄴ/ETM
점	점/NNG
없이	없이/MAG
비슷한	비슷하/VA+ㄴ/ETM
생각을	생각/NNG+을/JKO
하고	하/VV+고/EC
있어서	있/VX+어서/EC
많은	많/VA+은/ETM
부분	부분/NNG
공감적으로	공감적/NNG+으로/JKB
다가왔던	다가오/VV+았/EP+던/ETM
장면들이	장면/NNG+들/XSN+이/JKS
생각나기도	생각나/VV+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

학교에서	학교/NNG+에서/JKB
주관하는	주관하/VV+는/ETM
댄스파티	댄스파티/NNG
연습으로	연습/NNG+으로/JKB
개인적	개인적/NNG
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
또래와	또래/NNG+와/JKB
어울리지	어울리/VV+지/EC
못해	못하/VX+여/EC
하며	하/VV+며/EC
안타까워하는	안타까워하/VV+는/ETM
모습,	모습/NNG+,/SP
졸업한	졸업하/VV+ㄴ/ETM
후	후/NNG
자녀의	자녀/NNG+의/JKG
자립에	자립/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고민들	고민/NNG+들/XSN
그	그/MM
외	외/NNB
부모님	부모님/NNG
입장에서	입장/NNG+에서/JKB
이야기하는	이야기하/VV+는/ETM
장면에서	장면/NNG+에서/JKB
잘사는	잘살/VV+는/ETM
나라	나라/NNG
아니면	아니/VCN+면/EC
여유가	여유/NNG+가/JKS
있으니까	있/VA+으니까/EC
그럴	그렇/VA+ㄹ/ETM
수	수/NNB
있겠다는	있/VA+겠/EP+다는/ETM
느낌도	느낌/NNG+도/JX
들었다	듣/VV+었/EP+다/EF

하지만	하지만/MAJ
그들의	그/NP+들/XSN+의/JKG
이야기에는	이야기/NNG+에/JKB+는/JX
우리들	우리/NP+들/XSN
의식	의식/NNG
속에	속/NNG+에/JKB
고정	고정/NNG
관렴화	관렴/NNG+화/XSN
되어	되/VV+어/EC
있는	있/VX+는/ETM
생각들을	생각/NNG+들/XSN+을/JKO
하나하나	하나하나/MAG
깨우치고	깨우치/VV+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
영화를	영화/NNG+를/JKO
통해	통하/VV+여/EC
나타내고	나타내/VV+고/EC
있다	있/VX+다/EC

자료를	자료/NNG+를/JKO
통하여	통하/VV+여/EC
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
미국에는	미국/NNP+에/JKB+는/JX
5명중에	5/SN+명중/NNB+에/JKB
1명의	1/SN+명/NNB+의/JKG
아이가	아이/NNG+가/JKS
어떤	어떤/MM
식으로든지	식/NNB+으로/JKB+든지/JX
학습	학습/NNG
발달에	발달/NNG+에/JKB
문제가	문제/NNG+가/JKS
있다고	있/VA+다고/EC
한다	하/VV+ㄴ다/EF

장애는	장애/NNG+는/JX
여러	여러/MM
가지	가지/NNB
있으며	있/VA+으며/EC
독서	독서/NNG
장애,	장애/NNG+,/SP
미세	미세/NNG
뇌기능	뇌기능/NNG
장애,	장애/NNG+,/SP
자폐증,	자폐증/NNG+,/SP
지각장애,	지각장애/NNG+,/SP
ADD,	ADD/SL+,/SP
ADHD,	ADHD/SL+,/SP
Asperger’s	Asperger’s/SL
