장애인양궁대회서	장애인양궁대회/NNG+서/JKB
점수계산	점수계산/NNG
오류…협회	오류/NNG+…/SE+협회/NNG
이사	이사/NNG
사퇴	사퇴/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
전명훈	전명훈/NNP
기자	기자/NNG
=	=/SW
대한장애인양궁협회는	대한장애인양궁/NNP+협회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
22~23일	22/SN+~/SO+23/SN+일/NNB
경북	경북/NNP
예천	예천/NNP
진호국제양궁장에서	진호국제양/NNP+궁장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
2012	2012/SN
예천	예천/NNP
장애인양궁대회에서	장애인양궁대회/NNG+에서/JKB
예선전	예선전/NNG
점수	점수/NNG
계산에	계산/NNG+에/JKB
착오가	착오/NNG+가/JKS
있었다고	있/VA+었/EP+다고/EC
25일	25/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

장애인양궁협회의	장애인양궁/NNP+협회/NNG+의/JKG
김선숙	김선숙/NNP
이사는	이사/NNG+는/JX
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
이날	이날/NNG
사퇴했다	사퇴하/VV+였/EP+다/EF

협회에	협회/NNG+에/JKB
예선	예선/NNG
점수에서	점수/NNG+에서/JKB
크게는	크/VA+게/EC+는/JX
100점,	100/SN+점/NNB+,/SP
작게는	작/VA+게/EC+는/JX
4점의	4/SN+점/NNB+의/JKG
계산	계산/NNG
오류가	오류/NNG+가/JKS
발생했다	발생하/VV+였/EP+다/EC

13~15세로	13/SN+~/SO+15/SN+세/NNB+로/JKB
이뤄진	이루어지/VV+ㄴ/ETM
경기	경기/NNP
운영	운영/NNG
자원봉사	자원봉사/NNG
요원이	요원/NNG+이/JKS
각	각/MM
화살의	화살/NNG+의/JKG
점수를	점수/NNG+를/JKO
더하는	더하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
계산이	계산/NNG+이/JKS
틀려	틀리/VV+어/EC
이런	이런/MM
일이	일/NNG+이/JKS
발생한	발생하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다	밝혀지/VV+었/EP+다/EF

예선	예선/NNG
점수는	점수/NNG+는/JX
최종	최종/NNG
순위	순위/NNG
결정에는	결정/NNG+에/JKB+는/JX
영향을	영향/NNG+을/JKO
미치지	미치/VV+지/EC
않지만	않/VX+지만/EC
토너먼트	토너먼트/NNG
시드	시드/NNP
배정의	배정/NNG+의/JKG
기준이	기준/NNG+이/JKC
된다	되/VV+ㄴ다/EF

협회는	협회/NNG+는/JX
"대회	"/SS+대회/NNG
결선	결선/NNG
토너먼트가	토너먼트/NNG+가/JKS
시작되기	시작되/VV+기/ETN
전에	전/NNG+에/JKB
오류가	오류/NNG+가/JKS
발생했다는	발생하/VV+였/EP+다는/ETM
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
돼	되/VV+어/EC
모두	모두/MAG
수정했다"며	수정하/VV+였/EP+다/EF+"/SS+며/EC
"대회	"/SS+대회/NNG
최종	최종/NNG
결과에는	결과/NNG+에/JKB+는/JX
문제가	문제/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
해명했다	해명하/VV+였/EP+다/EC

협회는	협회/NNG+는/JX
홈페이지에	홈페이지/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
사과	사과/NNG
성명에서	성명/NNG+에서/JKB
"오류가	"/SS+오류/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
선수들에게	선수/NNG+들/XSN+에게/JKB
죄송하다"며	죄송하/VA+다/EF+"/SS+며/EC
"고의가	"/SS+고의/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
계산	계산/NNG
착오다	작오/VV+다/EC

앞으로	앞/NNG+으로/JKB
(경기	(/SS+경기/NNP
운영요원을)	운영요원/NNG+을/JKO+)/SS
철저히	철저히/MAG
교육하고	교육하/VV+고/EC
검산을	검산/NNG+을/JKO
2회	2/SN+회/NNB
이상하겠다"고	이상하/VV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

junmk@yna	junmk/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
