탁구金	탁구金/NNG
김영건,	김영건/NNP+,/SP
베이징	베이징/NNP
한(恨)	한/NNP+(/SS+恨/SL+)/SS
풀었다	풀/VV+었/EP+다/EC

아테네	아테네/NNG
올림픽	올림픽/NNG
탁구	탁구/NNG
2관왕이었던	2/SN+관왕/NNG+이/VCP+었/EP+던/ETM
김영건	김영건/NNP
선수가	선수/NNG+가/JKS
8년	8/SN+년/NNB
만에	만/NNB+에/JKB
패럴림픽	패럴림픽/NNG
금메달	금메달/NNG
도전에	도전/NNG+에/JKB
성공했다	성공하/VV+였/EP+다/EC

남자	남자/NNG
탁구	탁구/NNG
김영건(28)은	김영건/NNP+(/SS+28/SN+)/SS+은/JX
3일	3/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
50분(현지시간)	50/SN+분/NNB+(/SS+현지시간/NNG+)/SS
영국	영국/NNP
런던	런던/NNP
엑셀	엑셀/NNG
노스	노스/NNG
아레나	아레나/NNP
탁구	탁구/NNG
경기장에서	경기장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
2012	2012/SN
패럴림픽	패럴림픽/NNG
남자	남자/NNG
단식	단식/NNG
클래스4	클래스/NNG+4/SN
결승에서	결승/NNG+에서/JKB
중국의	중국/NNP+의/JKG
장얀	장얗/VA+ㄴ/ETM
선수를	선수/NNG+를/JKO
세트스코어	세트스코어/NNG
3-1(14-12	3/SN+-/SO+1/SN+(/SS+14/SN+-/SO+12/SN
11-9	11/SN+-/SO+9/SN
12-14	12/SN+-/SO+14/SN
11-9)로	11/SN+-/SO+9/SN+)/SS+로/JKB
물리치고	물리치/VV+고/EC
감격의	감격/NNG+의/JKG
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

김영건의	김영건/NNP+의/JKG
금메달	금메달/NNG
쾌거는	쾌거/NNG+는/JX
이번	이번/NNG
패럴림픽	패럴림픽/NNG
탁구에서	탁구/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
첫	첫/MM
금메달이자	금메달/NNG+이/VCP+자/EC
한국의	한국/NNP+의/JKG
4번째	4/SN+번째/NNB
금메달이다	금메달/NNG+이/VCP+다/EC

김영건은	김영건/NNP+은/JX
2004년	2004/SN+년/NNB
아테네	아테네/NNP
패럴림픽	패럴림픽/NNG
탁구	탁구/NNG
단식과	단식/NNG+과/JC
단체전(이상	단체전/NNG+(/SS+이상/NNG
클래스3)에서	클래스/NNG+3/SN+)/SS+에서/JKB
2관왕에	2/SN+관왕/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
이후	이후/NNG
8년	8/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
정상에	정상/NNG+에/JKB
올라	오르/VV+아/EC
지난	지나/VV+ㄴ/ETM
베이징패럴림픽의	베이징패럴림픽/NNP+의/JKG
한을	한/NNG+을/JKO
풀게	풀/VV+게/EC
됐다	되/VV+었/EP+다/EC

이날	이날/NNG
시합의	시합/NNG+의/JKG
백미는	백미/NNG+는/JX
첫	첫/MM
번째	번째/NNB
세트였다	세트/NNG+이/VCP+었/EP+다/EF

6-10으로	6/SN+-/SO+10/SN+으로/JKB
