'2012	'/SS+2012/SN
전국	전국/NNG
휠체어컬링대회'	휠체어컬링대회/NNG+'/SS
7일	7/SN+일/NNB
막	막/NNG
올라	오르/VV+아/EC

"2012	"/SS+2012/SN
전국	전국/NNG
휠체어컬링대회"가	휠체어컬링대회/NNG+"/SS+가/JKS
오는	오/VV+는/ETM
7일부터	7/SN+일/NNB+부터/JX
10일까지	10/SN+일/NNB+까지/JX
강원도	강원도/NNP
춘천	춘천/NNP
의암빙상장에서	의암빙상장/NNP+에서/JKB
열린다	열리/VV+ㄴ다/EF

대한장애인컬링협회가	대한/NNP+장애인컬링협회/NNG+가/JKS
주최하는	주최하/VV+는/ETM
이번	이번/NNG
대회에는	대회/NNG+에/JKB+는/JX
경북	경북/NNP
휠체어컬링,	휠체어컬링/NNP+,/SP
부산휠체어컬링,	부산휠체어컬링/NNP+,/SP
서울보훈,	서울/NNP+보훈/NNG+,/SP
서울이글스,	서울이글스/NNP+,/SP
서울해치,	서울해치/NNP+,/SP
수원스콜피언스,	수원스콜피언스/NNP+,/SP
원주연세드림,	원주연세드림/NNP+,/SP
의정부롤링스톤,	의정부롤링스톤/NNG+,/SP
인천맷돌,	인천맷돌/NNP+,/SP
인천상록수,	인천상록수/NNP+,/SP
창원애지,	창원/NNP+애지/NNG+,/SP
충북백호	충북백호/NNP
등	등/NNB
12개	12/SN+개/NNB
팀이	팀/NNG+이/JKS
참가한다	참가하/VV+ㄴ다/EC

특히	특히/MAG
'2010년	'/SS+2010/SN+년/NNB
밴쿠버	밴쿠버/NNP
동계장애인올림픽'	동계장애인올림픽/NNG+'/SS
은메달의	은메달/NNG+의/JKG
영광을	영광/NNG+을/JKO
'2014	'/SS+2014/SN
소치	소치/NNG
동계장애인올림픽'에서	동계장애인올림픽/NNG+'/SS+에서/JKB
재연할	재연하/VV+ㄹ/ETM
국가대표	국가대표/NNG
팀	팀/NNG
선발에	선발/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
쿼터	쿼터/NNG
점수가	점수/NNG+가/JKS
걸려	걸리/VV+어/EC
있어	있/VX+어/EC
경쟁이	경쟁/NNG+이/JKS
치열할	치열하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

국가대표	국가대표/NNG
팀은	팀/NNG+은/JX
이번	이번/NNG
대회를	대회/NNG+를/JKO
포함해	포함하/VV+여/EC
내년	내년/NNG
동계장애인체육대회,	동계장애인체육대회/NNG+,/SP
전국	전국/NNG
휠체어컬링	휠체어컬링/NNG
선수권대회의	선수권대회/NNG+의/JKG
점수를	점수/NNG+를/JKO
합산해	합산하/VV+여/EC
가장	가장/MAG
많이	많이/MAG
획득한	획득하/VV+ㄴ/ETM
팀이	팀/NNG+이/JKS
선발된다	선발되/VV+ㄴ다/EF
