'제35회	'/SS+제/XPN+35/SN+회/NNB
전국지적장애인체육대회'	전/MM+국지적장애인체육대회/NNG+'/SS
개최	개최/NNG

대한지적장애인스포츠협회(회장	대한지적장애인스포츠협회/NNP+(/SS+회장/NNG
김원경)는	김원경/NNP+)/SS+는/JX
오는	오/VV+는/ETM
17일부터	17/SN+일/NNB+부터/JX
18일까지	18/SN+일/NNB+까지/JX
2일간	2/SN+일/NNB+간/XSN
한국체육대학교에서	한국체육대학교/NNP+에서/JKB
지적장애인들의	지적장애인/NNG+들/XSN+의/JKG
엘리트체육	엘리트체육/NNG
활성화를	활성화/NNG+를/JKO
위해	위하/VV+여/EC
‘제35회	‘/SN+제/XPN+35/SN+회/NNB
전국지적장애인체육대회’를	전/MM+국지적장애인체육대회/NNG+’/SL+를/JKO
개최한다	개최하/VV+ㄴ다/EF

이번	이번/NNG
대회에는	대회/NNG+에/JKB+는/JX
전국에서	전국/NNG+에서/JKB
200여명의	200/SN+여/XSN+명/NNB+의/JKG
선수들이	선수/NNG+들/XSN+이/JKS
참가해	참가하/VV+여/EC
수영,	수영/NNG+,/SP
탁구,	탁구/NNG+,/SP
실내조정,	실내조정/NNG+,/SP
댄스스포츠	댄스스포츠/NNG
등	등/NNB
4개	4/SN+개/NNB
종목으로	종목/NNG+으로/JKB
실력을	실력/NNG+을/JKO
겨루게	겨루/VV+게/EC
된다	되/VV+ㄴ다/EF

특히	특히/MAG
2016년	2016/SN+년/NNB
리우장애인올림픽	리우/NNP+장애인올림픽/NNG
종목채택	종목채택/NNG
가능성이	가능성/NNG+이/JKS
높은	높/VA+은/ETM
실내조정,	실내조정/NNG+,/SP
장애인체전에서	장애인체전/NNG+에서/JKB
실시되지	실시되/VV+지/EC
않는	않/VX+는/ETM
지적장애인댄스스포츠는	지적장애인댄스스포츠/NNG+는/JX
또	또/MAG
다른	다른/MM
볼거리를	볼거리/NNG+를/JKO
선사할	선사하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

지난해	지난해/NNG
대회는	대회/NNG+는/JX
충청북도	충청북도/NNP
청주시에서	청주시/NNP+에서/JKB
개최됐으며,	개최되/VV+었/EP+으며/EC+,/SP
당시에는	당시/NNG+에/JKB+는/JX
인라인,	인라인/NNG+,/SP
탁구,	탁구/NNG+,/SP
축구,	축구/NNG+,/SP
실내조정의	실내조정/NNG+의/JKG
경기가	경기/NNG+가/JKS
열렸다	열리/VV+었/EP+다/EC

한편	한편/MAG
개회식은	개회식/NNG+은/JX
17일	17/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
한국체육대학교	한국체육대학교/NNP
핸드볼경기장에서	핸드볼경기장/NNG+에서/JKB
진행된다	진행되/VV+ㄴ다/EC
