장애인생활체육지도자	장애인생활체육지도자/NNG
80%	80/SN+%/SW
‘자격미달’	‘/SN+자격미달/NNG+’/SN

특수체육	특수체육/NNG
교육	교육/NNG
전공	전공/NNG
및	및/MAG
장애인스포츠	장애인스포츠/NNG
지도자	지도자/NNG
양성과정을	양성과정/NNG+을/JKO
수료한	수료하/VV+ㄴ/ETM
‘장애인	‘/SL+장애인/NNG
생활체육	생활체육/NNG
지도자(이하	지도자/NNG+(/SS+이하/NNG
생활체육	생활체육/NNG
지도자)’	지도자/NNG+)/SS+’/SN
확충이	확충/NNG+이/JKS
시급한	시급하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

국회	국회/NNG
문화체육관광방송통신위원회	문화체육관광방송통신/NNP+위원회/NNG
소속	소속/NNG
새누리당	새누리당/NNP
이상일	이상일/NNP
의원은	의원/NNG+은/JX
19일	19/SN+일/NNB
대한장애인체육회	대한장애인체육회/NNP
국정감사에서	국정감사/NNG+에서/JKB
생활체육	생활체육/NNG
지도자	지도자/NNG
190명	190/SN+명/NNB
중	중/NNB
40명만이	40/SN+명/NNB+만/JX+이/JKS
특수체육	특수체육/NNG
전공자	전공/NNG+자/XSN
및	및/MAG
장애인스포츠	장애인스포츠/NNG
지도자	지도자/NNG
양성과정	양성과정/NNG
수료자라고	수료자/NNG+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지식과	지식/NNG+과/JC
이해	이해/NNG
없이	없이/MAG
장애인	장애인/NNG
체육교육이	체육교육/NNG+이/JKS
가능하겠느냐는	가능하/VA+겠/EP+느냐는/ETM
것	것/NNB

이상일	이상일/NNP
의원은	의원/NNG+은/JX
“나머지는	“/SL+나머지/NNG+는/JX
충분한	충분하/VA+ㄴ/ETM
자격요건을	자격요건/NNG+을/JKO
갖추지	갖추/VV+지/EC
않아	않/VX+아/EC
장애인에게	장애인/NNG+에게/JKB
상처를	상처/NNG+를/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EC+”/VX+며/EC
“대책마련이	“/SN+대책마련/NNG+이/JKS
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

현재	현재/MAG
‘장애인	‘/SN+장애인/NNG
생활체육	생활체육/NNG
지도자’는	지도자/NNG+’/SL+는/JX
특수체육전공자(석,	특수체육전공자/NNG+(/SS+석/NNG+,/SP
박사포함),	박사포하/VA+ㅁ/ETN+)/SS+,/SP
국가공인	국가공인/NNG
자격보유자(생활체육	자격보유자/NNG+(/SS+생활체육/NNG
지도자	지도자/NNG
1-3급,	1/SN+-/SO+3/SN+급/NNG+,/SP
경기지도자	경기지도자/NNG
1-2급)	1/SN+-/SO+2/SN+급/NNG+)/SS
중	중/NNB
하나의	하나/NNG+의/JKG
자격	자격/NNG
요건을	요건/NNG+을/JKO
충족해야	충족하/VV+여야/EC
한다	하/VX+ㄴ다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
장애인체육회	장애인체육회/NNG
윤석용	윤석용/NNP
회장은	회장/NNG+은/JX
“장애인체육은	“/SN+장애인체육/NNG+은/JX
특성을	특성/NNG+을/JKO
이해해야	이해하/VV+여야/EC
하고	하/VX+고/EC
또한	또한/MAG
지도자	지도자/NNG
실기	실기/NNG
및	및/MAG
이론을	이론/NNG+을/JKO
겸비해야	겸비하/VV+여야/EC
하지만	하/VX+지만/EC
아직은	아직/MAG+은/JX
제도화	제도화/NNG
되지	되/VV+지/EC
않아	않/VX+아/EC
상당한	상당하/VA+ㄴ/ETM
어려움이	어려움/NNG+이/JKS
있다”고	있/VA+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

이어	이어/MAG
윤	윤/NNP
회장은	회장/NNG+은/JX
“2015년부터는	“/SL+2015/SN+년/NNB+부터는/JX
스포츠	스포츠/NNG
지도자	지도자/NNG
양성교육	양성교육/NNG
프로그램을	프로그램/NNG+을/JKO
문화체육관광부와	문화체육관광부/NNG+와/JKB
상의하고,	상의하/VV+고/EC+,/SP
그	그/MM
전에라도	전/NNG+에/JKB+라도/JX
교육을	교육/NNG+을/JKO
중점적으로	중점적/NNG+으로/JKB
하겠다“고	하/VV+겠/EP+다/EC+“/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
