순천향대,	순천향대/NNP+,/SP
‘2013평창스페셜올림픽’	‘/SL+2013/SN+평/NNB+창스페셜올림픽/NNG+’/SL
성공	성공/NNG
지원	지원/NNG

2013평창동계스페셜올림픽조직위원회(위원장	2013/SN+평/NNB+창동계스페셜올림픽/NNP+조직위원회/NNG+(/SS+위원장/NNG
나경원,	나경원/NNG+,/SP
이하	이하/NNG
조직위)는	조직위/NNG+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
조직위	조직위/NNG
서울사무소(종로구	서울/NNP+사무소/NNG+(/SS+종로구/NNP
수송동)에서	수송동/NNP+)/SS+에서/JKB
순천향대학교(총장	순천향대학교/NNP+(/SS+총장/NNG
손풍삼)와	손풍삼/NNP+)/SS+와/JC
호스트타운	호스트타운/NNP
프로그램	프로그램/NNG
후원	후원/NNG
및	및/MAG
어린이선수프로그램	어린이선수프로그램/NNG
운영을	운영/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
업무협약(MOU)을	업무협약/NNG+(/SS+MOU/SL+)/SS+을/JKO
체결했다	체결하/VV+였/EP+다/EC

순천향대학은	순천향대학/NNP+은/JX
평창동계스페셜올림픽과	평창동계스페셜올림픽/NNP+과/JKB
관련,	관련/NNG+,/SP
캐나다	캐나다/NNP
선수단(150명	선수단/NNG+(/SS+150/SN+명/NNB
규모)의	규모/NNG+)/SS+의/JKG
호스트타운프로그램을	호스트타운프로그램/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해	위하/VV+여/EC
대학	대학/NNG
후원사로서는	후원사/NNG+로서/JKB+는/JX
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
약	약/MM
5천만원의	5/SN+천만/NR+원/NNB+의/JKG
숙박,	숙박/NNG+,/SP
교통,	교통/NNG+,/SP
식사,	식사/NNG+,/SP
문화체험	문화체험/NNG
프로그램	프로그램/NNG
및	및/MAG
순천향대	순천향대/NNP
재학생으로	재학생/NNG+으로/JKB
구성된	구성되/VV+ㄴ/ETM
100여명의	100/SN+여/XSN+명/NNB+의/JKG
대학생	대학생/NNG
자원봉사자를	자원봉사자/NNG+를/JKO
지원하기로	지원하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

호스트타운	호스트타운/NNG
프로그램은	프로그램/NNG+은/JX
일종의	일종/NNG+의/JKG
홈	홈/NNG
스테이	스테이/NNG
개념으로	개념/NNG+으로/JKB
해석할	해석하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

스페셜올림픽에	스페셜올림픽/NNG+에/JKB
참가하는	참가하/VV+는/ETM
선수단에게	선수단/NNG+에게/JKB
숙박을	숙박/NNG+을/JKO
제공하는	제공하/VV+는/ETM
것이	것/NNB+이/JKS
기본	기본/NNG
뼈대다	뼈대/NNG+이/VCP+다/EF

대회가	대회/NNG+가/JKS
열리기	열리/VV+기/ETN
4일	4/SN+일/NNB
전	전/NNG
입국한	입국하/VV+ㄴ/ETM
대표단에게	대표단/NNG+에게/JKB
3박4일간	3/SN+박/NNB+4/SN+일/NNB+간/XSN
개최국	개최/NNG+국/XSN
주민들과	주민/NNG+들/XSN+과/JKB
함께	함께/MAG
생활하며	생활하/VV+며/EC
우정과	우정/NNG+과/JC
추억을	추억/NNG+을/JKO
쌓는	쌓/VV+는/ETM
프로그램이다	프로그램/NNG+이/VCP+다/EC

단순히	단순히/MAG
먹고	먹/VV+고/EC
잘	잘/MAG
곳을	곳/NNG+을/JKO
