장애인,	장애인/NNG+,/SP
새해부터	새해/NNG+부터/JX
의정부경전철	의정부경전철/NNG
‘무료’	‘/SL+무료/NNG+’/SN

새해부터	새해/NNG+부터/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
의정부경전철을	의정부경전철/NNG+을/JKO
무료로	무료/NNG+로/JKB
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

의정부시	의정부시/NNP
산하	산하/NNG
(주)의정부경전철은	(/SS+주/NNG+)/SS+의정부경전철/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
개통	개통/NNG
후	후/NNG
제기돼	제기되/VV+어/EC
온	오/VX+ㄴ/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
유료	유료/NNG
탑승	탑승/NNG
불만을	불만/NNG+을/JKO
해소하고,	해소하/VV+고/EC+,/SP
운영	운영/NNG
활성화를	활성화/NNG+를/JKO
위해	위하/VV+여/EC
내년부터	내년/NNG+부터/JX
장애인	장애인/NNG
무료	무료/NNG
승차를	승차/NNG+를/JKO
시행하기로	시행하/VV+기/ETN+로/JKB
결정했다고	결정하/VV+였/EP+다고/EC
21일	21/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
내년	내년/NNG
1월1일부터	1/SN+월/NNB+1/SN+일/NNB+부터/JX
등록장애인은	등록장애인/NNG+은/JX
의정부경전철을	의정부경전철/NNG+을/JKO
무료로	무료/NNG+로/JKB
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

특히	특히/MAG
중증장애인(1급∼3급)과	중증장애인/NNG+(/SS+1/SN+급/NNG+∼/SO+3/SN+급/NNG+)/SS+과/JKB
동반하는	동반하/VV+는/ETM
보호자	보호자/NNG
1명도	1/SN+명/NNB+도/JX
무료로	무료/NNG+로/JKB
승차할	승차하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

의정부경전철은	의정부경전철/NNG+은/JX
장애인	장애인/NNG
무임승차	무임승차/NNG
시행으로	시행/NNG+으로/JKB
지역	지역/NNG
약	약/MM
2만여명의	2/SN+만/NR+여/XSN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
무임	무임/NNG
할인	할인/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
예상하고	예상하/VV+고/EC
있다	있/VX+다/EC

그	그/MM
동안	동안/NNG
장애인	장애인/NNG
유료	유료/NNG
이용과	이용/NNG+과/JC
관련	관련/NNG
문제제기를	문제제기/NNG+를/JKO
해온	하/VV+여/EC+오/VX+ㄴ/ETM
의정부장애인차별연대는	의정부장애인차별연대/NNG+는/JX
“늦게나마	“/SN+늦/VA+게/EC+나마/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
무료로	무료/NNG+로/JKB
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
조치를	조치/NNG+를/JKO
취한	취하/VV+ㄴ/ETM
것은	것/NNB+은/JX
반가운	반갑/VA+ㄴ/ETM
일”이라며	일”/NNG+이/VCP+라며/EC
“장애인의	“장애인/NNG+의/JKG
이동권이	이동/NNG+권/XSN+이/JKS
한층	한층/MAG
더	더/MAG
나아질	나아지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
