출산휴가	출산휴가/NNG
기간	기간/NNG
중	중/NNB
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
급여도	급여/NNG+도/JX
‘임금'	‘/SN+임금/NNG+'/SS

출산	출산/NNG
전·후	전/NNG+·/SP+후/NNG
휴가	휴가/NNG
기간	기간/NNG
중	중/NNB
지급받지	지급/NNG+받/VV+지/EC
못한	못하/VX+ㄴ/ETM
급여에	급여/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
‘근로기준법’상	‘/SN+근로기준법/NNG+’/SN+상/NNB
근로의	근로/NNG+의/JKG
대가인	대가/NNG+이/VCP+ㄴ/ETM
임금으로	임금/NNG+으로/JKB
봐야	보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
행정심판	행정심판/NNG
결정이	결정/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

국민권익위원회(이하	국민권익위원회/NNP+(/SS+이하/NNG
권익위)	권익위/NNP+)/SS
소속	소속/NNG
중앙행정심판위원회는	중앙행정심판위원회/NNG+는/JX
자신이	자신/NNG+이/JKS
근무하던	근무하/VV+던/ETM
회사가	회사/NNG+가/JKS
회생절차에	회생절차/NNG+에/JKB
들어가면서	들어가/VV+면서/EC
지급받지	지급/NNG+받/VV+지/EC
못한	못하/VX+ㄴ/ETM
임금과	임금/NNG+과/JC
퇴직금을	퇴직금/NNG+을/JKO
국가로부터	국가/NNG+로부터/JKB
지급받기	지급/NNG+받/VV+기/ETN
위해	위하/VV+여/EC
제기한	제기하/VV+ㄴ/ETM
행정심판에서	행정심판/NNG+에서/JKB
고용노동부	고용노동부/NNG
중부지방고용노동청	중부지방고용노동청/NNG
경기지청이	경기지청/NNG+이/JKS
출산	출산/NNG
전·후	전/NNG+·/SP+후/NNG
휴가기간	휴가기간/NNG
동안의	동안/NNG+의/JKG
급여는	급여/NNG+는/JX
근로의	근로/NNG+의/JKG
대가가	대가/NNG+가/JKC
아니므로	아니/VCN+므로/EC
체당금	체당금/NNG
지급대상이	지급대상/NNG+이/JKC
아니라고	아니/VCN+라고/EC
결정한	결정하/VV+ㄴ/ETM
처분은	처분/NNG+은/JX
위법·부당하다고	위법/NNG+·/SP+부당하/VA+다고/EC
판단했다고	판단하/VV+였/EP+다고/EC
9일	9/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

‘임금채권보장법’에는	‘/SL+임금채권보장/NNG+법/XSN+’/SL+에/JKB+는/JX
다니던	다니/VV+던/ETM
회사가	회사/NNG+가/JKS
도산하거나	도산하/VV+거나/EC
