'도가니'	'/SS+도가니/NNG+'/SS
졸업생	졸업생/NNG
재활	재활/NNG
까페,	까페/NNG+,/SP
사회적	사회적/NNG
기업으로	기업/NNG+으로/JKB

고용노동부가	고용노동부/NNG+가/JKS
2012년도	2012/SN+년/NNB+도/JX
마지막인	마지막/NNG+이/VCP+ㄴ/ETM
제5차	제/XPN+5/SN+차/NNB
사회적기업	사회적기업/NNG
인증심사	인증심사/NNG
결과,	결과/NNG+,/SP
51개	51/SN+개/NNB
기업을	기업/NNG+을/JKO
신규로	신규/NNG+로/JKB
인증했다고	인증하/VV+였/EP+다고/EC
20일	20/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

이로써	이/NP+로써/JKB
앞으로	앞/NNG+으로/JKB
774개의	774/SN+개/NNB+의/JKG
인증	인증/NNG
사회적기업이	사회적기업/NNG+이/JKS
활동하게	활동하/VV+게/EC
된다	되/VV+ㄴ다/EF

금번	금번/NNG
인증결과를	인증결과/NNG+를/JKO
살펴보면,	살펴보/VV+면/EC+,/SP
다양한	다양하/VA+ㄴ/ETM
주체·분야·취약계층을	주체/NNG+·/SP+분야/NNG+·/SP+취약계층/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
사회적기업들이	사회적기업/NNG+들/XSN+이/JKS
다수	다수/NNG
등장했다는	등장하/VV+였/EP+다는/ETM
점이	점/NNG+이/JKS
특징이다	특징/NNG+이/VCP+다/EC

이는	이/NP+는/JX
최근	최근/NNG
다방면에서	다방면/NNG+에서/JKB
사회적기업에	사회적기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
높아지고	높아지/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
지역	지역/NNG
기반형,	기반형/NNG+,/SP
풀뿌리형	풀뿌리/NNG+형/XSN
사회적기업이	사회적기업/NNG+이/JKS
확산되고	확산되/VV+고/EC
있다는	있/VX+다는/ETM
증거다	증거/NNG+이/VCP+다/EF

특히	특히/MAG
사단법인	사단법인/NNG
실로암사람들	실로암사람/NNG+들/XSN
카페홀더는(광주시	카페홀더/NNG+는/JX+(/SS+광주시/NNP
서구)	서구/NNP+)/SS
영화	영화/NNG
“도가니”의	“/SN+도가니/NNG+”/SL+의/JKG
배경이었던	배경/NNG+이/VCP+었/EP+던/ETM
광주인화학교	광주인화학교/NNP
졸업생들의	졸업생/NNG+들/XSN+의/JKG
재활과	재활/NNG+과/JC
자립을	자립/NNG+을/JKO
위해	위하/VV+여/EC
광주도시철도공사	광주도시철도공사/NNP
내에	내/NNB+에/JKB
설립된	설립되/VV+ㄴ/ETM
사회적기업으로	사회적기업/NNG+으로/JKB
향후	향후/NNG
제2호,	제/XPN+2/SN+호/NNB+,/SP
3호	3/SN+호/NNB
카페	카페/NNG
개설을	개설/NNG+을/JKO
추진	추진/NNG
중에	중/NNB+에/JKB
있다	있/VA+다/EC

이외에도	이외/NNG+에/JKB+도/JX
실버	실버/NNG
바리스타가	바리스타/NNG+가/JKS
운영하는	운영하/VV+는/ETM
실버북카페	실버북카페/NNG
㈜삼가연정,	㈜/SW+삼가연정/NNG+,/SP
지역취약계층의	지역취약계층/NNG+의/JKG
주거시설	주거시설/NNG
개선을	개선/NNG+을/JKO
돕는	돕/VV+는/ETM
㈜사랑의	㈜/SW+사랑/NNG+의/JKG
집수리	집수리/NNG
망치와	망치/NNG+와/JC
벽돌,	벽돌/NNG+,/SP
우리	우리/NP
전통무예인	전통무예/NNG+이/VCP+ㄴ/ETM
택견을	택견/NNG+을/JKO
보급하는	보급하/VV+는/ETM
㈜우리청년사업단	㈜/SW+우리청년사업단/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
사회적기업이	사회적기업/NNG+이/JKS
탄생했다	탄생하/VV+였/EP+다/EF
