장애인공단·노조,	장애인공단/NNG+·/SP+노조/NNG+,/SP
‘기업	‘/SL+기업/NNG
간	간/NNB
노사	노사/NNG
협의체’	협의체’/NNG
참여	참여/NNG

한국장애인고용공단과	한국/NNP+장애인고용공단/NNG+과/JC
공단	공단/NNG
노동조합은	노동조합/NNG+은/JX
기업간	기업/NNG+간/NNB
노사	노사/NNG
협의체(Union	협의체/NNG+(/SS+Union/SL
Corporate	Corporate/SL
Committee,	Committee/SL+,/SP
이하	이하/NNG
UCC)에	UCC/SL+)/SS+에/JKB
동참하기로	동참하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

UCC는	UCC/SL+는/JX
단일	단일/NNG
기업	기업/NNG
차원의	차원/NNG+의/JKG
한계를	한계/NNG+를/JKO
넘어	넘/VV+어/EC
사회적	사회적/NNG
책임을	책임/NNG+을/JKO
실천하기	실천하/VV+기/ETN
위해	위하/VV+여/EC
지난해	지난해/NNG
10월에	10/SN+월/NNB+에/JKB
KT,	KT/SL+,/SP
한국농수산식품유통공사(aT),	한국농수산식품유통공사/NNP+(/SS+aT/SL+)/SS+,/SP
분당서울대학교병원	분당서울대학교병원/NNP
등	등/NNB
3개사	3/SN+개/NNB+사/NNG
노사	노사/NNG
대표가	대표/NNG+가/JKS
설립한	설립하/VV+ㄴ/ETM
협의체로서	협의/NNG+체/XSN+로서/JKB
공단과	공단/NNG+과/JC
경기도시공사	경기도시공사/NNP
노사	노사/NNG
등	등/NNB
2개사가	2/SN+개/NNB+사/NNG+가/JKS
이번에	이번/NNG+에/JKB
새로이	새로이/MAG
참여하게	참여하/VV+게/EC
됐다	되/VV+었/EP+다/EC

UCC는	UCC/SL+는/JX
노사관계	노사관계/NNG
안정과	안정/NNG+과/JC
회원사	회원/NNG+사/XSN
간	간/NNB
결속을	결속/NNG+을/JKO
강화하기	강화하/VV+기/ETN
위해	위하/VV+여/EC
△회원사	△/SN+회원사/NNG
합동	합동/NNG
환경정화	환경정화/NNG
활동	활동/NNG
△사회공헌활동	△/SN+사회공헌활동/NNG
기금확보	기금확보/NNG
및	및/MAG
지출	지출/NNG
△소외계층	△/SL+소외계층/NNG
청소년	청소년/NNG
대상	대상/NNG
장학금	장학금/NNG
지급	지급/NNG
△노동	△/SN+노동/NNG
및	및/MAG
인권	인권/NNG
분야	분야/NNG
국제표준	국제표준/NNG
ISO	ISO/SL
26000	26000/SN
실천	실천/NNG
선도	선도/NNG
△사회적	△/SN+사회적/NNG
책임	책임/NNG
및	및/MAG
노사	노사/NNG
우수	우수/NNG
사례	사례/NNG
공유를	공유/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
포럼	포럼/NNG
운영	운영/NNG
△회원사	△/SN+회원사/NNG
공동	공동/NNG
글로벌	글로벌/NNG
봉사	봉사/NNG
활동	활동/NNG
등을	등/NNB+을/JKO
전개하고	전개하/VV+고/EC
있다	있/VX+다/EC

공단은	공단/NNG+은/JX
25일	25/SN+일/NNB
UCC	UCC/SL
임시총회에	임시총회/NNG+에/JKB
참석해	참석하/VV+여/EC
다른	다른/MM
회원사	회원/NNG+사/XSN
노사	노사/NNG
대표와	대표/NNG+와/JKB
함께	함께/MAG
공동의장으로서	공동의장/NNG+으로서/JKB
대한적십자사·노사발전재단과	대한적십자사/NNP+·/SP+노사발전재단/NNG+과/JC
사회공헌	사회공헌/NNG
실천	실천/NNG
협약	협약/NNG
및	및/MAG
노사문화	노사문화/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
양해각서를	양해각서/NNG+를/JKO
체결했다	체결하/VV+였/EP+다/EC

이날	이날/NNG
행사에	행사/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
공단	공단/NNG
김종진	김종진/NNP
기획관리이사와	기획관리이사/NNG+와/JC
노동조합	노동조합/NNG
송춘섭	송춘섭/NNP
위원장은	위원장/NNG+은/JX
“노사가	“/SL+노사/NNG+가/JKS
함께	함께/MAG
사회적	사회적/NNG
책임을	책임/NNG+을/JKO
실천하기	실천하/VV+기/ETN
위해	위하/VV+여/EC
노력해온	노력하/VV+여/EC+오/VX+ㄴ/ETM
UCC에	UCC/SL+에/JKB
공단이	공단/NNG+이/JKS
가입한	가입하/VV+ㄴ/ETM
것은	것/NNB+은/JX
의미	의미/NNG
있는	있/VA+는/ETM
일이며,	일/NNG+이/VCP+며/EC+,/SP
앞으로	앞/NNG+으로/JKB
적극적으로	적극적/NNG+으로/JKB
UCC	UCC/SL
활동에	활동/NNG+에/JKB
참여하겠다”는	참여하/VV+겠/EP+다/EC+”/SL+는/JX
의지를	의지/NNG+를/JKO
밝혔다	밝히/VV+었/EP+다/EC
