동원홈푸드,	동원홈푸드/NNP+,/SP
김장독과	김장독/NNG+과/JC
장애인	장애인/NNG
연계고용	연계고용/NNG

동원홈푸드가	동원홈푸드/NNP+가/JKS
30일	30/SN+일/NNB
(주)김장독과	(/SS+주/NNG+)/SS+김장독/NNG+과/JC
장애인	장애인/NNG
연계고용계약을	연계고용계약/NNG+을/JKO
체결했다	체결하/VV+였/EP+다/EC

연계고용이란	연계고용/NNG+이/VCP+란/ETM
장애인	장애인/NNG
고용의무가	고용의무/NNG+가/JKS
있는	있/VA+는/ETM
기업이	기업/NNG+이/JKS
장애인표준사업장,	장애인표준사업장/NNG+,/SP
장애인직업재활시설	장애인직업재활시설/NNG
등에	등/NNB+에/JKB
생산품	생산품/NNG
납품	납품/NNG
등의	등/NNB+의/JKG
도급계약을	도급계약/NNG+을/JKO
맺음으로써	맺/VV+음/ETN+으로써/JKB
장애인	장애인/NNG
고용이	고용/NNG+이/JKS
활발하게	활발하/VA+게/EC
이뤄질	이루어지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원하는	지원하/VV+는/ETM
간접고용제도이다	간접고용제도/NNG+이/VCP+다/EC

동원홈푸드는	동원홈푸드/NNP+는/JX
그간	그간/NNG
장애인	장애인/NNG
고용을	고용/NNG+을/JKO
위해	위하/VV+여/EC
다각적인	다각적/NNG+이/VCP+ㄴ/ETM
방안을	방안/NNG+을/JKO
모색해	모색하/VV+여/EC
왔고,	오/VX+았/EP+고/EC+,/SP
한국장애인고용공단	한국/NNP+장애인고용공단/NNG
전북지사와의	전북/NNP+지사/NNG+와/JKB+의/JKG
고용상담을	고용상담/NNG+을/JKO
통해	통하/VV+여/EC
이번	이번/NNG
연계고용을	연계고용/NNG+을/JKO
추진하게	추진하/VV+게/EC
됐다	되/VV+었/EP+다/EC

동원홈푸드와	동원홈푸드/NNP+와/JC
연계고용계약을	연계고용계약/NNG+을/JKO
체결한	체결하/VV+ㄴ/ETM
(주)김장독은	(/SS+주/NNG+)/SS+김장독/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2009년에	2009/SN+년/NNB+에/JKB
장애인표준	장애인표준/NNG
사업장으로	사업장/NNG+으로/JKB
선정됐으며,	선정되/VV+었/EP+으며/EC+,/SP
현재	현재/MAG
지적장애인	지적장애인/NNG
등	등/NNB
18명의	18/SN+명/NNB+의/JKG
중증장애인을	중증장애인/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
총	총/MM
23명의	23/SN+명/NNB+의/JKG
장애인근로자가	장애인근로자/NNG+가/JKS
재직하고	재직하/VV+고/EC
있는	있/VX+는/ETM
장애인	장애인/NNG
다수고용	다수고/NNG+용/XSN
사업체다	사업체/NNG+이/VCP+다/EF

동원홈푸드	동원홈푸드/NNP
경영지원실	경영지원/NNG+실/XSN
박봉규	박봉규/NNP
상무는	상무/NNG+는/JX
“연계고용을	“/SL+연계고용/NNG+을/JKO
통해	통하/VV+여/EC
장애인고용	장애인고용/NNG
창출에	창출/NNG+에/JKB
기여할	기여하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
매우	매우/MAG
기쁘게	기쁘/VA+게/EC
생각하며,	생각하/VV+며/EC+,/SP
향후	향후/NNG
연계고용	연계고용/NNG
규모를	규모/NNG+를/JKO
늘려갈	늘리/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
검토해	검토하/VV+여/EC
더	더/MAG
많은	많/VA+은/ETM
장애인들에게	장애인/NNG+들/XSN+에게/JKB
일자리를	일자리/NNG+를/JKO
제공함으로써	제공하/VV+ㅁ/ETN+으로써/JKB
기업의	기업/NNG+의/JKG
사회적	사회적/NNG
책임을	책임/NNG+을/JKO
다할	다하/VV+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
