‘고용노동부,	‘/SN+고용노동부/NNG+,/SP
장애인	장애인/NNG
고용	고용/NNG
뒷전’	뒷전/NNG+’/SN
지적	지적/NNG

고용노동부가	고용노동부/NNG+가/JKS
장애인	장애인/NNG
고용의무사업체에	고용의무사업체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원만	지원/NNG+만/JX
확대하고	확대하/VV+고/EC
장애인	장애인/NNG
고용은	고용/NNG+은/JX
뒷전이라는	뒷전/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

국회	국회/NNG
환경노동위원회	환경노동위원회/NNG
주영순(새누리당)	주영순/NNP+(/SS+새누리당/NNP+)/SS
의원은	의원/NNG+은/JX
6일	6/SN+일/NNB
장애인	장애인/NNG
고용의무사업체의	고용의무사업체/NNG+의/JKG
고용의무	고용의무/NNG
이행을	이행/NNG+을/JKO
지원하는	지원하/VV+는/ETM
‘장애인취업지원’사업의	‘/SL+장애인취업지원’사업/NNG+의/JKG
경우	경우/NNG
예산은	예산/NNG+은/JX
무려	무려/MAG
60%나	60/SN+%/SW+나/JX
증액하면서도	증액하/VV+면서/EC+도/JX
장애인	장애인/NNG
취업자	취업자/NNG
수	수/NNG
목표는	목표/NNG+는/JX
고작	고작/MAG
1	1/SN

7%	7/SN+%/SW
올리는	올리/VV+는/ETM
데	데/NNB
그쳤다고	그치/VV+었/EP+다고/EC
비판했다	비판하/VV+였/EP+다/EC

고용노동부가	고용노동부/NNG+가/JKS
국회에	국회/NNG+에/JKB
제출한	제출하/VV+ㄴ/ETM
2013년도	2013/SN+년/NNB+도/JX
예산안에	예산안/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
장애인취업지원	장애인취업지원/NNG
사업의	사업/NNG+의/JKG
내년도	내년도/NNG
예산안은	예산안/NNG+은/JX
81억원으로	81/SN+억/NR+원/NNB+으로/JKB
51억원이던	51/SN+억/NR+원/NNB+이/VCP+던/ETM
금년	금년/NNG
예산	예산/NNG
대비	대비/NNG
58	58/SN

8%	8/SN+%/SW
증액됐다	증액되/VV+었/EP+다/EF

하지만	하지만/MAJ
성과계획서상	성과계획서상/NNG
장애인취업자	장애인취업자/NNG
목표치는	목표치/NNG+는/JX
금년	금년/NNG
목표치	목표치/NNG
1만509명보다	1/SN+만/NR+509/SN+명/NNB+보다/JKB
1	1/SN

7%	7/SN+%/SW
늘린	늘리/VV+ㄴ/ETM
1만667명으로	1/SN+만/NR+667/SN+명/NNB+으로/JKB
예산증액에	예산증액/NNG+에/JKB
비해	비하/VV+여/EC
훨씬	훨씬/MAG
초라한	초라하/VA+ㄴ/ETM
목표치를	목표치/NNG+를/JKO
