LG전자,	LG/SL+전자/NNG+,/SP
‘자회사형	‘/SN+자회사형/NNG
표준사업장	표준사업장/NNG
설립’	설립/NNG+’/SN
추진	추진/NNG

LG전자㈜가	LG/SL+전자/NNG+㈜/SW+가/JKS
한국장애인고용공단과	한국/NNP+장애인고용공단/NNG+과/JKB
함께	함께/MAG
장애인	장애인/NNG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립을	설립/NNG+을/JKO
추진한다	추진하/VV+ㄴ다/EF

한국장애인고용공단(이사장	한국장애인고용공단/NNP+(/SS+이사장/NNG
이성규,	이성규/NNP+,/SP
이하	이하/NNG
공단)과	공단/NNG+)/SS+과/JC
LG전자㈜(대표이사	LG/SL+전자/NNG+㈜/SW+(/SS+대표이사/NNG
구본준	구본준/NNP
부회장,	부회장/NNG+,/SP
이하	이하/NNG
LG전자)는	LG/SL+전자/NNG+)/SS+는/JX
11일	11/SN+일/NNB
경기도	경기도/NNP
평택에	평택/NNP+에/JKB
소재한	소재하/VV+ㄴ/ETM
LG디지털파크에서	LG/SL+디지털파크/NNG+에서/JKB
‘자회사형	‘/SN+자회사형/NNG
표준사업장	표준사업장/NNG
설립	설립/NNG
협약식’을	협약식’/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

자회사형	자회사형/NNG
표준사업장은	표준사업장/NNG+은/JX
장애인의무고용사업주인	장애인의무고용사업주인/NNG
모회사가	모회사/NNG+가/JKS
장애인	장애인/NNG
고용을	고용/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
일정	일정/NNG
요건을	요건/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
자회사를	자회사/NNG+를/JKO
설립하는	설립하/VV+는/ETM
경우	경우/NNG
자회사에	자회사/NNG+에/JKB
고용된	고용되/VV+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
모회사가	모회사/NNG+가/JKS
고용한	고용하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
간주해	간주하/VV+여/EC
지원하는	지원하/VV+는/ETM
제도다	제도/NNG+이/VCP+다/EC

협약에	협약/NNG+에/JKB
따라	따르/VV+아/EC
LG전자는	LG/SL+전자/NNG+는/JX
장애인에게	장애인/NNG+에게/JKB
적합한	적합하/VA+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
직무를	직무/NNG+를/JKO
개발해	개발하/VV+여/EC
보다	보다/MAG
많은	많/VA+은/ETM
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이날	이날/NNG
협약식에서	협약/NNG+식/XSN+에서/JKB
LG전자	LG/SL+전자/NNG
박진관	박진관/NNP
상무는	상무/NNG+는/JX
“장애인들에게	“/SL+장애인/NNG+들/XSN+에게/JKB
자립의	자립/NNG+의/JKG
기반을	기반/NNG+을/JKO
마련해	마련하/VV+여/EC
주어	주/VX+어/EC
나눔과	나누/VV+ㅁ/ETN+과/JC
상생의	상생/NNG+의/JKG
경영을	경영/NNG+을/JKO
실천할	실천하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다”고	기대되/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
12월	12/SN+월/NNB
현재까지	현재/NNG+까지/JX
포스코,	포스코/NNP+,/SP
삼성,	삼성/NNP+,/SP
LG,	LG/SL+,/SP
STX,	STX/SL+,/SP
NHN	NHN/SL
등	등/NNB
63개	63/SN+개/NNB
대기업이	대기업/NNG+이/JKS
자회사형	자회사형/NNG
표준사업장	표준사업장/NNG
설립을	설립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협약을	협약/NNG+을/JKO
체결했으며,	체결하/VV+였/EP+으며/EC+,/SP
이중	이/MM+중/NNB
26개사가	26/SN+개/NNB+사/NNG+가/JKS
설립	설립/NNG
운영	운영/NNG
중으로	중/NNB+으로/JKB
고용된	고용되/VV+ㄴ/ETM
장애인은	장애인/NNG+은/JX
919명(중증	919/SN+명/NNB+(/SS+중증/NNG
556명	556/SN+명/NNB
포함)에	포함/NNG+)/SS+에/JKB
이르고	이르/VV+고/EC
있다	있/VX+다/EC
