“방부제	“/SL+방부제/NNG
대신	대신/NNG
희망으로	희망/NNG+으로/JKB
반죽했습니다”	반죽하/VV+였/EP+습니다/EF+”/SN

중증장애인	중증장애인/NNG
요양시설인	요양시설/NNG+이/VCP+ㄴ/ETM
마리아의	마리아/NNP+의/JKG
집,	집/NNG+,/SP
발달지체장애인의료기관인	발달지체장애인의료기관/NNG+이/VCP+ㄴ/ETM
충북재활의원,	충북재활의원/NNP+,/SP
장애인직업재활시설인	장애인직업재활시설/NNG+이/VCP+ㄴ/ETM
충북재활원	충북재활원/NNP
보호작업장,	보호작업장/NNG+,/SP
제과	제과/NNG
제빵시설인	제빵시설/NNG+이/VCP+ㄴ/ETM
요셉베이커리,	요셉베이커리/NNP+,/SP
지적장애인거주시설	지적장애인거주시설/NNG
요셉의	요셉/NNP+의/JKG
집,	집/NNG+,/SP
그리고	그리고/MAJ
장애인공동생활가정인	장애인공동생활가정/NNG+이/VCP+ㄴ/ETM
평화의집과	평화의집/NNG+과/JKB
사랑의집,	사랑의집/NNG+,/SP
기쁨의	기쁨/NNG+의/JKG
집이	집/NNG+이/JKS
있는	있/VA+는/ETM
충북재활원	충북재활원/NNP

그	그/MM
중	중/NNB
1층과	1/SN+층/NNG+과/JC
2층의	2/SN+층/NNG+의/JKG
보호작업장(시설장	보호작업장/NNG+(/SS+시설장/NNG
김기옥)과	김기옥/NNP+)/SS+과/JC
요셉베이커리는	요셉베이커리/NNP+는/JX
한국장애인개발원에서	한국/NNP+장애인개발/NNG+원/XSN+에서/JKB
2000년부터	2000/SN+년/NNB+부터/JX
인력	인력/NNG
지원을	지원/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
직업재활시설이다	직업재활시설/NNG+이/VCP+다/EC

보호작업장에서는	보호작업장/NNG+에서/JKB+는/JX
자동차	자동차/NNG
부품과	부품/NNG+과/JC
보일러	보일러/NNG
배관	배관/NNG
연결단자인	연결단자/NNG+이/VCP+ㄴ/ETM
커넥터를	커넥터/NNG+를/JKO
조립하고,	조립하/VV+고/EC+,/SP
쇼핑백	쇼핑백/NNG
끈	끈/NNG
구멍	구멍/NNG
뚫기	뚫/VV+기/ETN
등	등/NNB
단순	단순/NNG
작업을	작업/NNG+을/JKO
한다	하/VV+ㄴ다/EF

보일러	보일러/NNG
배관은	배관/NNG+은/JX
대,	대/NNG+,/SP
소,	소/NNG+,/SP
일자형	일자형/NNG
등	등/NNB
4~5종류를	4/SN+~/SO+5/SN+종류/NNG+를/JKO
조립하고,	조립하/VV+고/EC+,/SP
일일이	일일이/MAG
손으로	손/NNG+으로/JKB
끼어야	끼/VV+어야/EC
하는	하/VX+는/ETM
자동차	자동차/NNG
부품은	부품/NNG+은/JX
현대기아차	현대기아차/NNP
아반떼	아반떼/NNP
종류에	종류/NNG+에/JKB
많이	많이/MAG
들어간다	들어가/VV+ㄴ다/EC

처음에는	처음/NNG+에/JKB+는/JX
불량도	불량/NNG+도/JX
많았지만	많/VA+았/EP+지만/EC
지금은	지금/NNG+은/JX
모두들	모두/NNG+들/XSN
숙달된	숙달되/VV+ㄴ/ETM
손재주를	손재주/NNG+를/JKO
자랑하며	자랑하/VV+며/EC
직업재활을	직업재활/NNG+을/JKO
꿈꾸고	꿈꾸/VV+고/EC
있다	있/VX+다/EC

60여	60/SN+여/XSN
평방미터의	평방미터/NNB+의/JKG
지하	지하/NNG
요셉베이커리	요셉베이커리/NNG
제빵실에는	제빵실/NNG+에/JKB+는/JX
빵	빵/NNG
생산을	생산/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
반죽기,	반/NNG+죽/VV+기/ETN+,/SP
오븐,	오븐/NNP+,/SP
쿠키기계,	쿠키기계/NNP+,/SP
씽크대	씽크대/NNG
등이	등/NNB+이/JKS
갖추어져	갖추/VV+어/EC+지/VX+어/EC
있다	있/VX+다/EC

요셉베이커리	요셉베이커리/NNG
소속	소속/NNG
장애인	장애인/NNG
직원이	직원/NNG+이/JKS
빵을	빵/NNG+을/JKO
만들고	만들/VV+고/EC
있다	있/VX+다/EC

충북재활원의	충북/NNP+재활원/NNG+의/JKG
빵공장	빵공장/NNG
요셉베이커리의	요셉베이커리/NNP+의/JKG
하루는	하루/NNG+는/JX
아침	아침/NNG
7시부터	7/SN+시/NNB+부터/JX
시작된다	시작되/VV+ㄴ다/EC

경력	경력/NNG
26년의	26/SN+년/NNB+의/JKG
제빵사	제빵사/NNG
서성철	서성철/NNP
씨가	씨/NNB+가/JKS
밀가루를	밀가루/NNG+를/JKO
반죽해,	반죽하/VV+여/EC+,/SP
두	두/MM
시간여	시간/NNG+여/XSN
부풀리자면	부풀리/VV+자면/EC
장애인근로자들은	장애인근로자/NNG+들/XSN+은/JX
9시에	9/SN+시/NNB+에/JKB
출근한다	출근하/VV+ㄴ다/EF

부풀린	부풀리/VV+ㄴ/ETM
반죽으로	반죽/NNG+으로/JKB
모양을	모양/NNG+을/JKO
만들어	만들/VV+어/EC
다시	다시/MAG
부풀려	부풀리/VV+어/EC
오븐에	오븐/NNG+에/JKB
구우면	굽/VV+으면/EC
원하는	원하/VV+는/ETM
빵이	빵/NNG+이/JKS
완성	완성/NNG

요셉베이커리에서	요셉베이커리/NNG+에서/JKB
근무하는	근무하/VV+는/ETM
장애인근로자는	장애인근로자/NNG+는/JX
5명	5/SN+명/NNB

주로	주로/MAG
반죽을	반죽/NNG+을/JKO
동굴리고	동굴리/VV+고/EC
빵판과	빵판/NNG+과/JC
필름을	필름/NNG+을/JKO
닦고,	닦/VV+고/EC+,/SP
오븐	오븐/NNG
시간을	시간/NNG+을/JKO
