'보완대체	'/SS+보완대체/NNG
의사소통	의사소통/NNG
국제	국제/NNG
학술대회'	학술대회/NNG+'/SS
19일	19/SN+일/NNB
열려	열리/VV+어/EC

한국뇌병변장애인인권협회는	한국/NNP+뇌병변장애인인권협회/NNG+는/JX
오는	오/VV+는/ETM
10월	10/SN+월/NNB
19일	19/SN+일/NNB
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
5시까지	5/SN+시/NNB+까지/JX
이화여자대학교	이화여자대학교/NNP
ECC	ECC/SL
지하4층	지하/NNG+4/SN+층/NNG
이삼봉홀에서	이삼봉/NNP+홀/NNG+에서/JKB
AAC(보완대체의사소통)국제학술대회를	AAC/SL+(/SS+보완대체의사소통/NNG+)/SS+국제학술대회/NNG+를/JKO
진행한다	진행하/VV+ㄴ다/EC

이번	이번/NNG
대회는	대회/NNG+는/JX
보완대체의사소통의	보완대체의사소통/NNG+의/JKG
연구	연구/NNG
개발이	개발/NNG+이/JKS
이뤄지고,	이루어지/VV+고/EC+,/SP
널리	널리/MAG
보급되어	보급되/VV+어/EC
언어장애로	언어장애/NNG+로/JKB
인해	인하/VV+여/EC
일상생활에	일상생활/NNG+에/JKB
곤란을	곤란/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
뇌병변장애인의	뇌병변장애인/NNG+의/JKG
의사소통을	의사소통/NNG+을/JKO
지원하고자	지원하/VV+고자/EC
마련됐다	마련되/VV+었/EP+다/EF

이날	이날/NNG
오전에는	오전/NNG+에/JKB+는/JX
조선대학교	조선대학교/NNP
특수교육과	특수교육/NNG+과/JC
김정연	김정연/NNP
교수와	교수/NNG+와/JC
전	전/MM
ISAAC	ISAAC/SL
국제보완대체의사소통학회	국제보완대체의사소통학회/NNP
회장을	회장/NNG+을/JKO
역임한	역임하/VV+ㄴ/ETM
매리	매리/NNP
블레이크	블레이크/NNP
휴어(전	휴어/NNG+(/SS+전/MM
캘리포니아	캘리포니아/NNP
주립대학	주립대학/NNG
교수)씨가	교수/NNG+)/SS+씨/NNB+가/JKS
기조강연자로	기조강연자/NNG+로/JKB
나서	나서/VV+어/EC
‘보완대체의사소통(AAC)’,	‘/SN+보완대체의사소통/NNG+(/SS+AAC/SL+)/SS+’/SL+,/SP
‘보완대체의사소통(AAC)적용의	‘/SL+보완대체의사소통/NNG+(/SS+AAC/SL+)/SS+적용/NNG+의/JKG
바람직한	바람직하/VA+ㄴ/ETM
모습과	모습/NNG+과/JC
이를	이/NP+를/JKO
위한	위하/VV+ㄴ/ETM
제도적	제도적/NNG
기반’에	기반’/NNG+에/JKB
대해	대하/VV+여/EC
각각	각각/MAG
설명한다	설명하/VV+ㄴ다/EF

또한	또한/MAG
오후에는	오후/NNG+에/JKB+는/JX
미국	미국/NNP
조지메이슨대학교	조지메이슨대학교/NNP
정유선	정유선/NNP
교수가	교수/NNG+가/JKS
'미국에서의	'/SS+미국/NNP+에서/JKB+의/JKG
보완대체의사소통(AAC)	보완대체의사소통/NNG+(/SS+AAC/SL+)/SS
적용'에	적용/NNG+'/SS+에/JKB
대해	대하/VV+여/EC
강의한다	강의하/VV+ㄴ다/EF

이어	이어/MAG
중부대학교	중부대학교/NNG
유아특수교육과	유아특수교육/NNG+과/JC
이명희	이명희/NNP
교수와	교수/NNG+와/JC
이화여자대학교	이화여자대학교/NNP
특수교육연구소	특수교육연구소/NNG
임장현	임장현/NNP
연구원,	연구원/NNG+,/SP
위덕대학교	위덕대학교/NNP
특수교육과	특수교육/NNG+과/JC
표윤희	표윤희/NNP
교수	교수/NNG
등이	등/NNB+이/JKS
한국에서의	한국/NNP+에서/JKB+의/JKG
보완대체의사소통	보완대체의사소통/NNG
적용사례를	적용사례/NNG+를/JKO
발표한다	발표하/VV+ㄴ다/EF
