'정부구매마저	'/SS+정부구매/NNG+마저/JX
외면'…경영난	외면/NNG+'/SS+…/SE+경영난/NNG
겪는	겪/VV+는/ETM
사회적기업	사회적기업/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
홍국기	홍국/NNP+기/XSN
기자	기자/NNG
=	=/SW
'서울형	'/SS+서울/NNP+형/XSN
사회적기업'으로	사회적기업/NNG+'/SS+으로/JKB
지정된	지정되/VV+ㄴ/ETM
서울	서울/NNP
노원구의	노원구/NNP+의/JKG
한	한/MM
업체가	업체/NNG+가/JKS
일감	일감/NNG
부족으로	부족/NNG+으로/JKB
심각한	심각하/VA+ㄴ/ETM
경영난에	경영난/NNG+에/JKB
허덕이고	허덕이/VV+고/EC
있다	있/VX+다/EC

서울형	서울/NNP+형/XSN
사회적기업은	사회적기업/NNG+은/JX
취약계층의	취약계층/NNG+의/JKG
일자리	일자리/NNG
제공과	제공/NNG+과/JC
지역경제	지역경제/NNG
활성화를	활성화/NNG+를/JKO
위해	위하/VV+여/EC
서울시	서울시/NNP
예산으로	예산/NNG+으로/JKB
지정	지정/NNG
기업에	기업/NNG+에/JKB
인건비를	인건비/NNG+를/JKO
지원하는	지원하/VV+는/ETM
제도로	제도/NNG+로/JKB
2010년	2010/SN+년/NNB
처음	처음/NNG
시행돼	시행되/VV+어/EC
지금까지	지금/NNG+까지/JX
총	총/MM
411개	411/SN+개/NNB
업체가	업체/NNG+가/JKS
혜택을	혜택/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

서울시가	서울시/NNP+가/JKS
지정된	지정되/VV+ㄴ/ETM
기업을	기업/NNG+을/JKO
최장	최장/NNG
2년까지	2/SN+년/NNB+까지/JX
지원하던	지원하/VV+던/ETM
이	이/MM
제도는	제도/NNG+는/JX
시에서	시/NNG+에서/JKB
지정하는	지정하/VV+는/ETM
사회적	사회적/NNG
기업	기업/NNG
일원화를	일원화/NNG+를/JKO
이유로	이유/NNG+로/JKB
박원순	박원순/NNP
시장	시장/NNG
취임	취임/NNG
이후	이후/NNG
폐지됐다	폐지되/VV+었/EP+다/EF

현재는	현재/NNG+는/JX
고용노동부	고용노동부/NNG
예산으로	예산/NNG+으로/JKB
'지역형	'/SS+지역/NNG+형/XSN
사회적	사회적/NNG
기업'이라는	기업/NNG+'/SS+이/VCP+라는/ETM
제도를	제도/NNG+를/JKO
각	각/MM
시·도가	시/NNG+·/SP+도/NNG+가/JKS
위임받아	위임/NNG+받/VV+아/EC
시행하고	시행하/VV+고/EC
있다	있/VX+다/EC

'나누미	'/SS+나누미/NNP
패션'은	패션/NNG+'/SS+은/JX
인건비와	인건비/NNG+와/JC
임대료	임대료/NNG
등을	등/NNB+을/JKO
지원받아	지원/NNG+받/VV+아/EC
노원구	노원구/NNP
중계동	중계동/NNP
마을복지회관에	마을복지회관/NNG+에/JKB
작년	작년/NNG
10월	10/SN+월/NNB
문을	문/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

재봉틀	재봉틀/NNG
30여대	30/SN+여/XSN+대/NNB
등	등/NNB
의류	의류/NNG
제조에	제조/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
시설을	시설/NNG+을/JKO
갖추고	갖추/VV+고/EC
탈북자	탈북자/NNG
등	등/NNB
취약계층을	취약계층/NNG+을/JKO
고용해	고용하/VV+여/EC
주로	주로/MAG
공공기관이나	공공기관/NNG+이나/JC
금융사에	금융/NNG+사/XSN+에/JKB
근무복을	근무복/NNG+을/JKO
제조·납품하는	제조/NNG+·/SP+납품하/VV+는/ETM
의류	의류/NNG
사업을	사업/NNG+을/JKO
펼쳐왔다	펼치/VV+어/EC+오/VX+았/EP+다/EF

하지만	하지만/MAJ
나누미	나누미/NNP
패션	패션/NNG
측은	측/NNB+은/JX
20일	20/SN+일/NNB
"일감이	"/SS+일감/NNG+이/JKS
부족해	부족하/VA+여/EC
올	올/NNG
상반기까지	상반기/NNG+까지/JX
누적	누적/NNG
적자가	적자/NNG+가/JKS
3억5천만원에	3/SN+억/NR+5/SN+천만/NR+원/NNB+에/JKB
달해	달하/VV+여/EC
60명이	60/SN+명/NNB+이/JKS
넘었던	넘/VV+었/EP+던/ETM
직원이	직원/NNG+이/JKS
13명으로	13/SN+명/NNB+으로/JKB
준	주/VV+ㄴ/ETM
상태"라고	상태/NNG+"/SS+라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

취약계층	취약계층/NNG
고용	고용/NNG
실태도	실태/NNG+도/JX
탈북자	탈북자/NNG
3명,	3/SN+명/NNB+,/SP
장애인과	장애인/NNG+과/JC
고령자·장기실업자	고령자/NNG+·/SP+장기실업자/NNG
각	각/MM
1명으로	1/SN+명/NNB+으로/JKB
6명에	6/SN+명/NNB+에/JKB
불과하다	불과하/VA+다/EC

전체	전체/NNG
직원	직원/NNG
수	수/NNG
30%	30/SN+%/SW
이상을	이상/NNG+을/JKO
취약계층으로	취약계층/NNG+으로/JKB
고용해	고용하/VV+여/EC
서울형	서울/NNP+형/XSN
사회적	사회적/NNG
기업의	기업/NNG+의/JKG
요건을	요건/NNG+을/JKO
갖추고는	갖추/VV+고는/EC
있지만,	있/VX+지만/EC+,/SP
본연의	본연/NNG+의/JKG
역할을	역할/NNG+을/JKO
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
셈이다	셈/NNB+이/VCP+다/EC

나누미	나누미/NNP
패션	패션/NNG
김선희	김선희/NNP
과장은	과장/NNG+은/JX
"일감이	"/SS+일감/NNG+이/JKS
없는	없/VA+는/ETM
게	것/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제"라며	문제/NNG+"/SS+이/VCP+라며/EC
"조달청같이	"/SS+조달청같이/MAG
정부를	정부/NNG+를/JKO
대신해	대신하/VV+여/EC
물자를	물자/NNG+를/JKO
대규모로	대규모/NNG+로/JKB
구매하고	구매하/VV+고/EC
공급하는	공급하/VV+는/ETM
중앙행정기관도	중앙행정기관/NNG+도/JX
사회적	사회적/NNG
기업을	기업/NNG+을/JKO
우선	우선/MAG
배려하지	배려하/VV+지/EC
않고	않/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
토로했다	토로하/VV+였/EP+다/EF

김	김/NNP
과장은	과장/NNG+은/JX
"조달청이	"/SS+조달청/NNG+이/JKS
입찰	입찰/NNG
시	시/NNB
요구하는	요구하/VV+는/ETM
자격인	자격/NNG+이/VCP+ㄴ/ETM
'과거	'/SS+과거/NNG
납품실적'이	납품실적/NNG+'/SS+이/JKS
없는	없/VA+는/ETM
신생	신생/NNG
사회적	사회적/NNG
기업은	기업/NNG+은/JX
기준	기준/NNG
미달로	미달/NNG+로/JKB
입찰에	입찰/NNG+에/JKB
참여할	참여하/VV+ㄹ/ETM
수도	수/NNB+도/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

조달청이	조달청/NNG+이/JKS
'사회적	'/SS+사회적/NNG
기업	기업/NNG
육성법'이	육성법/NNG+'/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
'계약법'에	'/SS+계약법/NNG+'/SS+에/JKB
따라	따르/VV+아/EC
입찰과	입찰/NNG+과/JKB
계약을	계약/NNG+을/JKO
시행하고	시행하/VV+고/EC
