'정신장애인	'/SS+정신장애인/NNG
취업,	취업/NNG+,/SP
더	더/MAG
이상	이상/NNG
꿈이	꿈/NNG+이/JKC
아니다'	아니/VCN+다/EF+'/SS

“정신장애인은	“/SL+정신장애인/NNG+은/JX
환자가	환자/NNG+가/JKC
아니라	아니/VCN+라/EC
잠재력을	잠재력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람임을	사람/NNG+이/VCP+ㅁ/ETN+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶어요	싶/VX+어요/EC

그리고	그리고/MAJ
병을	병/NNG+을/JKO
가졌지만	가지/VV+었/EP+지만/EC
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것	것/NNB
그리고	그리고/MAJ
그	그/MM
일을	일/NNG+을/JKO
통해서	통하/VV+여서/EC
지역사회에	지역사회/NNG+에/JKB
조금	조금/MAG
더	더/MAG
다가갈	다가가/VV+ㄹ/ETM
수	수/NNB
있고,새로운	있/VA+고/EC+,/SP+새롭/VA+ㄴ/ETM
사람들과	사람/NNG+들/XSN+과/JKB
어울릴	어울리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회가	기회/NNG+가/JKC
되는	되/VV+는/ETM
것이	것/NNB+이/JKS
행복해요	행복하/VA+여요/EC

”태화해뜨는샘	”/SL+태화하/VV+여/EC+뜨/VX+는/ETM+샘/NNB
카페매니저	카페매/NNG+니저/JX
직무로	직무/NNG+로/JKB
시험고용에	시험고용/NNG+에/JKB
참여하게	참여하/VV+게/EC
된	되/VV+ㄴ/ETM
정민호(가명)	정민호/NNP+(/SS+가명/NNG+)/SS
씨(정신장애	씨/NNB+(/SS+정신장애/NNG
3급,	3/SN+급/NNG+,/SP
30세)의	30/SN+세/NNB+)/SS+의/JKG
소감이다	소감/NNG+이/VCP+다/EC

민호씨처럼	민호/NNP+씨/NNB+처럼/JKB
한국장애인고용공단의	한국장애인고용공단/NNP+의/JKG
시험고용	시험고용/NNG
프로그램을	프로그램/NNG+을/JKO
통해	통하/VV+여/EC
직장체험	직장체험/NNG
인턴쉽	인턴쉽/NNG
프로그램을	프로그램/NNG+을/JKO
경험하게	경험하/VV+게/EC
되는	되/VV+는/ETM
정신장애인은	정신장애인/NNG+은/JX
모두	모두/MAG
13명	13/SN+명/NNB

이들은	이/NP+들/XSN+은/JX
27일부터	27/SN+일/NNB+부터/JX
오는	오/VV+는/ETM
12월26일까지	12/SN+월/NNB+26/SN+일/NNB+까지/JX
1개월간	1/SN+개월/NNB+간/XSN
한울지역정신건강센터	한울지역정신건강센터/NNP
등	등/NNB
서울시	서울시/NNP
소재	소재/NNG
정신보건기관	정신보건기관/NNG
6곳에서	6/SN+곳/NNG+에서/JKB
“동료상담가”와	“/SL+동료상담가”/NNG+와/JC
“카페	“/SL+카페/NNG
매니저”로	매니저/NNG+”/SL+로/JKB
근무,	근무/NNG+,/SP
정신장애인의	정신장애인/NNG+의/JKG
직업적	직업적/NNG
가능성을	가능성/NNG+을/JKO
시험한다	시험하/VV+ㄴ다/EF

이후	이후/NNG
평가를	평가/NNG+를/JKO
거쳐	거치/VV+어/EC
취업으로	취업/NNG+으로/JKB
연결될	연결되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

공단	공단/NNG
고용개발원과	고용개발/NNG+원/XSN+과/JC
서울시	서울시/NNP
정신보건센터는	정신보건센터/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
2일	2/SN+일/NNB
정신장애인의	정신장애인/NNG+의/JKG
직업영역	직업영역/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협약을	협약/NNG+을/JKO
맺고	맺/VV+고/EC
취업이	취업/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
정신장애인을	정신장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
