정부	정부/NNG
복지	복지/NNG
확대에	확대/NNG+에/JKB
난색…"방심	난색/NNG+…/SE+"/SS+방심/NNG
땐	때/NNG+ㄴ/JX
곧	곧/MAG
재정	재정/NNG
부실"	부실/NNG+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
박수윤	박수윤/NNP
기자	기자/NNG
=	=/SW
정부는	정부/NNG+는/JX
정치권의	정치권/NNG+의/JKG
복지지출	복지지출/NNG
확대	확대/NNG
요구에	요구/NNG+에/JKB
신중한	신중하/VA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보였다	보이/VV+었/EP+다/EF

신제윤	신제윤/NNP
기획재정부	기획재정부/NNG
제1차관은	제/XPN+1/SN+차관/NNG+은/JX
10일	10/SN+일/NNB
정부과천청사에서	정부과천청사/NNP+에서/JKB
주재한	주재하/VV+ㄴ/ETM
제6차	제/XPN+6/SN+차/NNB
중장기전략	중장기전략/NNG
실무조정위원회의에서	실무조정위원회의/NNG+에서/JKB
무분별한	무분별하/VA+ㄴ/ETM
복지	복지/NNG
확대의	확대/NNG+의/JKG
위험성을	위험성/NNG+을/JKO
경고했다	경고하/VV+였/EP+다/EC

신	신/NNP
차관은	차관/NNG+은/JX
"올해	"/SS+올해/NNG
국정	국정/NNG
감사에서	감사/NNG+에서/JKB
복지지출의	복지지출/NNG+의/JKG
비중을	비중/NNG+을/JKO
늘려야	늘리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
제기됐지만	제기되/VV+었/EP+지만/EC
장기	장기/NNG
재정건전성에	재정건전성/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
영향을	영향/NNG+을/JKO
고려해	고려하/VV+여/EC
신중히	신중히/MAG
결정해야	결정하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
국회	국회/NNG
기획재정위	기획재정위/NNG
소속	소속/NNG
문재인(민주통합당)	문재인/NNP+(/SS+민주통합당/NNP+)/SS
대선	대선/NNG
후보는	후보/NNG+는/JX
기재부	기재부/NNG
대상	대상/NNG
국정감사에서	국정감사/NNG+에서/JKB
"내년	"/SS+내년/NNG
예산에서	예산/NNG+에서/JKB
복지	복지/NNG
예산이	예산/NNG+이/JKS
대폭	대폭/MAG
증가해야	증가하/VV+여야/EC
마땅하다"며	마땅하/VA+다/EF+"/SS+며/EC
보편적	보편적/NNG
복지와	복지/NNG+와/JC
무상보육	무상보육/NNG
확대를	확대/NNG+를/JKO
