‘장애인직업재활육성법’	‘/SN+장애인직업재활육성법/NNG+’/SN
제안	제안/NNG
반응	반응/NNG
‘글쎄’	‘/SL+글쎄/NNG+’/SL

중증장애인에	중증장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시설보호의	시설보호/NNG+의/JKG
한계점을	한계점/NNG+을/JKO
극복하기	극복하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
특별법	특별법/NNG
제정을	제정/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
제기됐지만,	제기되/VV+었/EP+지만/EC+,/SP
장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
기존	기존/NNG
법과의	법/NNG+과/JKB+의/JKG
뚜렷한	뚜렷하/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
보이지	보이/VV+지/EC
않다는	않/VX+다는/ETM
미흡함을	미흡하/VA+ㅁ/ETN+을/JKO
꼬집었다	꼬집/VV+었/EP+다/EF

나사렛대학교	나사렛대학교/NNP
인간재활학과	인간재활학과/NNG
우주형	우주형/NNG
교수는	교수/NNG+는/JX
12일	12/SN+일/NNB
여의도	여의도/NNP
이룸센터에서	이룸센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘(가칭)장애인직업재활육성법(이하	‘/SL+(/SS+가칭/NNG+)/SS+장애인직업재활육성법/NNG+(/SS+이하/NNG
육성법)	육성법/NNG+)/SS
제정	제정/NNG
토론회’에서	토론회/NNG+’/SL+에서/JKB
법률	법률/NNG
초안을	초안/NNG+을/JKO
발표,	발표/NNG+,/SP
장애계의	장애/NNG+계/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴했다	수렴하/VV+였/EP+다/EF

초안을	초안/NNG+을/JKO
발표하는	발표하/VV+는/ETM
나사렛대	나사렛대/NNG
우주형	우주형/NNG
교수	교수/NNG

■일터중심의	■/SW+일터중심/NNG+의/JKG
패러다임으로	패러다임/NNG+으로/JKB
변화=이번	변화/NNG+=/SW+이번/NNG
육성법은	육성법/NNG+은/JX
직업재활서비스를	직업재활서비스/NNG+를/JKO
시설	시설/NNG
개념으로부터	개념/NNG+으로부터/JKB
장소적	장소적/NNG
개념인	개념/NNG+이/VCP+ㄴ/ETM
‘일터’라는	‘/SN+일터/NNB+’/SL+이/VCP+라는/ETM
