발달장애인	발달장애인/NNG
2명	2/SN+명/NNB
원자력기술원	원자력기술원/NNG
취업	취업/NNG

한국장애인고용공단은	한국/NNP+장애인고용공단/NNG+은/JX
중증장애인	중증장애인/NNG
이재훈(자폐성장애	이재훈/NNP+(/SS+자폐성장애/NNG
3급,	3/SN+급/NNG+,/SP
23세)씨와	23/SN+세/NNB+)/SS+씨/NNB+와/JC
전희재(지적장애	전희재/NNP+(/SS+지적장애/NNG
2급,	2/SN+급/NNG+,/SP
22세)씨가	22/SN+세/NNB+)/SS+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
1일자로	1/SN+일자/NNG+로/JKB
대덕연구단지에	대덕연구단지/NNG+에/JKB
있는	있/VA+는/ETM
한국원자력기술원에	한국원자력기술원/NNP+에/JKB
정식	정식/NNG
채용되어	채용되/VV+어/EC
도서관	도서관/NNG
사서보조로	사서보조/NNG+로/JKB
근무하고	근무하/VV+고/EC
있다고	있/VX+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
취업	취업/NNG
사례는	사례/NNG+는/JX
공단이	공단/NNG+이/JKS
장애인의	장애인/NNG+의/JKG
구직역량을	구직역량/NNG+을/JKO
강화하고,	강화하/VV+고/EC+,/SP
장애특성을	장애특성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
전문적이고	전문적/NNG+이/VCP+고/EC
차별화된	차별화되/VV+ㄴ/ETM
취업지원서비스를	취업지원서비스/NNG+를/JKO
제공하기	제공하/VV+기/ETN
위해	위하/VV+여/EC
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
도입한	도입하/VV+ㄴ/ETM
‘장애인	‘/SL+장애인/NNG
취업성공패키지’	취업성공패키지’/NNG
프로그램을	프로그램/NNG+을/JKO
적용해	적용하/VV+여/EC
취업까지	취업/NNG+까지/JX
이른	이르/VA+ㄴ/ETM
사례이다	사례/NNG+이/VCP+다/EC

프로그램에	프로그램/NNG+에/JKB
따라	따르/VV+아/EC
컴퓨터	컴퓨터/NNG
타자에	타자/NNG+에/JKB
흥미와	흥미/NNG+와/JC
집중력을	집중력/NNG+을/JKO
보이던	보이/VV+던/ETM
이	이/NNP
씨에게는	씨/NNB+에게/JKB+는/JX
타자	타자/NNG
능력의	능력/NNG+의/JKG
직업적	직업적/NNG
강점을	강점/NNG+을/JKO
강화시키고,	강화/NNG+시키/XSV+고/EC+,/SP
전	전/NNP
씨에세는	씨/NNB+에/JKB+세/VV+는/ETM
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
출퇴근	출퇴근/NNG
지도부터	지도/NNG+부터/JX
실무작업까지	실무작업/NNG+까지/JX
집중적인	집중적/NNG+이/VCP+ㄴ/ETM
훈련을	훈련/NNG+을/JKO
실시하는	실시하/VV+는/ETM
등	등/NNB
장애특성을	장애특성/NNG+을/JKO
고려해	고려하/VV+여/EC
직무역량을	직무역량/NNG+을/JKO
강화했다는	강화하/VV+였/EP+다는/ETM
것이	것/NNB+이/JKS
핵심	핵심/NNG
성공요인이다	성공요인/NNG+이/VCP+다/EC

특히,	특히/MAG+,/SP
공단과	공단/NNG+과/JC
대전교육청이	대전교육청/NNP+이/JKS
연계해	연계하/VV+여/EC
실시한	실시하/VV+ㄴ/ETM
‘중증장애인	‘/SL+중증장애인/NNG
사서보조직	사서보조직/NNG
훈련과정’과	훈련과정’/NNG+과/JC
‘장애인	‘/SL+장애인/NNG
취업성공패키지	취업성공패키지/NNG
프로그램’	프로그램/NNG+’/SL
등을	등/NNB+을/JKO
적용해	적용하/VV+여/EC
성공함으로써	성공하/VV+ㅁ/ETN+으로써/JKB
지역	지역/NNG
내	내/NNB
고용네트워크의	고용네트워크/NNG+의/JKG
이상적인	이상적/NNG+이/VCP+ㄴ/ETM
협력	협력/NNG
모델로	모델/NNG+로/JKB
평가되고	평가되/VV+고/EC
있다	있/VX+다/EC

공단	공단/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SN+이번/NNG
채용은	채용/NNG+은/JX
공단에서	공단/NNG+에서/JKB
지난해부터	지난해/NNG+부터/JX
진행한	진행하/VV+ㄴ/ETM
‘공공기관	‘/SL+공공기관/NNG
정신적	정신적/NNG
장애인	장애인/NNG
고용확대	고용확대/NNG
프로젝트’추진	프로젝트/NNG+’/SL+추진/NNG
결과로	결과/NNG+로/JKB
작년	작년/NNG
한국과학기술원에	한국과학기술원/NNP+에/JKB
이어	잇/VV+어/EC
그간	그간/NNG
중증장애인	중증장애인/NNG
취업의	취업/NNG+의/JKG
불모지였던	불모지/NNG+이/VCP+었/EP+던/ETM
대덕연구단지의	대덕연구단지/NNG+의/JKG
장애인고용에	장애인고/NNG+용/XSN+에/JKB
새로운	새롭/VA+ㄴ/ETM
바람을	바람/NNG+을/JKO
일으키는	일으키/VV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다”며	예상되/VV+ㄴ다/EC+”/VX+며/EC
“향후	“/SN+향후/NNG
중증장애인	중증장애인/NNG
공직	공직/NNG
진출이	진출/NNG+이/JKS
더욱	더욱/MAG
확대될	확대되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보일/VV+ㄴ다”고/EC
기대감을	기대감/NNG+을/JKO
내비췄다	내비추/VV+었/EP+다/EF
