장애인공무원	장애인공무원/NNG
되기	되/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘지름길’	‘/SL+지름길/NNG+’/SN

한국장애인고용공단은	한국/NNP+장애인고용공단/NNG+은/JX
오는	오/VV+는/ETM
18일	18/SN+일/NNB
‘2012년	‘/SL+2012/SN+년/NNB
장애인	장애인/NNG
공무원	공무원/NNG
및	및/MAG
군무원	군무원/NNG
특별채용	특별채용/NNG
대비	대비/NNG
면접캠프’를	면접캠프/NNG+’/SL+를/JKO
개최한다	개최하/VV+ㄴ다/EF

공단	공단/NNG
본부에서	본부/NNG+에서/JKB
진행될	진행되/VV+ㄹ/ETM
이번	이번/NNG
면접캠프는	면접캠프/NNG+는/JX
현재	현재/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
중증장애인	중증장애인/NNG
공무원	공무원/NNG
특별채용	특별채용/NNG
서류전형,	서류전형/NNG+,/SP
장애인	장애인/NNG
군무원	군무원/NNG
특별채용	특별채용/NNG
필기시험	필기시험/NNG
합격자를	합격자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
진행되며,	진행되/VV+며/EC+,/SP
공직진출에	공직진출/NNG+에/JKB
관심	관심/NNG
있는	있/VA+는/ETM
장애인	장애인/NNG
수험생도	수험생/NNG+도/JX
참가할	참가하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

공단은	공단/NNG+은/JX
장애인의	장애인/NNG+의/JKG
공직	공직/NNG
진출	진출/NNG
확대와	확대/NNG+와/JC
정부부문의	정부부문/NNG+의/JKG
장애인고용의무	장애인고용의무/NNG
이행을	이행/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해	위하/VV+여/EC
이번	이번/NNG
면접캠프를	면접캠프/NNG+를/JKO
마련했으며,	마련하/VV+였/EP+으며/EC+,/SP
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
면접을	면접/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
이론과	이론/NNG+과/JC
실습	실습/NNG
위주로	위주/NNG+로/JKB
과정을	과정/NNG+을/JKO
구성,	구성/NNG+,/SP
관련	관련/NNG
분야	분야/NNG
전문가를	전문가/NNG+를/JKO
초빙해	초빙하/VV+여/EC
참석자에게	참석자/NNG+에게/JKB
실질적으로	실질적/NNG+으로/JKB
도움	도움/NNG
되는	되/VV+는/ETM
캠프로	캠프/NNG+로/JKB
진행할	진행하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

면접캠프	면접캠프/NNG
참가를	참가/NNG+를/JKO
희망하는	희망하/VV+는/ETM
장애인은	장애인/NNG+은/JX
오는	오/VV+는/ETM
16일까지	16/SN+일/NNB+까지/JX
공단에	공단/NNG+에/JKB
신청하면	신청하/VV+면/EC
되며,	되/VV+며/EC+,/SP
자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
공단	공단/NNG
홈페이지(www	홈페이지/NNG+(/SS+www/SL

kead	kead/SL

or	or/SL

kr)를	kr/SL+)/SS+를/JKO
참조하거나	참조하/VV+거나/EC
전화(031-728-7158)로	전화/NNG+(/SS+031/SN+-/SO+728/SN+-/SO+7158/SN+)/SS+로/JKB
문의하면	문의하/VV+면/EC
된다	되/VV+ㄴ다/EF

참가자는	참가자/NNG+는/JX
면접캠프	면접캠프/NNG
당일	당일/NNG
면접실습을	면접실습/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
복장을	복장/NNG+을/JKO
착용하고	착용하/VV+고/EC
복지카드,	복지카드/NNG+,/SP
응시원서	응시원서/NNG
또는	또는/MAG
이력서,	이력서/NNG+,/SP
자기소개서,	자기소개/NNG+서/XSN+,/SP
직무수행계획서를	직무수행계획서/NNG+를/JKO
지참해야	지참하/VV+여야/EC
한다	하/VX+ㄴ다/EF

한편	한편/MAG
장애인의	장애인/NNG+의/JKG
공직진출	공직진출/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+여/EC
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
2012년도	2012/SN+년/NNB+도/JX
국가직	국가직/NNG
중증장애인	중증장애인/NNG
특별채용의	특별채용/NNG+의/JKG
면접시험은	면접시험/NNG+은/JX
오는	오/VV+는/ETM
30일부터	30/SN+일/NNB+부터/JX
31일까지	31/SN+일/NNB+까지/JX
이틀간,	이틀/NNG+간/XSN+,/SP
장애인	장애인/NNG
군무원	군무원/NNG
특별채용의	특별채용/NNG+의/JKG
면접시험은	면접시험/NNG+은/JX
오는	오/VV+는/ETM
9월18일부터	9/SN+월/NNB+18/SN+일/NNB+부터/JX
22일까지	22/SN+일/NNB+까지/JX
5일간	5/SN+일/NNB+간/XSN
각각	각각/MAG
치러진다	치르/VV+어/EC+지/VX+ㄴ다/EC
