경기재활공학센터,	경기재활공학센터/NNG+,/SP
'스마트	'/SS+스마트/NNG
보조기구'	보조기구/NNG+'/SS
어플	어프/VA+ㄹ/ETM
출시	출시/NNG

경기도재활공학서비스연구지원센터(이하	경기도재활공학서비스연구지원센터/NNG+(/SS+이하/NNG
경기재활공학센터)가	경기재활공학센터/NNG+)/SS+가/JKS
29일	29/SN+일/NNB
보조기구의	보조기구/NNG+의/JKG
정보를	정보/NNG+를/JKO
맞춤	맞춤/NNG
검색할	검색하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘스마트	‘/SL+스마트/NNG
보조기구’	보조기구/NNG+’/SL
어플을	어플/NNG+을/JKO
출시했다고	출시하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

지금까지	지금/NNG+까지/JX
장애인이	장애인/NNG+이/JKS
보조기구에	보조기구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
수집하기	수집하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
업체	업체/NNG
홍보물이나	홍보물/NNG+이나/JC
관련	관련/NNG
기관에	기관/NNG+에/JKB
방문하는	방문하/VV+는/ETM
방법	방법/NNG
등을	등/NNB+을/JKO
이용하는	이용하/VV+는/ETM
불편함을	불편하/VA+ㅁ/ETN+을/JKO
겪어왔다	겪/VV+어/EC+오/VX+았/EP+다/EF

이번에	이번/NNG+에/JKB
출시된	출시되/VV+ㄴ/ETM
‘스마트	‘/SL+스마트/NNG
보조기구’	보조기구/NNG+’/SL
어플은	어플/NNG+은/JX
검색창에	검색창/NNG+에/JKB
단어	단어/NNG
입력만으로도	입력/NNG+만/JX+으로/JKB+도/JX
각기	각기/MAG
다른	다르/VA+ㄴ/ETM
장애	장애/NNG
특성과	특성/NNG+과/JC
욕구에	욕구/NNG+에/JKB
맞는	맞/VV+는/ETM
보조기구	보조기구/NNG
정보들을	정보/NNG+들/XSN+을/JKO
한	한/MM
번에	번/NNB+에/JKB
검색할	검색하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

일례로	일례/NNG+로/JKB
어플의	어플/NNG+의/JKG
검색창에	검색창/NNG+에/JKB
'컴퓨터'라고	'/SS+컴퓨터/NNG+'/SS+라고/JKQ
치면,	치/VV+면/EC+,/SP
컴퓨터와	컴퓨터/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
보조기구들이	보조기구/NNG+들/XSN+이/JKS
나열된다	나열되/VV+ㄴ다/EF

또한	또한/MAG
영역별로	영역/NNG+별/XSN+로/JKB
나뉘어져	나뉘/VV+어/EC+지/VX+어/EC
있어	있/VX+어/EC
'여가생활'과	'/SS+여가생활/NNG+'/SS+과/JKB
관련된	관련되/VV+ㄴ/ETM
보조기구를	보조기구/NNG+를/JKO
검색하면	검색하/VV+면/EC
'클라리넷	'/SS+클라리넷/NNG
점자	점자/NNG
악보'나	악보/NNG+'/SS+나/JC
'나비모양	'/SS+나비모양/NNG
카드	카드/NNG
분배기'	분배기/NNG+'/SS
등이	등/NNB+이/JKS
열거된다	열거되/VV+ㄴ다/EF

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
보조공학	보조공학/NNG
서비스를	서비스/NNG+를/JKO
제공하고	제공하/VV+고/EC
있는	있/VX+는/ETM
전국의	전국/NNG+의/JKG
기관들을	기관/NNG+들/XSN+을/JKO
소개하고	소개하/VV+고/EC
있어	있/VX+어/EC
많은	많/VA+은/ETM
정보들을	정보/NNG+들/XSN+을/JKO
스마트폰	스마트폰/NNG
어플을	어플/NNG+을/JKO
통해	통하/VV+여/EC
손	손/NNG
쉽게	쉽/VA+게/EC
검색하고	검색하/VV+고/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EF

경기재활공학센터는	경기재활공학센터/NNG+는/JX
“이	“/SL+이/JKS
어플은	어플/NNG+은/JX
안드로이드	안드로이드/NNG
마켓(구글	마켓/NNG+(/SS+구글/NNG
플레이)를	플레이/NNG+)/SS+를/JKO
통해	통하/VV+여/EC
무료	무료/NNG
다운받을	다운/NNG+받/VV+을/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
애플의	애플/NNG+의/JKG
앱스토어에서는	앱/SL+스토어/NNP+에서/JKB+는/JX
9월	9/SN+월/NNB
중	중/NNB
서비스	서비스/NNG
될	되/VV+ㄹ/ETM
예정”이라고	예정”/NNG+이/VCP+라고/EC
전했다	전하/VV+었/EP+다/EC

한편	한편/MAG
경기도재활공학센터는	경기도재활공학센터/NNP+는/JX
오는	오/VV+는/ETM
30일부터	30/SN+일/NNB+부터/JX
9월	9/SN+월/NNB
1일까지	1/SN+일/NNB+까지/JX
일산	일산/NNP
킨텍스에서열리는	킨텍스/NNP+에서/JKB+열리/VV+는/ETM
'2012	'/SS+2012/SN
국제	국제/NNG
보조공학	보조공학/NNG
심포지엄'	심포지엄/NNG+'/SS
에서	에서/JKB
어플	어프/VA+ㄹ/ETM
시연회를	시연회/NNG+를/JKO
개최할	개최하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
