"장애인고용장려금	"/SS+장애인고용장려금/NNG
부정수급	부정수급/NNG
자진신고하세요"	자진/NNG+신고하/VV+세요/EF+"/SS

한국장애인고용공단이	한국/NNP+장애인고용공단/NNG+이/JKS
장애인고용장려금	장애인고용장려금/NNG
신청이	신청/NNG+이/JKS
집중되는	집중되/VV+는/ETM
9월	9/SN+월/NNB
한	한/MM
달을	달/NNB+을/JKO
'장애인고용장려금	'/SS+장애인고용장려금/NNG
부정수급	부정수급/NNG
자진신고기간'으로	자진신고기간/NNG+'/SS+으로/JKB
운영한다	운영하/VV+ㄴ다/EF

고용장려금을	고용장려금/NNG+을/JKO
부정	부정/NNG
수급한	수급하/VA+ㄴ/ETM
사실을	사실/NNG+을/JKO
자진	자진/NNG
신고한	신고하/VV+ㄴ/ETM
사업주에	사업주/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
형사	형사/NNG
고발을	고발/NNG+을/JKO
하지	하/VV+지/EC
않고,	않/VX+고/EC+,/SP
고용장려금을	고용장려금/NNG+을/JKO
지급	지급/NNG
신청한	신청하/VV+ㄴ/ETM
날로부터	날/NNG+로부터/JKB
3개월이	3/SN+개월/NNB+이/JKS
경과하지	경과하/VV+지/EC
않은	않/VX+은/ETM
경우에는	경우/NNG+에/JKB+는/JX
부당이득금의	부당이득금/NNG+의/JKG
2배~5배에	2/SN+배/NNG+~/SO+5/SN+배/NNG+에/JKB
해당하는	해당하/VV+는/ETM
추가	추가/NNG
징수도	징수/NNG+도/JX
면제한다	면제하/VV+ㄴ다/EF

장애인고용장려금은	장애인고용장려금/NNG+은/JX
장애인을	장애인/NNG+을/JKO
고용하는	고용하/VV+는/ETM
사업주의	사업주/NNG+의/JKG
경제적	경제적/NNG
부담을	부담/NNG+을/JKO
덜어	덜/VV+어/EC
주어	주/VX+어/EC
장애인	장애인/NNG
고용을	고용/NNG+을/JKO
촉진하기	촉진하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
제도로,	제도/NNG+로/JKB+,/SP
장애인을	장애인/NNG+을/JKO
상시근로자의	상시근로자/NNG+의/JKG
2	2/SN

7%를	7/SN+%/SW+를/JKO
초과해	초과하/VV+여/EC
고용한	고용하/VV+ㄴ/ETM
사업주에게	사업주/NNG+에게/JKB
장애인근로자의	장애인근로자/NNG+의/JKG
성별과	성별/NNG+과/JC
장애정도,	장애정도/NNG+,/SP
근속기간에	근속기간/NNG+에/JKB
따라	따르/VV+아/EC
장애인	장애인/NNG
1인당	1/SN+인/NNG+당/XSN
월	월/NNG
15만원~50만원을	15/SN+만/NR+원/NNB+~/SO+50/SN+만/NR+원/NNB+을/JKO
지원한다	지원하/VV+ㄴ다/EC

제도를	제도/NNG+를/JKO
악용해	악용하/VV+여/EC
고용장려금을	고용장려금/NNG+을/JKO
허위	허위/NNG
또는	또는/MAG
부정한	부정하/VA+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
지급	지급/NNG
받은	받/VV+은/ETM
사업주는	사업주/NNG+는/JX
부정수급	부정수급/NNG
전력에	전력/NNG+에/JKB
따라	따르/VV+아/EC
부정수급한	부정수급하/VA+ㄴ/ETM
금액의	금액/NNG+의/JKG
최대	최대/NNG
5배에	5/SN+배/NNG+에/JKB
해당하는	해당하/VV+는/ETM
금액을	금액/NNG+을/JKO
추가	추가/NNG
징수하고	징수하/VV+고/EC
이후	이후/NNG
1년간	1/SN+년/NNB+간/XSN
고용장려금	고용장려금/NNG
지급이	지급/NNG+이/JKS
제한되는	제한되/VV+는/ETM
제재를	제재/NNG+를/JKO
받는다	받/VV+는다/EC

만약	만약/NNG
부정수급액이	부정수급액/NNG+이/JKS
분기별	분기/NNG+별/XSN
평균	평균/NNG
150만원을	150/SN+만/NR+원/NNB+을/JKO
초과하는	초과하/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
형사고발도	형사고발/NNG+도/JX
이루어진다	이루어지/VV+ㄴ다/EC

(5년	(/SS+5/SN+년/NNB
이하의	이하/NNG+의/JKG
징역	징역/NNG
또는	또는/MAG
1천만원	1/SN+천만/NR+원/NNB
이하의	이하/NNG+의/JKG
벌금)또한	벌금/NNG+)/SS+또한/MAG
공단은	공단/NNG+은/JX
장애인고용장려금	장애인고용장려금/NNG
신고포상금제도도	신고포상금제도/NNG+도/JX
운영하고	운영하/VV+고/EC
있다	있/VX+다/EC

부정수급일로부터	부정수급일/NNG+로부터/JKB
3년	3/SN+년/NNB
이내에	이내/NNG+에/JKB
고용장려금	고용장려금/NNG
부정수급	부정수급/NNG
사실을	사실/NNG+을/JKO
신고	신고/NNG
또는	또는/MAG
고발한	고발하/VV+ㄴ/ETM
사람에게	사람/NNG+에게/JKB
부정수급	부정수급/NNG
금액에	금액/NNG+에/JKB
따라	따르/VV+아/EC
최대	최대/NNG
1천만원까지	1/SN+천만/NR+원/NNB+까지/JX
신고포상금을	신고포상금/NNG+을/JKO
지급한다	지급하/VV+ㄴ다/EF

부정수급	부정수급/NNG
신고나	신고/NNG+나/JC
포상금	포상금/NNG
등	등/NNB
관련	관련/NNG
문의는	문의/NNG+는/JX
홈페이지(www	홈페이지/NNG+(/SS+www/SL

kead	kead/SL

or	or/SL

kr)	kr/SL+)/SS
또는	또는/MAG
공단	공단/NNG
관할	관할/NNG
지사(☎	지사/NNG+(/SS+☎/SW
1588-1519)로	1588/SN+-/SO+1519/SN+)/SS+로/JKB
하면	하/VV+면/EC
된다	되/VV+ㄴ다/EF
